Date,Symbol,Description,Open,High,Low,Close,TotalVolume,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1990-06-29,Price_TU_0_IOB,T-Note (2 Year),66.454341,66.560062,66.39393,66.544959,148,1238.0,94.0,100.0,414.0,508.0,635.0,1016.0,1149.0,222.0,89.0
1990-07-13,Price_TU_0_IOB,T-Note (2 Year),66.650679,66.771502,66.469444,66.665782,1396,2918.0,374.0,1309.0,467.0,1564.0,882.0,2405.0,2658.0,513.0,260.0
1990-07-31,Price_TU_0_IOB,T-Note (2 Year),67.07356,67.133972,67.043355,67.133972,292,6507.0,620.0,910.0,682.0,4967.0,4733.0,6269.0,6325.0,238.0,182.0
1990-08-15,Price_TU_0_IOB,T-Note (2 Year),67.118869,67.179281,67.058457,67.07356,347,7770.0,1920.0,558.0,477.0,5103.0,6656.0,7500.0,7691.0,270.0,79.0
1990-08-31,Price_TU_0_IOB,T-Note (2 Year),66.877223,66.877223,66.831914,66.877223,888,9435.0,1494.0,528.0,957.0,6779.0,7926.0,9230.0,9411.0,205.0,24.0
1990-09-14,Price_TU_0_IOB,T-Note (2 Year),66.937634,67.058457,66.937634,66.998046,3160,10096.0,3163.0,1318.0,1028.0,5739.0,7700.0,9930.0,10046.0,166.0,50.0
1990-09-28,Price_TU_0_IOB,T-Note (2 Year),66.998046,67.088663,66.982943,67.07356,691,8564.0,4551.0,1471.0,0.0,3768.0,7026.0,8319.0,8497.0,245.0,67.0
1990-10-15,Price_TU_0_IOB,T-Note (2 Year),67.239692,67.239692,67.209486,67.239692,323,7036.0,3262.0,987.0,32.0,3227.0,5613.0,6521.0,6632.0,515.0,404.0
1990-10-31,Price_TU_0_IOB,T-Note (2 Year),67.481339,67.54175,67.451133,67.54175,421,6651.0,2215.0,1013.0,0.0,4095.0,5382.0,6310.0,6395.0,341.0,256.0
1990-11-15,Price_TU_0_IOB,T-Note (2 Year),67.843808,67.874014,67.813602,67.828705,1317,8035.0,1979.0,995.0,61.0,5570.0,6838.0,7610.0,7894.0,425.0,141.0
1990-11-30,Price_TU_0_IOB,T-Note (2 Year),67.798499,67.828705,67.768294,67.813602,1629,7271.0,1290.0,846.0,36.0,5159.0,5848.0,6485.0,6730.0,786.0,541.0
1990-12-14,Price_TU_0_IOB,T-Note (2 Year),68.176072,68.176072,68.025043,68.055249,1068,5907.0,1244.0,606.0,0.0,4387.0,5273.0,5631.0,5879.0,276.0,28.0
1990-12-31,Price_TU_0_IOB,T-Note (2 Year),68.191175,68.296895,68.191175,68.296895,385,5836.0,1196.0,698.0,0.0,4400.0,5122.0,5596.0,5820.0,240.0,16.0
1991-01-15,Price_TU_0_IOB,T-Note (2 Year),68.342204,68.357307,68.311998,68.327101,206,7660.0,3469.0,718.0,174.0,3215.0,6734.0,6858.0,7626.0,802.0,34.0
1991-01-31,Price_TU_0_IOB,T-Note (2 Year),68.463027,68.523439,68.463027,68.508336,91,7877.0,4107.0,607.0,60.0,2694.0,7012.0,6861.0,7679.0,1016.0,198.0
1991-02-15,Price_TU_0_IOB,T-Note (2 Year),68.961423,68.976526,68.916114,68.916114,404,8742.0,4355.0,545.0,176.0,3092.0,7725.0,7623.0,8446.0,1119.0,296.0
1991-02-28,Price_TU_0_IOB,T-Note (2 Year),68.568747,68.58385,68.493233,68.523439,1435,10137.0,4358.0,562.0,98.0,4774.0,9265.0,9230.0,9925.0,907.0,212.0
1991-03-15,Price_TU_0_IOB,T-Note (2 Year),68.644262,68.659365,68.538542,68.553644,311,10429.0,4907.0,341.0,0.0,4646.0,9933.0,9553.0,10274.0,876.0,155.0
1991-03-28,Price_TU_0_IOB,T-Note (2 Year),68.417718,68.538542,68.417718,68.523439,393,8305.0,4682.0,527.0,0.0,2689.0,7673.0,7371.0,8200.0,934.0,105.0
1991-04-15,Price_TU_0_IOB,T-Note (2 Year),68.749982,68.765085,68.614056,68.704673,1133,7562.0,4440.0,1122.0,0.0,2224.0,6224.0,6664.0,7346.0,898.0,216.0
1991-04-30,Price_TU_0_IOB,T-Note (2 Year),68.749982,68.976526,68.734879,68.870805,1199,8084.0,4556.0,1198.0,0.0,2660.0,6527.0,7216.0,7725.0,868.0,359.0
1991-05-15,Price_TU_0_IOB,T-Note (2 Year),68.901011,68.94632,68.901011,68.916114,907,11949.0,767.0,3871.0,30.0,10264.0,7028.0,11061.0,10929.0,888.0,1020.0
1991-05-31,Price_TU_0_IOB,T-Note (2 Year),69.172863,69.172863,69.036937,69.082246,1438,12223.0,667.0,3301.0,29.0,11418.0,8581.0,12114.0,11911.0,109.0,312.0
1991-06-14,Price_TU_0_IOB,T-Note (2 Year),68.58385,68.644262,68.553644,68.644262,2076,15352.0,848.0,3921.0,95.0,14250.0,11035.0,15193.0,15051.0,159.0,301.0
1991-06-28,Price_TU_0_IOB,T-Note (2 Year),68.825497,69.036937,68.825497,69.006731,538,14951.0,1216.0,2958.0,0.0,13224.0,11519.0,14440.0,14477.0,511.0,474.0
1991-07-15,Price_TU_0_IOB,T-Note (2 Year),69.082246,69.127555,69.036937,69.127555,80,15837.0,1190.0,2589.0,0.0,14171.0,12814.0,15361.0,15403.0,476.0,434.0
1991-07-31,Price_TU_0_IOB,T-Note (2 Year),69.459818,69.595745,69.444716,69.52023,1723,11984.0,586.0,2563.0,0.0,10957.0,9257.0,11543.0,11820.0,441.0,164.0
1991-08-15,Price_TU_0_IOB,T-Note (2 Year),70.365992,70.517021,70.335787,70.411301,737,13409.0,624.0,1768.0,523.0,11831.0,10932.0,12978.0,13223.0,431.0,186.0
1991-08-30,Price_TU_0_IOB,T-Note (2 Year),70.577433,70.577433,70.45661,70.486816,505,12517.0,402.0,1194.0,25.0,11536.0,10820.0,11963.0,12039.0,554.0,478.0
1991-09-16,Price_TU_0_IOB,T-Note (2 Year),70.879491,70.909697,70.864388,70.879491,1081,17333.0,703.0,798.0,138.0,16404.0,15769.0,17245.0,16705.0,88.0,628.0
1991-09-30,Price_TU_0_IOB,T-Note (2 Year),71.332578,71.332578,71.272166,71.302372,408,16077.0,541.0,599.0,0.0,15424.0,14860.0,15965.0,15459.0,112.0,618.0
1991-10-15,Price_TU_0_IOB,T-Note (2 Year),71.619533,71.634636,71.60443,71.634636,604,14885.0,798.0,1285.0,0.0,13808.0,12802.0,14606.0,14087.0,279.0,798.0
1991-10-31,Price_TU_0_IOB,T-Note (2 Year),71.936694,71.982003,71.906488,71.9669,389,14702.0,1055.0,115.0,169.0,13339.0,13967.0,14563.0,14251.0,139.0,451.0
1991-11-15,Price_TU_0_IOB,T-Note (2 Year),72.299164,72.404884,72.268958,72.344472,682,17421.0,1042.0,729.0,34.0,16155.0,16203.0,17231.0,16966.0,190.0,455.0
1991-11-29,Price_TU_0_IOB,T-Note (2 Year),72.616324,72.64653,72.616324,72.64653,628,18950.0,814.0,1807.0,1725.0,16094.0,14788.0,18633.0,18320.0,317.0,630.0
