Date,Symbol,Description,Open,High,Low,Close,TotalVolume,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1986-01-15,Price_TY_0_IOB,T-Note (10 Year),35.086676,35.70016,34.947248,35.477075,14728,75839.0,852.0,7184.0,1556.0,68690.0,59505.0,71098.0,68245.0,4741.0,7594.0
1986-01-31,Price_TY_0_IOB,T-Note (10 Year),36.787699,37.261755,36.759813,36.982898,12023,79073.0,1152.0,8272.0,995.0,71977.0,61950.0,74124.0,71217.0,4949.0,7856.0
1986-02-14,Price_TY_0_IOB,T-Note (10 Year),38.739693,39.102206,38.405065,39.046435,16512,78110.0,3025.0,8868.0,1269.0,66911.0,59437.0,71205.0,69574.0,6905.0,8536.0
1986-02-28,Price_TY_0_IOB,T-Note (10 Year),43.619677,43.842762,41.974425,42.39271,28609,76506.0,6870.0,9546.0,960.0,65028.0,59715.0,72858.0,70221.0,3648.0,6285.0
1986-03-14,Price_TY_0_IOB,T-Note (10 Year),44.539903,44.707217,44.065847,44.261047,21129,75591.0,4333.0,6017.0,1199.0,65646.0,62878.0,71178.0,70094.0,4413.0,5497.0
1986-03-31,Price_TY_0_IOB,T-Note (10 Year),45.571671,46.268812,43.814877,46.21304,15008,66297.0,3871.0,3346.0,1428.0,57169.0,57456.0,62468.0,62230.0,3829.0,4067.0
1986-04-15,Price_TY_0_IOB,T-Note (10 Year),47.244808,47.272694,46.603439,46.826524,14429,64279.0,5315.0,10851.0,1205.0,51103.0,46496.0,57623.0,58552.0,6656.0,5727.0
1986-04-30,Price_TY_0_IOB,T-Note (10 Year),45.543785,46.017841,45.460128,45.76687,13315,63806.0,2601.0,6883.0,1570.0,54219.0,47904.0,58390.0,56357.0,5416.0,7449.0
1986-05-15,Price_TY_0_IOB,T-Note (10 Year),42.755223,44.17739,42.755223,43.061965,25573,73844.0,1449.0,9408.0,1379.0,65568.0,52826.0,68396.0,63613.0,5448.0,10231.0
1986-05-30,Price_TY_0_IOB,T-Note (10 Year),41.94654,42.532138,41.639798,41.75134,36338,74546.0,273.0,7401.0,868.0,66293.0,55327.0,67434.0,63596.0,7112.0,10950.0
1986-06-13,Price_TY_0_IOB,T-Note (10 Year),42.978308,44.205275,42.866765,44.010076,26814,72618.0,2644.0,10513.0,231.0,62283.0,50408.0,65158.0,61152.0,7460.0,11466.0
