Date,Symbol,Description,Open,High,Low,Close,TotalVolume,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1986-01-15,Price_US_0_IOB,T-Bond (Ultra),30.865561,31.514132,30.606133,31.254703,320132,322195.0,18627.0,31805.0,12957.0,202310.0,181722.0,233894.0,226484.0,88301.0,95711.0
1986-01-31,Price_US_0_IOB,T-Bond (Ultra),32.499958,33.174472,32.448073,32.811272,221349,321761.0,20190.0,34948.0,16136.0,206990.0,181693.0,243316.0,232777.0,78445.0,88984.0
1986-02-14,Price_US_0_IOB,T-Bond (Ultra),34.782926,35.431496,34.575383,35.353668,250431,316881.0,28698.0,25424.0,10880.0,195154.0,195307.0,234732.0,231611.0,82149.0,85270.0
1986-02-28,Price_US_0_IOB,T-Bond (Ultra),42.254456,42.591712,40.153088,40.90543,343109,301948.0,30547.0,17723.0,10991.0,191742.0,195870.0,233280.0,224584.0,68668.0,77364.0
1986-03-14,Price_US_0_IOB,T-Bond (Ultra),43.577539,44.096396,42.721427,43.266226,233048,262027.0,17675.0,20868.0,9354.0,170750.0,165077.0,197779.0,195299.0,64248.0,66728.0
1986-03-31,Price_US_0_IOB,T-Bond (Ultra),46.197763,47.858103,46.145878,47.806218,180146,244703.0,27838.0,19232.0,9931.0,150615.0,152522.0,188384.0,181685.0,56319.0,63018.0
1986-04-15,Price_US_0_IOB,T-Bond (Ultra),48.921759,49.103358,48.065646,48.247246,278848,251279.0,38033.0,20137.0,9000.0,148442.0,166279.0,195475.0,195416.0,55804.0,55863.0
1986-04-30,Price_US_0_IOB,T-Bond (Ultra),46.171821,46.872277,45.990221,46.509077,201919,240052.0,16484.0,17600.0,8112.0,155480.0,148428.0,180076.0,174140.0,59976.0,65912.0
1986-05-15,Price_US_0_IOB,T-Bond (Ultra),43.836967,44.329881,42.098799,42.410113,314029,250140.0,14592.0,19014.0,8408.0,159098.0,148550.0,182098.0,175972.0,68042.0,74168.0
1986-05-30,Price_US_0_IOB,T-Bond (Ultra),41.320515,41.969085,40.490345,40.671944,293299,209703.0,13149.0,14665.0,8088.0,128403.0,124658.0,149640.0,147411.0,60063.0,62292.0
1986-06-13,Price_US_0_IOB,T-Bond (Ultra),41.061087,42.124742,41.009201,42.124742,133981,210112.0,15103.0,23819.0,9640.0,129492.0,122129.0,154235.0,155588.0,55877.0,54524.0
1986-06-30,Price_US_0_IOB,T-Bond (Ultra),45.990221,46.223706,45.756736,46.042107,135521,195423.0,14022.0,9339.0,9275.0,105042.0,112767.0,128339.0,131381.0,67084.0,64042.0
1986-07-15,Price_US_0_IOB,T-Bond (Ultra),46.794448,47.287362,46.379363,47.261419,230846,208033.0,20373.0,12873.0,4703.0,106729.0,109679.0,131805.0,127255.0,76228.0,80778.0
1986-07-31,Price_US_0_IOB,T-Bond (Ultra),44.148281,44.719023,43.681311,44.589309,191187,214113.0,8885.0,18588.0,6809.0,123730.0,117090.0,139424.0,142487.0,74689.0,71626.0
1986-08-15,Price_US_0_IOB,T-Bond (Ultra),47.235476,47.443018,46.898219,47.053876,129281,202348.0,16342.0,10987.0,2925.0,106428.0,115123.0,125695.0,129035.0,76653.0,73313.0
1986-08-29,Price_US_0_IOB,T-Bond (Ultra),48.636388,48.662331,48.117532,48.428845,170740,181160.0,23965.0,7611.0,4936.0,79322.0,97761.0,108223.0,110308.0,72937.0,70852.0
1986-09-15,Price_US_0_IOB,T-Bond (Ultra),42.410113,42.747369,42.150685,42.56577,139329,186481.0,6554.0,9465.0,4852.0,105354.0,100460.0,116760.0,114777.0,69721.0,71704.0
1986-09-30,Price_US_0_IOB,T-Bond (Ultra),43.084626,44.200167,42.980855,44.148281,232155,207442.0,10248.0,23387.0,5759.0,114994.0,102791.0,131001.0,131937.0,76441.0,75505.0
1986-10-15,Price_US_0_IOB,T-Bond (Ultra),42.721427,43.084626,42.254456,43.03274,196097,230720.0,13000.0,18349.0,10054.0,129982.0,121506.0,153036.0,149909.0,77684.0,80811.0
1986-10-31,Price_US_0_IOB,T-Bond (Ultra),45.445422,45.652964,45.004394,45.419479,133543,232370.0,11202.0,16266.0,8319.0,134004.0,124104.0,153525.0,148689.0,78845.0,83681.0
1986-11-14,Price_US_0_IOB,T-Bond (Ultra),44.615252,45.575136,44.563366,45.471365,196737,246228.0,22188.0,13756.0,12644.0,136239.0,116939.0,171071.0,143339.0,75157.0,102889.0
1986-11-28,Price_US_0_IOB,T-Bond (Ultra),46.690677,46.872277,46.638791,46.768505,52842,229245.0,10773.0,11068.0,8796.0,128199.0,120892.0,147768.0,140756.0,81477.0,88489.0
1986-12-15,Price_US_0_IOB,T-Bond (Ultra),46.171821,46.872277,45.964278,46.794448,187944,242833.0,10870.0,16299.0,16883.0,130792.0,126289.0,158545.0,159471.0,84288.0,83362.0
1986-12-31,Price_US_0_IOB,T-Bond (Ultra),46.820391,46.872277,46.249649,46.301535,69874,229286.0,7810.0,23065.0,15114.0,133684.0,110163.0,156608.0,148342.0,72678.0,80944.0
1987-01-15,Price_US_0_IOB,T-Bond (Ultra),48.221303,48.37696,47.702447,47.961875,200329,253540.0,10927.0,30375.0,12409.0,139395.0,116122.0,162731.0,158906.0,90809.0,94634.0
1987-01-30,Price_US_0_IOB,T-Bond (Ultra),48.325074,48.351017,47.391133,47.54679,214606,283663.0,3604.0,45906.0,15485.0,169622.0,109947.0,188711.0,171338.0,94952.0,112325.0
1987-02-13,Price_US_0_IOB,T-Bond (Ultra),47.36519,47.650561,47.287362,47.391133,215171,305914.0,13242.0,38027.0,21595.0,181982.0,137087.0,216819.0,196709.0,89095.0,109205.0
1987-02-27,Price_US_0_IOB,T-Bond (Ultra),48.895816,49.284958,48.84393,48.999587,214146,253319.0,11067.0,21416.0,8472.0,160897.0,133837.0,180436.0,163725.0,72883.0,89594.0
1987-03-13,Price_US_0_IOB,T-Bond (Ultra),49.233072,49.388729,49.103358,49.259015,145885,227632.0,25368.0,33924.0,5282.0,133233.0,108953.0,163883.0,148159.0,63749.0,79473.0
1987-03-31,Price_US_0_IOB,T-Bond (Ultra),47.105762,47.391133,46.483134,47.36519,359245,235112.0,22054.0,32464.0,10539.0,139125.0,104621.0,171718.0,147624.0,63394.0,87488.0
1987-04-15,Price_US_0_IOB,T-Bond (Ultra),43.655368,43.811025,42.695484,43.03274,305857,295108.0,22265.0,36801.0,13226.0,165291.0,132833.0,200782.0,182860.0,94326.0,112248.0
1987-04-30,Price_US_0_IOB,T-Bond (Ultra),41.969085,43.707253,41.476172,42.877083,399116,327190.0,19394.0,28692.0,19112.0,186035.0,159704.0,224541.0,207508.0,102649.0,119682.0
1987-05-15,Price_US_0_IOB,T-Bond (Ultra),41.009201,41.190801,39.296975,39.374804,358681,300666.0,19403.0,30909.0,17180.0,155653.0,129845.0,192236.0,177934.0,108430.0,122732.0
1987-05-29,Price_US_0_IOB,T-Bond (Ultra),41.528057,42.358227,41.3724,42.046913,285508,238276.0,10903.0,22419.0,8743.0,143262.0,108277.0,162908.0,139439.0,75368.0,98837.0
1987-06-15,Price_US_0_IOB,T-Bond (Ultra),43.240283,43.681311,42.747369,43.344054,284191,257557.0,18700.0,27903.0,7864.0,147446.0,113175.0,174010.0,148942.0,83547.0,108615.0
1987-06-30,Price_US_0_IOB,T-Bond (Ultra),42.851141,43.058683,42.046913,42.410113,269460,255147.0,8746.0,35524.0,8757.0,175978.0,119372.0,193481.0,163653.0,61666.0,91494.0
1987-07-15,Price_US_0_IOB,T-Bond (Ultra),43.136512,43.240283,42.072856,42.436056,294603,272823.0,13347.0,41181.0,10138.0,179123.0,117283.0,202608.0,168602.0,70215.0,104221.0
1987-07-31,Price_US_0_IOB,T-Bond (Ultra),41.242686,41.268629,40.490345,40.749773,170295,290843.0,6617.0,52828.0,18125.0,186587.0,114204.0,211329.0,185157.0,79514.0,105686.0
1987-08-14,Price_US_0_IOB,T-Bond (Ultra),41.761542,42.176628,40.775716,41.943142,426271,298685.0,27960.0,44998.0,17717.0,179130.0,132720.0,224807.0,195435.0,73878.0,103250.0
1987-08-31,Price_US_0_IOB,T-Bond (Ultra),38.959719,39.193204,38.466805,39.089433,352174,320233.0,12069.0,32679.0,26167.0,196503.0,154664.0,234739.0,213510.0,85494.0,106723.0
1987-09-15,Price_US_0_IOB,T-Bond (Ultra),36.57298,36.702694,35.483382,35.74281,374536,339131.0,16517.0,34999.0,14390.0,221714.0,188080.0,252621.0,237469.0,86510.0,101662.0
1987-09-30,Price_US_0_IOB,T-Bond (Ultra),34.73104,35.120182,34.679155,35.068297,368506,352343.0,25204.0,24295.0,17149.0,227351.0,199057.0,269704.0,240501.0,82639.0,111842.0
1987-10-15,Price_US_0_IOB,T-Bond (Ultra),32.448073,32.811272,31.047161,32.370244,659487,426098.0,25871.0,34319.0,26022.0,280793.0,263098.0,332686.0,323439.0,93412.0,102659.0
1987-10-30,Price_US_0_IOB,T-Bond (Ultra),39.945546,40.023374,39.193204,39.945546,237441,366522.0,17136.0,37591.0,20957.0,263390.0,213067.0,301483.0,271615.0,65039.0,94907.0
1987-11-13,Price_US_0_IOB,T-Bond (Ultra),41.268629,41.450229,40.90543,40.983258,208984,339376.0,3915.0,43252.0,13248.0,254590.0,189669.0,271753.0,246169.0,67623.0,93207.0
1987-11-30,Price_US_0_IOB,T-Bond (Ultra),39.271032,40.464402,39.011604,40.023374,399501,296439.0,3730.0,35400.0,6273.0,218474.0,166570.0,228477.0,208243.0,67962.0,88196.0
1987-12-15,Price_US_0_IOB,T-Bond (Ultra),37.947949,39.193204,37.922006,39.167261,247214,301604.0,6227.0,35696.0,6990.0,224982.0,170662.0,238199.0,213348.0,63405.0,88256.0
1987-12-31,Price_US_0_IOB,T-Bond (Ultra),41.761542,41.787485,40.957315,41.035144,69007,262326.0,10281.0,28396.0,11330.0,178163.0,137661.0,199774.0,177387.0,62552.0,84939.0
1988-01-15,Price_US_0_IOB,T-Bond (Ultra),41.009201,43.318111,40.90543,43.136512,363409,290033.0,8414.0,38324.0,11739.0,202656.0,156239.0,222809.0,206302.0,67224.0,83731.0
1988-01-29,Price_US_0_IOB,T-Bond (Ultra),45.419479,46.016164,45.263822,45.964278,223283,312041.0,8953.0,33124.0,11233.0,215800.0,170430.0,235986.0,214787.0,76055.0,97254.0
1988-02-12,Price_US_0_IOB,T-Bond (Ultra),46.379363,46.768505,45.393536,45.601079,401238,341454.0,19477.0,47331.0,9702.0,231101.0,169648.0,260280.0,226681.0,81174.0,114773.0
1988-02-29,Price_US_0_IOB,T-Bond (Ultra),46.431249,47.105762,46.405306,46.586906,307895,315522.0,15604.0,36509.0,17984.0,214598.0,162024.0,248186.0,216517.0,67336.0,99005.0
1988-03-15,Price_US_0_IOB,T-Bond (Ultra),45.445422,45.601079,45.393536,45.497307,84306,301799.0,16691.0,39831.0,10695.0,200948.0,153074.0,228334.0,203600.0,73465.0,98199.0
1988-03-31,Price_US_0_IOB,T-Bond (Ultra),43.603482,43.785082,43.344054,43.629425,162508,310913.0,10420.0,37272.0,28099.0,201960.0,151406.0,240479.0,216777.0,70434.0,94136.0
1988-04-15,Price_US_0_IOB,T-Bond (Ultra),43.136512,43.369997,42.461998,42.721427,365811,312610.0,8851.0,31090.0,25408.0,190924.0,152934.0,225183.0,209432.0,87427.0,103178.0
1988-04-29,Price_US_0_IOB,T-Bond (Ultra),41.709657,42.072856,41.528057,41.839371,247387,345027.0,10352.0,24236.0,29376.0,225100.0,186628.0,264828.0,240240.0,80199.0,104787.0
1988-05-13,Price_US_0_IOB,T-Bond (Ultra),41.138915,41.865314,41.061087,41.554,279882,362121.0,15317.0,22540.0,30328.0,219228.0,200336.0,264873.0,253204.0,97248.0,108917.0
1988-05-31,Price_US_0_IOB,T-Bond (Ultra),39.919603,40.153088,39.634232,40.101202,253513,358097.0,8883.0,29421.0,15251.0,229482.0,191370.0,253616.0,236042.0,104481.0,122055.0
1988-06-15,Price_US_0_IOB,T-Bond (Ultra),43.836968,44.018567,43.525654,43.603482,259949,413746.0,9873.0,35139.0,26424.0,280687.0,259133.0,316984.0,320696.0,96762.0,93050.0
1988-06-30,Price_US_0_IOB,T-Bond (Ultra),42.721427,43.344054,42.539827,43.292168,293177,379879.0,12309.0,43294.0,25048.0,251156.0,217247.0,288513.0,285589.0,91366.0,94290.0
1988-07-15,Price_US_0_IOB,T-Bond (Ultra),41.035144,41.294572,40.827601,41.242686,261978,439597.0,16068.0,38656.0,49168.0,288896.0,242115.0,354132.0,329939.0,85465.0,109658.0
1988-07-29,Price_US_0_IOB,T-Bond (Ultra),40.827601,41.3724,40.827601,41.164858,175270,472970.0,16422.0,35524.0,65229.0,313003.0,268335.0,394654.0,369088.0,78316.0,103882.0
1988-08-15,Price_US_0_IOB,T-Bond (Ultra),39.867717,39.919603,39.556403,39.789889,154059,490215.0,11604.0,36172.0,69980.0,317641.0,270175.0,399225.0,376327.0,90990.0,113888.0
1988-08-31,Price_US_0_IOB,T-Bond (Ultra),40.879487,41.294572,40.775716,41.087029,253822,467256.0,9356.0,24734.0,69822.0,303294.0,256116.0,382472.0,350672.0,84784.0,116584.0
1988-09-15,Price_US_0_IOB,T-Bond (Ultra),43.577539,43.836968,43.292168,43.344054,305397,475882.0,9640.0,43295.0,64795.0,310564.0,259991.0,384999.0,368081.0,90883.0,107801.0
1988-09-30,Price_US_0_IOB,T-Bond (Ultra),43.110569,43.966682,43.03274,43.785082,372985,478649.0,15721.0,40711.0,64085.0,313458.0,272915.0,393264.0,377711.0,85385.0,100938.0
1988-10-14,Price_US_0_IOB,T-Bond (Ultra),44.200167,44.926566,44.070453,44.433652,432226,480681.0,21145.0,52073.0,45438.0,304702.0,270473.0,371285.0,367984.0,109396.0,112697.0
1988-10-31,Price_US_0_IOB,T-Bond (Ultra),45.367593,46.016164,45.211937,45.990221,311396,470729.0,25714.0,49926.0,39162.0,304604.0,270931.0,369480.0,360019.0,101249.0,110710.0
1988-11-15,Price_US_0_IOB,T-Bond (Ultra),43.992624,44.018567,43.473768,43.966682,304310,483327.0,25802.0,64660.0,28006.0,336089.0,270506.0,389897.0,363172.0,93430.0,120155.0
1988-11-30,Price_US_0_IOB,T-Bond (Ultra),43.058683,43.681311,43.058683,43.525654,450408,441163.0,19780.0,43962.0,32792.0,290651.0,243370.0,343223.0,320124.0,97940.0,121039.0
