Date,Symbol,Description,Open,High,Low,Close,TotalVolume,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1986-01-15,Price_W2_0_IOB,Wheat,1523.75,1525.25,1519.0,1520.5,9331,175645.0,10755.0,32490.0,21275.0,65910.0,28425.0,97940.0,82190.0,77705.0,93455.0
1986-01-31,Price_W2_0_IOB,Wheat,1525.25,1525.75,1521.5,1524.25,7761,167350.0,9620.0,23335.0,18855.0,54060.0,27120.0,82535.0,69310.0,84815.0,98040.0
1986-02-14,Price_W2_0_IOB,Wheat,1532.0,1532.5,1526.5,1527.5,9994,157985.0,18625.0,17495.0,12320.0,37955.0,25425.0,68900.0,55240.0,89085.0,102745.0
1986-02-28,Price_W2_0_IOB,Wheat,1528.5,1530.25,1527.25,1528.5,5219,162775.0,11525.0,32980.0,14055.0,49760.0,16030.0,75340.0,63065.0,87435.0,99710.0
1986-03-14,Price_W2_0_IOB,Wheat,1531.25,1533.25,1530.25,1532.25,7992,163495.0,13230.0,32395.0,10760.0,54120.0,27995.0,78110.0,71150.0,85385.0,92345.0
1986-03-31,Price_W2_0_IOB,Wheat,1525.0,1530.75,1524.25,1527.25,9587,164120.0,10515.0,33125.0,11670.0,54715.0,30390.0,76900.0,75185.0,87220.0,88935.0
1986-04-15,Price_W2_0_IOB,Wheat,1519.625,1520.0,1515.25,1517.0,6492,182010.0,8650.0,31445.0,14265.0,69505.0,33120.0,92420.0,78830.0,89590.0,103180.0
1986-04-30,Price_W2_0_IOB,Wheat,1550.75,1567.25,1549.75,1567.25,16891,183505.0,26845.0,12310.0,12220.0,41605.0,80770.0,80670.0,105300.0,102835.0,78205.0
1986-05-15,Price_W2_0_IOB,Wheat,1555.75,1558.75,1542.25,1543.75,22877,181000.0,22925.0,13470.0,7455.0,45290.0,84585.0,75670.0,105510.0,105330.0,75490.0
1986-05-30,Price_W2_0_IOB,Wheat,1520.25,1523.75,1519.75,1522.25,7745,166980.0,13385.0,10705.0,8110.0,59265.0,67475.0,80760.0,86290.0,86220.0,80690.0
