Date,Symbol,Description,Open,High,Low,Close,TotalVolume
1946-01-02,Price_C2_0_IOB,Corn,644.5,644.5,644.5,644.5,2
1946-01-03,Price_C2_0_IOB,Corn,644.5,644.5,644.5,644.5,3
1946-01-04,Price_C2_0_IOB,Corn,644.5,644.5,644.5,644.5,28
1946-01-07,Price_C2_0_IOB,Corn,644.5,644.5,644.5,644.5,2
1946-01-08,Price_C2_0_IOB,Corn,644.5,644.5,644.5,644.5,0
1946-01-09,Price_C2_0_IOB,Corn,644.5,644.5,644.5,644.5,2
1946-01-10,Price_C2_0_IOB,Corn,644.5,644.5,644.5,644.5,4
1946-01-11,Price_C2_0_IOB,Corn,644.5,644.5,644.5,644.5,0
1946-01-14,Price_C2_0_IOB,Corn,644.5,644.5,644.5,644.5,0
1946-01-15,Price_C2_0_IOB,Corn,644.5,644.5,644.5,644.5,4
1946-01-16,Price_C2_0_IOB,Corn,644.5,644.5,644.5,644.5,0
1946-01-17,Price_C2_0_IOB,Corn,644.5,644.5,644.5,644.5,15
1946-01-18,Price_C2_0_IOB,Corn,644.5,644.5,644.5,644.5,2
1946-01-21,Price_C2_0_IOB,Corn,644.5,644.5,644.5,644.5,123
1946-01-22,Price_C2_0_IOB,Corn,644.5,644.5,644.5,644.5,2
1946-01-23,Price_C2_0_IOB,Corn,644.5,644.5,644.5,644.5,237
1946-01-24,Price_C2_0_IOB,Corn,644.5,644.5,644.5,644.5,338
1946-01-25,Price_C2_0_IOB,Corn,644.5,644.5,644.5,644.5,33
1946-01-28,Price_C2_0_IOB,Corn,644.5,644.5,644.5,644.5,4
1946-01-29,Price_C2_0_IOB,Corn,644.5,644.5,644.5,644.5,1
1946-01-30,Price_C2_0_IOB,Corn,644.5,644.5,644.5,644.5,32
1946-01-31,Price_C2_0_IOB,Corn,644.5,644.5,644.5,644.5,21
1946-02-01,Price_C2_0_IOB,Corn,644.5,644.5,644.5,644.5,4
1946-02-04,Price_C2_0_IOB,Corn,644.5,644.5,644.5,644.5,27
1946-02-05,Price_C2_0_IOB,Corn,644.5,644.5,644.5,644.5,330
1946-02-06,Price_C2_0_IOB,Corn,644.5,644.5,644.5,644.5,24
1946-02-07,Price_C2_0_IOB,Corn,644.5,644.5,644.5,644.5,15
1946-02-08,Price_C2_0_IOB,Corn,644.5,644.5,644.5,644.5,4
1946-02-11,Price_C2_0_IOB,Corn,644.5,644.5,644.5,644.5,2
1946-02-13,Price_C2_0_IOB,Corn,644.5,644.5,644.5,644.5,689
1946-02-14,Price_C2_0_IOB,Corn,644.5,644.5,644.5,644.5,26
1946-02-15,Price_C2_0_IOB,Corn,644.5,644.5,644.5,644.5,41
1946-02-18,Price_C2_0_IOB,Corn,644.5,644.5,644.5,644.5,30
1946-02-19,Price_C2_0_IOB,Corn,644.5,644.5,644.5,644.5,19
1946-02-20,Price_C2_0_IOB,Corn,644.5,644.5,644.5,644.5,12
1946-02-21,Price_C2_0_IOB,Corn,644.5,644.5,644.5,644.5,4
1946-02-25,Price_C2_0_IOB,Corn,644.5,644.5,644.5,644.5,1
1946-02-26,Price_C2_0_IOB,Corn,644.5,644.5,644.5,644.5,0
1946-02-27,Price_C2_0_IOB,Corn,644.5,644.5,644.5,644.5,8
1946-02-28,Price_C2_0_IOB,Corn,644.5,644.5,644.5,644.5,10
1946-03-01,Price_C2_0_IOB,Corn,644.5,644.5,644.5,644.5,7
1946-03-04,Price_C2_0_IOB,Corn,647.5,647.5,647.5,647.5,27
1946-03-05,Price_C2_0_IOB,Corn,647.5,647.5,647.5,647.5,5
1946-03-06,Price_C2_0_IOB,Corn,647.5,647.5,647.5,647.5,4
1946-03-07,Price_C2_0_IOB,Corn,647.5,647.5,647.5,647.5,5
1946-03-08,Price_C2_0_IOB,Corn,647.5,647.5,647.5,647.5,9
1946-03-11,Price_C2_0_IOB,Corn,647.5,647.5,647.5,647.5,6
1946-03-12,Price_C2_0_IOB,Corn,647.5,647.5,647.5,647.5,0
1946-03-13,Price_C2_0_IOB,Corn,647.5,647.5,647.5,647.5,0
1946-03-14,Price_C2_0_IOB,Corn,647.5,647.5,647.5,647.5,0
1946-03-15,Price_C2_0_IOB,Corn,647.5,647.5,647.5,647.5,8
1946-03-18,Price_C2_0_IOB,Corn,647.5,647.5,647.5,647.5,3
1946-03-19,Price_C2_0_IOB,Corn,647.5,647.5,647.5,647.5,3
1946-03-20,Price_C2_0_IOB,Corn,647.5,647.5,647.5,647.5,0
1946-03-21,Price_C2_0_IOB,Corn,647.5,647.5,647.5,647.5,4
1946-03-22,Price_C2_0_IOB,Corn,647.5,647.5,647.5,647.5,0
1946-03-25,Price_C2_0_IOB,Corn,647.5,647.5,647.5,647.5,5
1946-03-26,Price_C2_0_IOB,Corn,647.5,647.5,647.5,647.5,1
1946-03-27,Price_C2_0_IOB,Corn,647.5,647.5,647.5,647.5,2
1946-03-28,Price_C2_0_IOB,Corn,647.5,647.5,647.5,647.5,1
1946-03-29,Price_C2_0_IOB,Corn,647.5,647.5,647.5,647.5,0
1946-04-01,Price_C2_0_IOB,Corn,647.5,647.5,647.5,647.5,0
1946-04-02,Price_C2_0_IOB,Corn,647.5,647.5,647.5,647.5,2
1946-04-03,Price_C2_0_IOB,Corn,647.5,647.5,647.5,647.5,2
1946-04-04,Price_C2_0_IOB,Corn,647.5,647.5,647.5,647.5,3
1946-04-05,Price_C2_0_IOB,Corn,647.5,647.5,647.5,647.5,2
1946-04-08,Price_C2_0_IOB,Corn,647.5,647.5,647.5,647.5,3
1946-04-09,Price_C2_0_IOB,Corn,647.5,647.5,647.5,647.5,4
1946-04-10,Price_C2_0_IOB,Corn,647.5,647.5,647.5,647.5,2
1946-04-11,Price_C2_0_IOB,Corn,647.5,647.5,647.5,647.5,1
1946-04-12,Price_C2_0_IOB,Corn,647.5,647.5,647.5,647.5,1
1946-04-15,Price_C2_0_IOB,Corn,647.5,647.5,647.5,647.5,0
1946-04-16,Price_C2_0_IOB,Corn,647.5,647.5,647.5,647.5,0
1946-04-17,Price_C2_0_IOB,Corn,647.5,647.5,647.5,647.5,0
1946-04-18,Price_C2_0_IOB,Corn,647.5,647.5,647.5,647.5,6
1946-04-22,Price_C2_0_IOB,Corn,647.5,647.5,647.5,647.5,6
