Date,Symbol,Description,Open,High,Low,Close,TotalVolume
1965-12-30,Price_CC20_IOB,Cocoa,2179.16582,2183.57506,2175.85889,2177.622586,3613
1966-01-03,Price_CC20_IOB,Cocoa,2181.37044,2185.118294,2179.16582,2180.488592,1436
1966-01-04,Price_CC20_IOB,Cocoa,2176.299814,2186.220604,2174.75658,2183.134136,1584
1966-01-05,Price_CC20_IOB,Cocoa,2186.441066,2195.259546,2185.338756,2194.818622,1813
1966-01-06,Price_CC20_IOB,Cocoa,2189.747996,2191.952616,2186.441066,2189.08661,1486
1966-01-07,Price_CC20_IOB,Cocoa,2196.361856,2196.361856,2188.645686,2188.645686,1597
1966-01-10,Price_CC20_IOB,Cocoa,2183.134136,2184.236446,2176.520276,2176.520276,1721
1966-01-11,Price_CC20_IOB,Cocoa,2172.111036,2189.307072,2171.229188,2188.645686,2080
1966-01-12,Price_CC20_IOB,Cocoa,2179.827206,2194.157236,2179.827206,2192.39354,2291
1966-01-13,Price_CC20_IOB,Cocoa,2183.134136,2183.134136,2175.638428,2175.638428,2000
1966-01-14,Price_CC20_IOB,Cocoa,2183.134136,2183.134136,2159.985626,2163.292556,3046
1966-01-17,Price_CC20_IOB,Cocoa,2158.883316,2169.906416,2150.064836,2150.50576,2696
1966-01-18,Price_CC20_IOB,Cocoa,2144.553286,2157.781006,2135.734806,2139.041736,2881
1966-01-19,Price_CC20_IOB,Cocoa,2143.450976,2150.064836,2136.837116,2150.064836,2354
1966-01-20,Price_CC20_IOB,Cocoa,2155.576386,2162.190246,2154.253614,2154.253614,1344
1966-01-21,Price_CC20_IOB,Cocoa,2146.757906,2148.962526,2132.207414,2132.207414,2887
1966-01-24,Price_CC20_IOB,Cocoa,2132.207414,2139.041736,2128.018636,2130.443718,1835
1966-01-25,Price_CC20_IOB,Cocoa,2139.703122,2148.30114,2136.396192,2145.655596,1603
1966-01-26,Price_CC20_IOB,Cocoa,2150.064836,2155.576386,2149.844374,2152.71038,1726
1966-01-27,Price_CC20_IOB,Cocoa,2141.246356,2147.419292,2136.396192,2136.396192,1845
1966-01-28,Price_CC20_IOB,Cocoa,2131.325566,2137.27804,2116.995536,2125.373092,2679
1966-01-31,Price_CC20_IOB,Cocoa,2132.427876,2135.734806,2126.916326,2134.852958,1111
1966-02-01,Price_CC20_IOB,Cocoa,2138.600812,2148.962526,2137.939426,2147.860216,1335
1966-02-02,Price_CC20_IOB,Cocoa,2146.757906,2148.962526,2134.852958,2146.978368,2104
1966-02-03,Price_CC20_IOB,Cocoa,2141.246356,2143.010052,2134.632496,2135.514344,1777
1966-02-04,Price_CC20_IOB,Cocoa,2135.293882,2135.734806,2124.932168,2133.97111,2528
