Date,Symbol,Description,Open,High,Low,Close,TotalVolume
1972-05-16,Price_CD_0_IOB,Canadian Dollar,0.8098,0.8098,0.8085,0.8085,35
1972-05-17,Price_CD_0_IOB,Canadian Dollar,0.8095,0.8098,0.8092,0.8094,450
1972-05-18,Price_CD_0_IOB,Canadian Dollar,0.8095,0.8096,0.8089,0.8096,466
1972-05-19,Price_CD_0_IOB,Canadian Dollar,0.8095,0.8095,0.8095,0.8095,647
1972-05-22,Price_CD_0_IOB,Canadian Dollar,0.8095,0.8095,0.8095,0.8095,415
1972-05-23,Price_CD_0_IOB,Canadian Dollar,0.8095,0.8095,0.8095,0.8095,426
1972-05-24,Price_CD_0_IOB,Canadian Dollar,0.8095,0.8095,0.8095,0.8095,1320
1972-05-25,Price_CD_0_IOB,Canadian Dollar,0.8122,0.8122,0.8122,0.8122,308
1972-05-26,Price_CD_0_IOB,Canadian Dollar,0.8122,0.8122,0.8122,0.8122,446
1972-05-30,Price_CD_0_IOB,Canadian Dollar,0.8135,0.8135,0.8135,0.8135,1553
1972-05-31,Price_CD_0_IOB,Canadian Dollar,0.8146,0.8146,0.8146,0.8146,1010
1972-06-01,Price_CD_0_IOB,Canadian Dollar,0.8146,0.8146,0.8146,0.8146,40
1972-06-02,Price_CD_0_IOB,Canadian Dollar,0.8146,0.8146,0.8146,0.8146,611
1972-06-05,Price_CD_0_IOB,Canadian Dollar,0.8181,0.8181,0.8181,0.8181,1034
1972-06-06,Price_CD_0_IOB,Canadian Dollar,0.819,0.819,0.819,0.819,876
1972-06-07,Price_CD_0_IOB,Canadian Dollar,0.8202,0.8202,0.8202,0.8202,299
1972-06-08,Price_CD_0_IOB,Canadian Dollar,0.822,0.8222,0.822,0.8222,516
1972-06-09,Price_CD_0_IOB,Canadian Dollar,0.8222,0.8222,0.8222,0.8222,450
1972-06-12,Price_CD_0_IOB,Canadian Dollar,0.8216,0.8216,0.8216,0.8216,285
1972-06-13,Price_CD_0_IOB,Canadian Dollar,0.8216,0.822,0.8216,0.822,214
1972-06-14,Price_CD_0_IOB,Canadian Dollar,0.8226,0.824,0.8226,0.824,607
1972-06-15,Price_CD_0_IOB,Canadian Dollar,0.8245,0.8246,0.8245,0.8246,233
1972-06-16,Price_CD_0_IOB,Canadian Dollar,0.824,0.824,0.824,0.824,259
1972-06-19,Price_CD_0_IOB,Canadian Dollar,0.8223,0.8224,0.8223,0.8224,270
1972-06-20,Price_CD_0_IOB,Canadian Dollar,0.8211,0.8212,0.8211,0.8212,622
1972-06-21,Price_CD_0_IOB,Canadian Dollar,0.8197,0.8198,0.8197,0.8198,233
1972-06-22,Price_CD_0_IOB,Canadian Dollar,0.8204,0.8206,0.8204,0.8206,216
1972-06-23,Price_CD_0_IOB,Canadian Dollar,0.8222,0.824,0.8222,0.824,508
