Date,Symbol,Description,Open,High,Low,Close,TotalVolume
1981-12-09,Price_ED_0_IOB,Eurodollar,62.475,62.505,62.075,62.145,3400
1981-12-10,Price_ED_0_IOB,Eurodollar,61.965,61.995,61.525,61.605,2375
1981-12-11,Price_ED_0_IOB,Eurodollar,61.515,61.705,61.435,61.545,1384
1981-12-14,Price_ED_0_IOB,Eurodollar,61.155,61.665,61.115,61.625,1440
1981-12-15,Price_ED_0_IOB,Eurodollar,61.795,61.945,61.715,61.795,881
1981-12-16,Price_ED_0_IOB,Eurodollar,61.705,61.875,61.625,61.625,603
1981-12-17,Price_ED_0_IOB,Eurodollar,61.615,61.635,61.075,61.075,689
1981-12-18,Price_ED_0_IOB,Eurodollar,61.045,61.685,61.025,61.645,861
1981-12-21,Price_ED_0_IOB,Eurodollar,61.195,61.245,61.045,61.055,699
1981-12-22,Price_ED_0_IOB,Eurodollar,60.965,61.175,60.855,61.025,560
1981-12-23,Price_ED_0_IOB,Eurodollar,60.645,60.815,60.595,60.595,393
1981-12-24,Price_ED_0_IOB,Eurodollar,60.805,61.005,60.765,60.835,333
1981-12-28,Price_ED_0_IOB,Eurodollar,60.925,61.005,60.575,60.575,152
1981-12-29,Price_ED_0_IOB,Eurodollar,60.755,60.805,60.435,60.635,471
1981-12-30,Price_ED_0_IOB,Eurodollar,60.665,60.945,60.595,60.895,366
1981-12-31,Price_ED_0_IOB,Eurodollar,61.085,61.385,61.085,61.325,564
1982-01-04,Price_ED_0_IOB,Eurodollar,61.495,61.555,61.165,61.205,693
1982-01-05,Price_ED_0_IOB,Eurodollar,60.615,60.905,60.475,60.795,767
1982-01-06,Price_ED_0_IOB,Eurodollar,61.095,61.185,60.635,60.655,590
1982-01-07,Price_ED_0_IOB,Eurodollar,60.595,60.815,60.535,60.765,572
1982-01-08,Price_ED_0_IOB,Eurodollar,60.825,60.995,60.795,60.895,489
1982-01-11,Price_ED_0_IOB,Eurodollar,60.735,60.765,60.125,60.215,609
1982-01-12,Price_ED_0_IOB,Eurodollar,60.305,60.425,60.175,60.415,541
1982-01-13,Price_ED_0_IOB,Eurodollar,60.515,60.595,59.995,60.005,438
1982-01-14,Price_ED_0_IOB,Eurodollar,59.925,60.245,59.905,60.235,660
1982-01-15,Price_ED_0_IOB,Eurodollar,60.335,60.415,59.995,60.065,338
1982-01-18,Price_ED_0_IOB,Eurodollar,59.845,60.205,59.845,60.155,656
1982-01-19,Price_ED_0_IOB,Eurodollar,60.195,60.355,60.005,60.005,432
1982-01-20,Price_ED_0_IOB,Eurodollar,60.065,60.085,59.835,59.925,524
1982-01-21,Price_ED_0_IOB,Eurodollar,60.105,60.265,59.785,59.875,520
1982-01-22,Price_ED_0_IOB,Eurodollar,59.935,59.975,59.655,59.675,589
1982-01-25,Price_ED_0_IOB,Eurodollar,59.295,59.585,59.205,59.585,660
1982-01-26,Price_ED_0_IOB,Eurodollar,59.645,60.115,59.625,59.955,888
1982-01-27,Price_ED_0_IOB,Eurodollar,60.065,60.205,59.895,60.045,366
1982-01-28,Price_ED_0_IOB,Eurodollar,59.925,60.585,59.925,60.555,424
1982-01-29,Price_ED_0_IOB,Eurodollar,60.595,60.605,60.395,60.485,314
1982-02-01,Price_ED_0_IOB,Eurodollar,59.765,59.855,59.485,59.485,535
1982-02-02,Price_ED_0_IOB,Eurodollar,59.525,59.845,59.515,59.625,941
1982-02-03,Price_ED_0_IOB,Eurodollar,59.775,59.845,59.455,59.475,759
1982-02-04,Price_ED_0_IOB,Eurodollar,59.625,59.755,59.495,59.595,611
1982-02-05,Price_ED_0_IOB,Eurodollar,59.645,59.735,59.495,59.645,365
1982-02-08,Price_ED_0_IOB,Eurodollar,59.495,59.675,59.325,59.325,334
1982-02-09,Price_ED_0_IOB,Eurodollar,59.315,59.325,59.075,59.145,613
1982-02-10,Price_ED_0_IOB,Eurodollar,59.245,59.275,59.135,59.255,428
1982-02-11,Price_ED_0_IOB,Eurodollar,59.265,59.335,59.015,59.175,304
1982-02-12,Price_ED_0_IOB,Eurodollar,59.105,59.155,59.105,59.105,213
1982-02-16,Price_ED_0_IOB,Eurodollar,58.815,59.135,58.695,59.125,608
1982-02-17,Price_ED_0_IOB,Eurodollar,59.225,59.565,59.215,59.215,701
1982-02-18,Price_ED_0_IOB,Eurodollar,59.315,59.675,59.315,59.615,575
1982-02-19,Price_ED_0_IOB,Eurodollar,59.785,59.815,59.665,59.595,484
1982-02-22,Price_ED_0_IOB,Eurodollar,60.205,60.375,60.115,60.345,932
1982-02-23,Price_ED_0_IOB,Eurodollar,60.375,60.415,60.205,60.215,1167
1982-02-24,Price_ED_0_IOB,Eurodollar,60.315,60.325,60.215,60.265,1330
1982-02-25,Price_ED_0_IOB,Eurodollar,60.245,60.355,60.245,60.355,508
1982-02-26,Price_ED_0_IOB,Eurodollar,60.165,60.335,59.915,59.915,471
1982-03-01,Price_ED_0_IOB,Eurodollar,60.275,60.295,60.155,60.295,413
1982-03-02,Price_ED_0_IOB,Eurodollar,60.385,60.515,60.305,60.365,549
1982-03-03,Price_ED_0_IOB,Eurodollar,60.415,60.535,60.215,60.565,549
1982-03-04,Price_ED_0_IOB,Eurodollar,60.665,60.715,60.595,60.715,799
1982-03-05,Price_ED_0_IOB,Eurodollar,60.865,60.865,60.615,60.685,269
1982-03-08,Price_ED_0_IOB,Eurodollar,61.165,61.165,60.795,60.815,582
1982-03-09,Price_ED_0_IOB,Eurodollar,60.625,60.635,60.515,60.555,579
1982-03-10,Price_ED_0_IOB,Eurodollar,60.515,60.625,60.455,60.525,557
1982-03-11,Price_ED_0_IOB,Eurodollar,60.465,60.465,60.265,60.265,654
1982-03-12,Price_ED_0_IOB,Eurodollar,60.165,60.265,59.925,60.065,756
1982-03-15,Price_ED_0_IOB,Eurodollar,60.115,60.125,59.855,59.985,831
1982-03-16,Price_ED_0_IOB,Eurodollar,59.875,60.085,59.805,59.905,662
1982-03-17,Price_ED_0_IOB,Eurodollar,60.065,60.185,59.985,59.995,564
1982-03-18,Price_ED_0_IOB,Eurodollar,60.045,60.145,59.845,59.855,675
1982-03-19,Price_ED_0_IOB,Eurodollar,59.805,59.885,59.695,59.705,632
1982-03-22,Price_ED_0_IOB,Eurodollar,59.935,60.095,59.935,60.085,608
1982-03-23,Price_ED_0_IOB,Eurodollar,60.205,60.365,60.175,60.245,732
1982-03-24,Price_ED_0_IOB,Eurodollar,60.395,60.415,60.045,60.015,886
1982-03-25,Price_ED_0_IOB,Eurodollar,59.955,60.025,59.905,59.915,570
1982-03-26,Price_ED_0_IOB,Eurodollar,59.865,59.935,59.715,59.715,662
1982-03-29,Price_ED_0_IOB,Eurodollar,59.615,59.635,59.465,59.485,544
1982-03-30,Price_ED_0_IOB,Eurodollar,59.615,59.695,59.415,59.415,557
1982-03-31,Price_ED_0_IOB,Eurodollar,59.345,59.695,59.345,59.695,721
1982-04-01,Price_ED_0_IOB,Eurodollar,59.695,59.845,59.685,59.815,781
1982-04-02,Price_ED_0_IOB,Eurodollar,59.645,59.675,59.555,59.605,527
1982-04-05,Price_ED_0_IOB,Eurodollar,59.825,59.825,59.645,59.665,746
1982-04-06,Price_ED_0_IOB,Eurodollar,59.765,59.765,59.535,59.595,495
1982-04-07,Price_ED_0_IOB,Eurodollar,59.665,59.685,59.455,59.475,452
1982-04-08,Price_ED_0_IOB,Eurodollar,59.425,59.665,59.375,59.645,387
1982-04-12,Price_ED_0_IOB,Eurodollar,59.855,60.115,59.785,60.095,411
1982-04-13,Price_ED_0_IOB,Eurodollar,60.095,60.115,59.955,59.975,713
1982-04-14,Price_ED_0_IOB,Eurodollar,59.825,59.965,59.815,59.925,750
1982-04-15,Price_ED_0_IOB,Eurodollar,59.795,59.925,59.795,59.915,468
1982-04-16,Price_ED_0_IOB,Eurodollar,59.875,60.205,59.875,60.115,725
1982-04-19,Price_ED_0_IOB,Eurodollar,60.095,60.385,60.075,60.305,858
1982-04-20,Price_ED_0_IOB,Eurodollar,60.395,60.435,60.245,60.315,1007
1982-04-21,Price_ED_0_IOB,Eurodollar,60.475,60.585,60.335,60.415,1397
1982-04-22,Price_ED_0_IOB,Eurodollar,60.315,60.445,60.275,60.405,901
1982-04-23,Price_ED_0_IOB,Eurodollar,60.565,60.695,60.515,60.685,1373
1982-04-26,Price_ED_0_IOB,Eurodollar,60.825,60.825,60.655,60.705,1330
1982-04-27,Price_ED_0_IOB,Eurodollar,60.695,60.725,60.585,60.625,893
1982-04-28,Price_ED_0_IOB,Eurodollar,60.615,60.615,60.505,60.525,629
1982-04-29,Price_ED_0_IOB,Eurodollar,60.365,60.515,60.305,60.515,1069
1982-04-30,Price_ED_0_IOB,Eurodollar,60.615,60.675,60.565,60.645,760
1982-05-03,Price_ED_0_IOB,Eurodollar,60.615,60.625,60.365,60.365,510
1982-05-04,Price_ED_0_IOB,Eurodollar,60.285,60.465,60.175,60.445,814
1982-05-05,Price_ED_0_IOB,Eurodollar,60.535,60.635,60.525,60.635,740
1982-05-06,Price_ED_0_IOB,Eurodollar,60.865,61.015,60.805,60.985,1308
1982-05-07,Price_ED_0_IOB,Eurodollar,61.105,61.255,61.085,61.235,1206
1982-05-10,Price_ED_0_IOB,Eurodollar,61.195,61.195,61.095,61.115,1226
1982-05-11,Price_ED_0_IOB,Eurodollar,61.075,61.195,61.015,61.145,957
1982-05-12,Price_ED_0_IOB,Eurodollar,61.225,61.225,60.925,60.925,1307
1982-05-13,Price_ED_0_IOB,Eurodollar,60.855,60.925,60.775,60.775,781
1982-05-14,Price_ED_0_IOB,Eurodollar,60.795,61.075,60.795,61.025,815
1982-05-17,Price_ED_0_IOB,Eurodollar,61.085,61.115,60.815,60.825,998
1982-05-18,Price_ED_0_IOB,Eurodollar,60.785,60.865,60.685,60.865,1525
1982-05-19,Price_ED_0_IOB,Eurodollar,60.845,60.845,60.745,60.775,1413
1982-05-20,Price_ED_0_IOB,Eurodollar,60.815,61.315,60.815,61.285,1629
1982-05-21,Price_ED_0_IOB,Eurodollar,61.285,61.465,61.135,61.145,1422
1982-05-24,Price_ED_0_IOB,Eurodollar,61.095,61.205,61.085,61.145,606
1982-05-25,Price_ED_0_IOB,Eurodollar,61.135,61.135,60.995,61.015,1401
1982-05-26,Price_ED_0_IOB,Eurodollar,61.085,61.135,60.905,60.905,1728
1982-05-27,Price_ED_0_IOB,Eurodollar,60.945,60.945,60.845,60.895,812
1982-05-28,Price_ED_0_IOB,Eurodollar,60.945,61.025,60.835,60.945,706
1982-06-01,Price_ED_0_IOB,Eurodollar,60.865,60.865,60.295,60.305,1727
1982-06-02,Price_ED_0_IOB,Eurodollar,60.325,60.455,60.275,60.435,1702
1982-06-03,Price_ED_0_IOB,Eurodollar,60.375,60.555,60.255,60.365,1183
1982-06-04,Price_ED_0_IOB,Eurodollar,60.385,60.385,60.065,60.065,1816
1982-06-07,Price_ED_0_IOB,Eurodollar,60.015,60.295,60.015,60.275,1158
1982-06-08,Price_ED_0_IOB,Eurodollar,60.135,60.185,60.055,60.055,1463
1982-06-09,Price_ED_0_IOB,Eurodollar,60.035,60.255,59.995,60.245,1071
1982-06-10,Price_ED_0_IOB,Eurodollar,60.175,60.235,60.085,60.095,865
1982-06-11,Price_ED_0_IOB,Eurodollar,60.305,60.325,60.195,60.245,1023
1982-06-14,Price_ED_0_IOB,Eurodollar,59.835,59.975,59.665,59.685,1236
1982-06-15,Price_ED_0_IOB,Eurodollar,59.595,59.715,59.555,59.675,1509
1982-06-16,Price_ED_0_IOB,Eurodollar,59.695,59.745,59.625,59.625,715
1982-06-17,Price_ED_0_IOB,Eurodollar,59.365,59.365,59.185,59.255,1206
1982-06-18,Price_ED_0_IOB,Eurodollar,59.155,59.265,59.085,59.105,904
1982-06-21,Price_ED_0_IOB,Eurodollar,59.115,59.265,59.065,59.145,1007
1982-06-22,Price_ED_0_IOB,Eurodollar,59.165,59.265,58.985,58.995,1152
1982-06-23,Price_ED_0_IOB,Eurodollar,58.965,59.065,58.835,59.055,969
1982-06-24,Price_ED_0_IOB,Eurodollar,59.085,59.095,58.735,58.795,773
1982-06-25,Price_ED_0_IOB,Eurodollar,58.675,58.775,58.605,58.615,686
1982-06-28,Price_ED_0_IOB,Eurodollar,58.635,58.795,58.595,58.795,980
1982-06-29,Price_ED_0_IOB,Eurodollar,58.915,59.115,58.885,59.095,1060
1982-06-30,Price_ED_0_IOB,Eurodollar,59.305,59.405,59.185,59.205,1265
1982-07-01,Price_ED_0_IOB,Eurodollar,59.235,59.415,59.195,59.415,617
1982-07-02,Price_ED_0_IOB,Eurodollar,59.325,59.345,59.205,59.245,648
1982-07-06,Price_ED_0_IOB,Eurodollar,59.485,59.485,59.295,59.305,729
1982-07-07,Price_ED_0_IOB,Eurodollar,59.235,59.445,59.145,59.435,963
1982-07-08,Price_ED_0_IOB,Eurodollar,59.515,59.955,59.495,59.895,1216
1982-07-09,Price_ED_0_IOB,Eurodollar,59.985,60.145,59.945,59.965,1156
1982-07-12,Price_ED_0_IOB,Eurodollar,60.265,60.425,60.075,60.105,1759
1982-07-13,Price_ED_0_IOB,Eurodollar,60.015,60.045,59.795,59.865,1258
1982-07-14,Price_ED_0_IOB,Eurodollar,59.815,59.985,59.745,59.765,488
1982-07-15,Price_ED_0_IOB,Eurodollar,59.885,60.025,59.885,59.945,706
1982-07-16,Price_ED_0_IOB,Eurodollar,60.045,60.405,59.925,60.325,1051
1982-07-19,Price_ED_0_IOB,Eurodollar,60.415,60.565,60.335,60.345,877
1982-07-20,Price_ED_0_IOB,Eurodollar,60.525,60.775,60.475,60.595,1246
1982-07-21,Price_ED_0_IOB,Eurodollar,60.755,60.755,60.365,60.365,1225
1982-07-22,Price_ED_0_IOB,Eurodollar,60.265,60.625,60.265,60.595,1266
1982-07-23,Price_ED_0_IOB,Eurodollar,60.695,60.825,60.695,60.725,1553
1982-07-26,Price_ED_0_IOB,Eurodollar,60.575,60.585,60.415,60.445,1536
1982-07-27,Price_ED_0_IOB,Eurodollar,60.325,60.475,60.285,60.405,1404
1982-07-28,Price_ED_0_IOB,Eurodollar,60.325,60.355,60.135,60.165,1012
1982-07-29,Price_ED_0_IOB,Eurodollar,60.305,60.385,60.145,60.305,830
1982-07-30,Price_ED_0_IOB,Eurodollar,60.485,60.605,60.485,60.595,917
1982-08-02,Price_ED_0_IOB,Eurodollar,61.145,61.145,60.895,61.045,1729
1982-08-03,Price_ED_0_IOB,Eurodollar,61.025,61.055,60.665,60.675,1651
1982-08-04,Price_ED_0_IOB,Eurodollar,60.605,60.855,60.605,60.855,1175
1982-08-05,Price_ED_0_IOB,Eurodollar,60.805,60.835,60.665,60.835,958
1982-08-06,Price_ED_0_IOB,Eurodollar,60.745,60.745,60.535,60.535,1489
1982-08-09,Price_ED_0_IOB,Eurodollar,60.385,60.675,60.305,60.675,1876
1982-08-10,Price_ED_0_IOB,Eurodollar,60.705,60.745,60.545,60.565,1335
1982-08-11,Price_ED_0_IOB,Eurodollar,60.515,60.625,60.495,60.515,862
1982-08-12,Price_ED_0_IOB,Eurodollar,60.545,60.775,60.515,60.755,1226
1982-08-13,Price_ED_0_IOB,Eurodollar,60.875,60.995,60.845,60.985,2182
1982-08-16,Price_ED_0_IOB,Eurodollar,61.315,61.675,61.295,61.375,2503
1982-08-17,Price_ED_0_IOB,Eurodollar,61.345,61.915,61.285,61.785,2845
1982-08-18,Price_ED_0_IOB,Eurodollar,62.265,62.695,62.245,62.365,2710
1982-08-19,Price_ED_0_IOB,Eurodollar,62.315,62.425,62.165,62.315,2128
