Date,Symbol,Description,Open,High,Low,Close,TotalVolume
1978-11-15,Price_HO20_IOB,Heating Oil,1.4052,1.4057,1.4052,1.4057,2
1978-11-16,Price_HO20_IOB,Heating Oil,1.4057,1.4057,1.4057,1.4057,2
1978-11-17,Price_HO20_IOB,Heating Oil,1.4047,1.4102,1.4047,1.4102,0
1978-11-20,Price_HO20_IOB,Heating Oil,1.4017,1.4102,1.4017,1.4102,2
1978-11-21,Price_HO20_IOB,Heating Oil,1.4007,1.4102,1.4007,1.4102,0
1978-11-22,Price_HO20_IOB,Heating Oil,1.4117,1.4117,1.4102,1.4102,0
1978-11-24,Price_HO20_IOB,Heating Oil,1.4132,1.4132,1.4132,1.4132,0
1978-11-27,Price_HO20_IOB,Heating Oil,1.4077,1.4107,1.4077,1.4107,1
1978-11-28,Price_HO20_IOB,Heating Oil,1.4107,1.4107,1.4107,1.4107,0
1978-11-29,Price_HO20_IOB,Heating Oil,1.4057,1.4057,1.4057,1.4057,0
1978-11-30,Price_HO20_IOB,Heating Oil,1.3997,1.3997,1.3997,1.3997,0
1978-12-01,Price_HO20_IOB,Heating Oil,1.4097,1.4097,1.3997,1.3997,0
1978-12-04,Price_HO20_IOB,Heating Oil,1.3907,1.3937,1.3907,1.3937,2
1978-12-05,Price_HO20_IOB,Heating Oil,1.3967,1.3967,1.3937,1.3937,1
1978-12-06,Price_HO20_IOB,Heating Oil,1.3957,1.3957,1.3957,1.3957,12
1978-12-07,Price_HO20_IOB,Heating Oil,1.3957,1.3957,1.3957,1.3957,0
1978-12-08,Price_HO20_IOB,Heating Oil,1.3952,1.3952,1.3912,1.3952,0
1978-12-11,Price_HO20_IOB,Heating Oil,1.3937,1.3937,1.3927,1.3937,4
1978-12-12,Price_HO20_IOB,Heating Oil,1.3927,1.3927,1.3927,1.3927,5
1978-12-13,Price_HO20_IOB,Heating Oil,1.3927,1.3927,1.3927,1.3927,8
1978-12-14,Price_HO20_IOB,Heating Oil,1.3927,1.3927,1.3927,1.3927,0
1978-12-15,Price_HO20_IOB,Heating Oil,1.3932,1.3937,1.3927,1.3937,10
1978-12-18,Price_HO20_IOB,Heating Oil,1.3956,1.3956,1.3947,1.3951,15
1978-12-19,Price_HO20_IOB,Heating Oil,1.395,1.395,1.3947,1.3947,1
1978-12-20,Price_HO20_IOB,Heating Oil,1.3947,1.3947,1.3947,1.3947,0
1978-12-21,Price_HO20_IOB,Heating Oil,1.3987,1.3987,1.3987,1.3987,5
1978-12-22,Price_HO20_IOB,Heating Oil,1.3987,1.3987,1.3987,1.3987,0
1978-12-26,Price_HO20_IOB,Heating Oil,1.3997,1.3997,1.3987,1.3987,0
1978-12-27,Price_HO20_IOB,Heating Oil,1.3987,1.3987,1.3987,1.3987,4
1978-12-28,Price_HO20_IOB,Heating Oil,1.3987,1.3997,1.3987,1.3997,10
1978-12-29,Price_HO20_IOB,Heating Oil,1.3987,1.3997,1.3987,1.3997,0
