Date,Symbol,Description,Open,High,Low,Close,TotalVolume
1969-10-01,Price_LB_0_IOB,Lumber,815.0,815.0,810.7,812.0,146
1969-10-02,Price_LB_0_IOB,Lumber,812.0,812.0,812.0,812.0,73
1969-10-03,Price_LB_0_IOB,Lumber,811.0,811.0,811.0,811.0,1
1969-10-06,Price_LB_0_IOB,Lumber,811.0,811.0,811.0,811.0,3
1969-10-07,Price_LB_0_IOB,Lumber,810.5,811.0,810.5,811.0,36
1969-10-08,Price_LB_0_IOB,Lumber,811.0,811.0,811.0,811.0,9
1969-10-09,Price_LB_0_IOB,Lumber,810.7,811.0,810.7,811.0,8
1969-10-10,Price_LB_0_IOB,Lumber,811.7,812.5,811.7,812.5,7
1969-10-13,Price_LB_0_IOB,Lumber,813.0,814.5,813.0,814.5,9
1969-10-14,Price_LB_0_IOB,Lumber,814.5,814.5,814.5,814.5,4
1969-10-15,Price_LB_0_IOB,Lumber,815.5,815.5,815.5,815.5,4
1969-10-16,Price_LB_0_IOB,Lumber,815.5,815.5,815.5,815.5,3
1969-10-17,Price_LB_0_IOB,Lumber,816.0,816.0,816.0,816.0,10
1969-10-20,Price_LB_0_IOB,Lumber,818.0,818.0,818.0,818.0,1
1969-10-21,Price_LB_0_IOB,Lumber,818.0,818.0,818.0,818.0,16
1969-10-22,Price_LB_0_IOB,Lumber,818.0,818.5,818.0,818.0,13
1969-10-23,Price_LB_0_IOB,Lumber,818.7,819.5,818.7,819.5,13
1969-10-24,Price_LB_0_IOB,Lumber,820.0,820.5,820.0,820.5,6
1969-10-27,Price_LB_0_IOB,Lumber,822.0,828.0,822.0,828.0,22
1969-10-28,Price_LB_0_IOB,Lumber,825.0,825.0,821.0,821.0,13
1969-10-29,Price_LB_0_IOB,Lumber,822.0,822.0,822.0,822.0,7
1969-10-30,Price_LB_0_IOB,Lumber,822.0,822.0,822.0,822.0,0
1969-10-31,Price_LB_0_IOB,Lumber,822.0,822.0,822.0,822.0,2
1969-11-03,Price_LB_0_IOB,Lumber,823.0,823.0,823.0,823.0,6
1969-11-04,Price_LB_0_IOB,Lumber,823.5,823.5,823.5,823.5,10
1969-11-05,Price_LB_0_IOB,Lumber,824.0,824.0,822.5,823.5,14
1969-11-06,Price_LB_0_IOB,Lumber,823.5,825.0,823.5,825.0,10
1969-11-07,Price_LB_0_IOB,Lumber,825.0,825.0,825.0,825.0,13
1969-11-10,Price_LB_0_IOB,Lumber,825.0,825.0,824.5,824.5,16
1969-11-11,Price_LB_0_IOB,Lumber,824.5,824.5,824.5,824.5,17
1969-11-12,Price_LB_0_IOB,Lumber,824.5,824.5,823.5,824.0,16
1969-11-13,Price_LB_0_IOB,Lumber,823.5,823.5,823.0,823.0,23
1969-11-14,Price_LB_0_IOB,Lumber,821.5,821.5,821.0,821.0,10
1969-11-17,Price_LB_0_IOB,Lumber,821.0,821.0,821.0,821.0,1
1969-11-18,Price_LB_0_IOB,Lumber,819.5,819.5,819.5,819.5,11
1969-11-19,Price_LB_0_IOB,Lumber,818.0,818.5,818.0,818.5,17
1969-11-20,Price_LB_0_IOB,Lumber,818.5,818.5,818.0,818.0,17
1969-11-21,Price_LB_0_IOB,Lumber,816.0,816.5,816.0,816.5,6
1969-11-24,Price_LB_0_IOB,Lumber,816.5,818.0,816.5,817.0,2
1969-11-25,Price_LB_0_IOB,Lumber,817.0,817.0,817.0,817.0,1
1969-11-26,Price_LB_0_IOB,Lumber,817.0,817.0,817.0,817.0,5
1969-11-28,Price_LB_0_IOB,Lumber,817.0,817.0,816.5,817.0,24
1969-12-01,Price_LB_0_IOB,Lumber,816.0,816.0,815.7,815.7,12
1969-12-02,Price_LB_0_IOB,Lumber,816.5,816.5,816.5,816.5,5
1969-12-03,Price_LB_0_IOB,Lumber,816.5,816.5,816.5,816.5,2
1969-12-04,Price_LB_0_IOB,Lumber,816.5,816.5,816.5,816.5,3
1969-12-05,Price_LB_0_IOB,Lumber,817.0,818.0,817.0,818.0,2
1969-12-08,Price_LB_0_IOB,Lumber,818.0,818.0,818.0,818.0,2
1969-12-09,Price_LB_0_IOB,Lumber,819.0,819.0,818.0,818.0,12
1969-12-10,Price_LB_0_IOB,Lumber,818.0,818.0,818.0,818.0,1
1969-12-11,Price_LB_0_IOB,Lumber,818.0,818.0,818.0,818.0,0
1969-12-12,Price_LB_0_IOB,Lumber,818.5,818.5,818.0,818.0,8
1969-12-15,Price_LB_0_IOB,Lumber,818.2,818.2,818.2,818.2,3
1969-12-16,Price_LB_0_IOB,Lumber,818.2,818.2,818.2,818.2,10
1969-12-17,Price_LB_0_IOB,Lumber,818.7,818.7,818.7,818.7,1
1969-12-18,Price_LB_0_IOB,Lumber,819.0,819.0,819.0,819.0,20
1969-12-19,Price_LB_0_IOB,Lumber,819.0,819.0,819.0,819.0,10
1969-12-22,Price_LB_0_IOB,Lumber,819.0,819.0,819.0,819.0,0
1969-12-23,Price_LB_0_IOB,Lumber,819.0,819.0,819.0,819.0,0
1969-12-24,Price_LB_0_IOB,Lumber,819.0,819.0,819.0,819.0,5
1969-12-29,Price_LB_0_IOB,Lumber,819.0,819.0,819.0,819.0,0
1969-12-30,Price_LB_0_IOB,Lumber,818.5,819.5,818.5,819.5,5
1969-12-31,Price_LB_0_IOB,Lumber,818.0,820.0,818.0,818.7,9
1970-01-05,Price_LB_0_IOB,Lumber,820.0,820.0,820.0,820.0,3
1970-01-06,Price_LB_0_IOB,Lumber,819.0,819.0,819.0,819.0,4
1970-01-07,Price_LB_0_IOB,Lumber,818.0,818.2,818.0,818.2,5
1970-01-08,Price_LB_0_IOB,Lumber,817.5,817.5,817.0,817.0,29
1970-01-09,Price_LB_0_IOB,Lumber,816.7,816.7,816.2,816.7,29
1970-01-12,Price_LB_0_IOB,Lumber,816.5,816.5,816.5,816.5,2
1970-01-13,Price_LB_0_IOB,Lumber,816.2,817.0,816.2,817.0,5
1970-01-14,Price_LB_0_IOB,Lumber,816.7,816.7,816.0,816.2,18
1970-01-15,Price_LB_0_IOB,Lumber,816.0,816.0,816.0,816.0,17
1970-01-16,Price_LB_0_IOB,Lumber,816.0,816.0,816.0,816.0,26
1970-01-19,Price_LB_0_IOB,Lumber,815.7,815.7,815.5,815.7,15
1970-01-20,Price_LB_0_IOB,Lumber,815.0,815.0,815.0,815.0,24
1970-01-21,Price_LB_0_IOB,Lumber,815.0,815.0,814.5,814.5,19
1970-01-22,Price_LB_0_IOB,Lumber,815.5,819.0,815.5,819.0,25
1970-01-23,Price_LB_0_IOB,Lumber,816.5,816.5,815.0,815.0,35
1970-01-26,Price_LB_0_IOB,Lumber,815.0,815.0,815.0,815.0,9
1970-01-27,Price_LB_0_IOB,Lumber,816.0,816.0,815.0,815.0,7
1970-01-28,Price_LB_0_IOB,Lumber,815.2,815.2,814.5,815.0,35
1970-01-29,Price_LB_0_IOB,Lumber,815.0,815.0,815.0,815.0,20
1970-01-30,Price_LB_0_IOB,Lumber,815.0,815.0,814.0,814.0,39
1970-02-02,Price_LB_0_IOB,Lumber,815.0,815.5,815.0,815.5,13
1970-02-03,Price_LB_0_IOB,Lumber,815.2,815.5,815.0,815.5,15
1970-02-04,Price_LB_0_IOB,Lumber,815.5,817.5,815.5,817.5,9
1970-02-05,Price_LB_0_IOB,Lumber,817.5,817.5,817.5,817.5,16
1970-02-06,Price_LB_0_IOB,Lumber,817.0,817.0,817.0,817.0,11
1970-02-09,Price_LB_0_IOB,Lumber,817.0,817.0,817.0,817.0,6
1970-02-10,Price_LB_0_IOB,Lumber,817.0,817.0,817.0,817.0,16
1970-02-11,Price_LB_0_IOB,Lumber,817.0,817.0,817.0,817.0,11
1970-02-12,Price_LB_0_IOB,Lumber,817.7,817.7,817.5,817.5,15
1970-02-13,Price_LB_0_IOB,Lumber,817.2,817.2,817.2,817.2,2
1970-02-16,Price_LB_0_IOB,Lumber,817.5,817.7,817.0,817.0,19
1970-02-17,Price_LB_0_IOB,Lumber,817.0,817.0,816.5,816.5,17
1970-02-18,Price_LB_0_IOB,Lumber,816.5,816.5,816.5,816.5,11
1970-02-19,Price_LB_0_IOB,Lumber,816.0,816.0,816.0,816.0,18
1970-02-20,Price_LB_0_IOB,Lumber,815.5,815.5,815.0,815.5,38
1970-02-24,Price_LB_0_IOB,Lumber,816.0,816.0,815.5,816.0,14
1970-02-25,Price_LB_0_IOB,Lumber,815.5,815.7,815.5,815.5,27
