Date,Symbol,Description,Open,High,Low,Close,TotalVolume
1995-04-25,Price_MP_0_IOB,Mexican Peso,0.0376,0.0381,0.0301,0.0319,832
1995-04-26,Price_MP_0_IOB,Mexican Peso,0.0321,0.0343,0.0321,0.034,866
1995-04-27,Price_MP_0_IOB,Mexican Peso,0.0338,0.0348,0.0251,0.0301,918
1995-04-28,Price_MP_0_IOB,Mexican Peso,0.0311,0.0321,0.0281,0.0308,557
1995-05-01,Price_MP_0_IOB,Mexican Peso,0.0326,0.0326,0.0319,0.0321,53
1995-05-02,Price_MP_0_IOB,Mexican Peso,0.0316,0.034,0.0309,0.0338,551
1995-05-03,Price_MP_0_IOB,Mexican Peso,0.0339,0.0363,0.0336,0.0349,656
1995-05-04,Price_MP_0_IOB,Mexican Peso,0.0351,0.0353,0.0338,0.0351,286
1995-05-05,Price_MP_0_IOB,Mexican Peso,0.0352,0.0355,0.0352,0.0354,86
1995-05-08,Price_MP_0_IOB,Mexican Peso,0.0356,0.0361,0.0351,0.036,350
1995-05-09,Price_MP_0_IOB,Mexican Peso,0.036,0.0375,0.035,0.0356,589
1995-05-10,Price_MP_0_IOB,Mexican Peso,0.0361,0.0371,0.0331,0.0354,734
1995-05-11,Price_MP_0_IOB,Mexican Peso,0.0361,0.0373,0.0353,0.0367,339
1995-05-12,Price_MP_0_IOB,Mexican Peso,0.0368,0.0368,0.0357,0.0359,445
1995-05-15,Price_MP_0_IOB,Mexican Peso,0.0361,0.0361,0.0353,0.0361,455
1995-05-16,Price_MP_0_IOB,Mexican Peso,0.0364,0.0366,0.036,0.0363,357
1995-05-17,Price_MP_0_IOB,Mexican Peso,0.0363,0.0374,0.0362,0.0371,306
1995-05-18,Price_MP_0_IOB,Mexican Peso,0.0377,0.0391,0.0373,0.0391,450
1995-05-19,Price_MP_0_IOB,Mexican Peso,0.0389,0.0396,0.0386,0.0387,538
1995-05-22,Price_MP_0_IOB,Mexican Peso,0.0387,0.0395,0.0387,0.0395,656
1995-05-23,Price_MP_0_IOB,Mexican Peso,0.0393,0.0394,0.0377,0.0379,687
1995-05-24,Price_MP_0_IOB,Mexican Peso,0.0371,0.0371,0.0341,0.0369,759
1995-05-25,Price_MP_0_IOB,Mexican Peso,0.0358,0.037,0.0343,0.036,700
1995-05-26,Price_MP_0_IOB,Mexican Peso,0.0353,0.0353,0.0348,0.035,217
1995-05-30,Price_MP_0_IOB,Mexican Peso,0.0343,0.0343,0.0303,0.0315,661
1995-05-31,Price_MP_0_IOB,Mexican Peso,0.0318,0.0341,0.0318,0.0328,469
1995-06-01,Price_MP_0_IOB,Mexican Peso,0.0318,0.0335,0.0318,0.0335,315
1995-06-02,Price_MP_0_IOB,Mexican Peso,0.0338,0.0341,0.033,0.0333,282
1995-06-05,Price_MP_0_IOB,Mexican Peso,0.0323,0.0355,0.0318,0.0351,707
1995-06-06,Price_MP_0_IOB,Mexican Peso,0.0346,0.0363,0.0346,0.0354,578
1995-06-07,Price_MP_0_IOB,Mexican Peso,0.0349,0.0353,0.033,0.0337,448
1995-06-08,Price_MP_0_IOB,Mexican Peso,0.0338,0.034,0.0328,0.0333,474
1995-06-09,Price_MP_0_IOB,Mexican Peso,0.0333,0.0334,0.0318,0.0318,743
1995-06-12,Price_MP_0_IOB,Mexican Peso,0.0328,0.034,0.0326,0.0338,283
1995-06-13,Price_MP_0_IOB,Mexican Peso,0.0356,0.0358,0.0351,0.0355,715
1995-06-14,Price_MP_0_IOB,Mexican Peso,0.035,0.0357,0.0348,0.0356,533
1995-06-15,Price_MP_0_IOB,Mexican Peso,0.0362,0.0376,0.0362,0.0373,1148
1995-06-16,Price_MP_0_IOB,Mexican Peso,0.0374,0.0378,0.0371,0.0372,436
1995-06-19,Price_MP_0_IOB,Mexican Peso,0.0363,0.0376,0.0363,0.0374,135
1995-06-20,Price_MP_0_IOB,Mexican Peso,0.0369,0.037,0.0363,0.0364,742
1995-06-21,Price_MP_0_IOB,Mexican Peso,0.0356,0.0358,0.0349,0.0358,571
