Date,Symbol,Description,Open,High,Low,Close,TotalVolume
1997-05-07,Price_NE_0_IOB,New Zealand Dollar,0.3402,0.3413,0.3399,0.3409,9
1997-05-08,Price_NE_0_IOB,New Zealand Dollar,0.3407,0.3423,0.3407,0.3407,6
1997-05-09,Price_NE_0_IOB,New Zealand Dollar,0.343,0.3447,0.3427,0.3432,7
1997-05-12,Price_NE_0_IOB,New Zealand Dollar,0.3509,0.3509,0.3509,0.3509,0
1997-05-13,Price_NE_0_IOB,New Zealand Dollar,0.3508,0.3508,0.3508,0.3508,0
1997-05-14,Price_NE_0_IOB,New Zealand Dollar,0.3522,0.3522,0.3522,0.3522,0
1997-05-15,Price_NE_0_IOB,New Zealand Dollar,0.3519,0.3532,0.3512,0.3532,2
1997-05-16,Price_NE_0_IOB,New Zealand Dollar,0.3507,0.3507,0.3507,0.3507,10
1997-05-19,Price_NE_0_IOB,New Zealand Dollar,0.3487,0.3487,0.3487,0.3487,6
1997-05-20,Price_NE_0_IOB,New Zealand Dollar,0.3487,0.3487,0.3487,0.3487,0
1997-05-21,Price_NE_0_IOB,New Zealand Dollar,0.3512,0.3512,0.3512,0.3512,11
1997-05-22,Price_NE_0_IOB,New Zealand Dollar,0.3512,0.3512,0.3512,0.3512,0
1997-05-23,Price_NE_0_IOB,New Zealand Dollar,0.3462,0.3462,0.3462,0.3462,64
1997-05-27,Price_NE_0_IOB,New Zealand Dollar,0.3462,0.3462,0.3462,0.3462,2
1997-05-28,Price_NE_0_IOB,New Zealand Dollar,0.3457,0.3457,0.3457,0.3457,20
1997-05-29,Price_NE_0_IOB,New Zealand Dollar,0.3457,0.3457,0.3457,0.3457,0
1997-05-30,Price_NE_0_IOB,New Zealand Dollar,0.3457,0.3457,0.3457,0.3457,0
1997-06-02,Price_NE_0_IOB,New Zealand Dollar,0.3457,0.3457,0.3457,0.3457,0
1997-06-03,Price_NE_0_IOB,New Zealand Dollar,0.3462,0.3462,0.3462,0.3462,0
1997-06-04,Price_NE_0_IOB,New Zealand Dollar,0.3457,0.3457,0.345,0.3457,11
1997-06-05,Price_NE_0_IOB,New Zealand Dollar,0.3439,0.3439,0.3439,0.3439,0
1997-06-06,Price_NE_0_IOB,New Zealand Dollar,0.3449,0.3455,0.3449,0.3449,24
1997-06-09,Price_NE_0_IOB,New Zealand Dollar,0.3462,0.3462,0.3462,0.3462,6
1997-06-10,Price_NE_0_IOB,New Zealand Dollar,0.3477,0.3477,0.3477,0.3477,10
1997-06-11,Price_NE_0_IOB,New Zealand Dollar,0.3487,0.3487,0.3487,0.3487,7
1997-06-12,Price_NE_0_IOB,New Zealand Dollar,0.3487,0.3487,0.3487,0.3487,144
1997-06-13,Price_NE_0_IOB,New Zealand Dollar,0.3487,0.3487,0.3487,0.3487,1
1997-06-16,Price_NE_0_IOB,New Zealand Dollar,0.3487,0.3487,0.3487,0.3487,0
1997-06-17,Price_NE_0_IOB,New Zealand Dollar,0.347,0.347,0.347,0.347,13
1997-06-18,Price_NE_0_IOB,New Zealand Dollar,0.347,0.347,0.347,0.347,41
