Date,Symbol,Description,Open,High,Low,Close,TotalVolume
1947-01-02,Price_O2_0_IOB,Oats,394.375,394.75,394.125,394.375,1326
1947-01-03,Price_O2_0_IOB,Oats,394.5,394.625,393.625,394.25,1135
1947-01-06,Price_O2_0_IOB,Oats,395.125,395.5,394.75,395.375,1149
1947-01-07,Price_O2_0_IOB,Oats,395.375,395.625,394.25,394.25,1573
1947-01-08,Price_O2_0_IOB,Oats,394.0,395.125,394.0,394.75,1236
1947-01-09,Price_O2_0_IOB,Oats,394.875,395.625,394.875,395.0,1370
1947-01-10,Price_O2_0_IOB,Oats,394.875,395.125,394.125,394.25,1400
1947-01-13,Price_O2_0_IOB,Oats,395.5,396.125,395.125,395.75,1606
1947-01-14,Price_O2_0_IOB,Oats,395.875,397.0,395.75,396.75,2060
1947-01-15,Price_O2_0_IOB,Oats,396.875,397.0,396.125,396.5,1322
1947-01-16,Price_O2_0_IOB,Oats,396.125,396.25,395.25,395.875,1931
1947-01-17,Price_O2_0_IOB,Oats,395.75,396.25,393.875,394.0,5721
1947-01-20,Price_O2_0_IOB,Oats,393.75,394.75,393.625,394.625,1700
1947-01-21,Price_O2_0_IOB,Oats,394.5,394.625,393.5,393.75,1686
1947-01-22,Price_O2_0_IOB,Oats,393.5,394.625,393.25,394.5,1368
1947-01-23,Price_O2_0_IOB,Oats,394.625,394.75,393.75,394.125,1087
1947-01-24,Price_O2_0_IOB,Oats,394.25,394.625,394.125,394.375,940
1947-01-27,Price_O2_0_IOB,Oats,393.375,394.0,392.875,393.875,1428
1947-01-28,Price_O2_0_IOB,Oats,393.875,395.125,393.875,394.875,1930
1947-01-29,Price_O2_0_IOB,Oats,394.75,395.25,394.375,395.25,1083
1947-01-30,Price_O2_0_IOB,Oats,395.375,395.5,395.0,395.125,894
1947-01-31,Price_O2_0_IOB,Oats,395.0,395.5,395.0,395.375,929
1947-02-03,Price_O2_0_IOB,Oats,395.0,395.125,394.625,394.875,754
1947-02-04,Price_O2_0_IOB,Oats,395.0,395.75,395.0,395.625,1025
1947-02-05,Price_O2_0_IOB,Oats,395.625,396.0,395.25,395.625,1021
1947-02-06,Price_O2_0_IOB,Oats,395.625,396.875,395.5,396.75,1594
1947-02-07,Price_O2_0_IOB,Oats,397.25,398.0,397.0,397.75,2055
1947-02-10,Price_O2_0_IOB,Oats,398.75,399.25,398.0,398.5,1921
1947-02-11,Price_O2_0_IOB,Oats,397.375,398.625,396.75,398.0,1884
1947-02-13,Price_O2_0_IOB,Oats,398.125,398.625,397.875,397.875,1012
1947-02-14,Price_O2_0_IOB,Oats,397.625,399.25,397.625,399.0,1738
1947-02-17,Price_O2_0_IOB,Oats,399.75,401.375,399.125,400.5,2336
1947-02-18,Price_O2_0_IOB,Oats,400.5,400.75,399.375,399.75,2191
1947-02-19,Price_O2_0_IOB,Oats,398.5,398.875,398.125,398.625,1483
1947-02-20,Price_O2_0_IOB,Oats,398.5,399.5,398.375,398.375,1768
1947-02-21,Price_O2_0_IOB,Oats,398.375,398.75,398.0,398.25,1198
1947-02-24,Price_O2_0_IOB,Oats,398.5,401.125,398.5,401.0,1924
1947-02-25,Price_O2_0_IOB,Oats,402.0,402.75,399.5,400.125,3324
1947-02-26,Price_O2_0_IOB,Oats,400.625,401.25,399.75,401.125,2356
1947-02-27,Price_O2_0_IOB,Oats,401.875,402.625,401.375,401.125,0
1947-02-28,Price_O2_0_IOB,Oats,402.0,404.5,401.75,404.375,3723
1947-03-03,Price_O2_0_IOB,Oats,404.875,406.0,404.5,405.625,2143
1947-03-04,Price_O2_0_IOB,Oats,405.75,406.25,404.75,404.75,2126
1947-03-05,Price_O2_0_IOB,Oats,404.625,410.25,404.5,409.75,4196
1947-03-06,Price_O2_0_IOB,Oats,410.25,412.5,410.0,410.625,4233
1947-03-07,Price_O2_0_IOB,Oats,410.75,413.25,409.875,412.25,3269
1947-03-10,Price_O2_0_IOB,Oats,413.5,419.25,413.25,419.125,4115
1947-03-11,Price_O2_0_IOB,Oats,419.75,420.25,413.25,413.375,4631
1947-03-12,Price_O2_0_IOB,Oats,413.0,415.5,411.0,412.0,3419
1947-03-13,Price_O2_0_IOB,Oats,411.25,416.875,411.0,416.0,2770
1947-03-14,Price_O2_0_IOB,Oats,415.875,416.5,413.5,413.875,2529
1947-03-17,Price_O2_0_IOB,Oats,414.875,417.75,414.75,416.25,2285
1947-03-18,Price_O2_0_IOB,Oats,416.875,417.0,410.625,410.875,3179
1947-03-19,Price_O2_0_IOB,Oats,410.875,412.75,405.5,408.5,4160
1947-03-20,Price_O2_0_IOB,Oats,408.875,409.875,407.0,409.125,2994
1947-03-21,Price_O2_0_IOB,Oats,409.75,410.625,409.125,400.125,1878
1947-03-24,Price_O2_0_IOB,Oats,411.0,413.125,410.5,412.875,2289
1947-03-25,Price_O2_0_IOB,Oats,413.125,414.75,412.25,413.75,2772
1947-03-26,Price_O2_0_IOB,Oats,414.625,418.0,414.25,416.875,3250
1947-03-27,Price_O2_0_IOB,Oats,416.625,416.75,411.125,411.125,3424
1947-03-28,Price_O2_0_IOB,Oats,411.625,414.5,409.75,413.625,3117
1947-03-31,Price_O2_0_IOB,Oats,415.375,415.375,412.75,413.75,1955
1947-04-01,Price_O2_0_IOB,Oats,413.375,414.75,412.625,414.625,2097
1947-04-02,Price_O2_0_IOB,Oats,414.5,414.875,410.625,411.625,3009
1947-04-03,Price_O2_0_IOB,Oats,411.875,413.625,411.125,412.875,2300
1947-04-07,Price_O2_0_IOB,Oats,413.125,414.0,412.125,413.875,1446
1947-04-08,Price_O2_0_IOB,Oats,414.5,414.75,410.75,410.875,2374
1947-04-09,Price_O2_0_IOB,Oats,411.125,413.5,410.875,413.25,2270
1947-04-10,Price_O2_0_IOB,Oats,413.625,414.125,413.125,413.625,1821
1947-04-11,Price_O2_0_IOB,Oats,413.5,416.5,412.375,413.125,3487
1947-04-14,Price_O2_0_IOB,Oats,410.75,412.75,410.75,412.375,2326
1947-04-15,Price_O2_0_IOB,Oats,413.0,413.375,412.25,412.875,1539
1947-04-16,Price_O2_0_IOB,Oats,413.375,414.25,413.25,413.625,1288
1947-04-17,Price_O2_0_IOB,Oats,413.875,414.0,412.75,413.5,1118
1947-04-18,Price_O2_0_IOB,Oats,412.75,414.0,412.625,413.25,1320
1947-04-21,Price_O2_0_IOB,Oats,413.25,413.5,412.375,412.5,1522
1947-04-22,Price_O2_0_IOB,Oats,412.5,413.875,412.375,413.5,1759
1947-04-23,Price_O2_0_IOB,Oats,413.625,414.375,413.375,414.125,1307
1947-04-24,Price_O2_0_IOB,Oats,413.75,414.125,412.625,413.0,1357
1947-04-25,Price_O2_0_IOB,Oats,412.75,414.75,412.625,414.625,1390
1947-04-28,Price_O2_0_IOB,Oats,414.125,414.375,410.5,411.375,2060
1947-04-29,Price_O2_0_IOB,Oats,411.375,411.75,409.625,410.875,2431
1947-04-30,Price_O2_0_IOB,Oats,411.5,412.5,411.25,412.25,1205
1947-05-01,Price_O2_0_IOB,Oats,412.375,413.0,412.0,412.875,1240
1947-05-02,Price_O2_0_IOB,Oats,413.0,414.375,412.25,412.25,2214
1947-05-05,Price_O2_0_IOB,Oats,413.0,414.0,412.625,413.875,1177
1947-05-06,Price_O2_0_IOB,Oats,414.0,414.75,413.75,414.375,1294
1947-05-07,Price_O2_0_IOB,Oats,414.5,415.5,414.5,415.375,1357
1947-05-08,Price_O2_0_IOB,Oats,415.5,416.25,415.25,415.5,1723
1947-05-09,Price_O2_0_IOB,Oats,415.625,416.0,415.0,415.625,1497
1947-05-12,Price_O2_0_IOB,Oats,413.75,414.875,413.625,414.875,1100
1947-05-13,Price_O2_0_IOB,Oats,414.75,415.375,414.375,414.875,916
1947-05-14,Price_O2_0_IOB,Oats,414.625,416.125,414.625,416.0,1259
1947-05-15,Price_O2_0_IOB,Oats,416.0,417.125,415.5,415.625,1635
1947-05-16,Price_O2_0_IOB,Oats,415.75,417.125,415.625,416.0,1433
1947-05-19,Price_O2_0_IOB,Oats,418.25,418.625,416.75,417.5,1505
1947-05-20,Price_O2_0_IOB,Oats,417.5,418.625,417.25,418.5,1267
1947-05-21,Price_O2_0_IOB,Oats,418.875,419.5,418.0,418.625,1967
1947-05-22,Price_O2_0_IOB,Oats,418.875,419.625,418.25,418.5,2501
1947-05-23,Price_O2_0_IOB,Oats,418.875,421.75,418.75,421.25,2412
1947-05-26,Price_O2_0_IOB,Oats,422.625,423.375,422.125,422.375,1774
1947-05-27,Price_O2_0_IOB,Oats,422.25,422.625,421.25,422.375,1327
1947-05-28,Price_O2_0_IOB,Oats,423.0,426.75,423.0,426.25,2954
1947-05-29,Price_O2_0_IOB,Oats,425.75,426.0,423.75,423.875,2270
1947-06-02,Price_O2_0_IOB,Oats,423.625,424.25,422.25,423.5,1691
1947-06-03,Price_O2_0_IOB,Oats,424.125,426.125,424.0,425.125,1989
1947-06-04,Price_O2_0_IOB,Oats,425.875,427.0,425.375,425.75,2351
1947-06-05,Price_O2_0_IOB,Oats,426.375,427.125,426.0,426.625,1649
1947-06-06,Price_O2_0_IOB,Oats,427.125,429.75,426.875,429.125,2285
1947-06-09,Price_O2_0_IOB,Oats,430.375,430.5,427.75,428.875,2102
1947-06-10,Price_O2_0_IOB,Oats,429.375,431.375,428.25,430.75,2204
1947-06-11,Price_O2_0_IOB,Oats,429.25,430.875,428.5,428.875,2790
1947-06-12,Price_O2_0_IOB,Oats,428.875,430.125,426.0,426.0,3661
1947-06-13,Price_O2_0_IOB,Oats,426.5,427.125,423.75,424.375,3208
1947-06-16,Price_O2_0_IOB,Oats,424.0,424.375,421.5,421.5,2708
1947-06-17,Price_O2_0_IOB,Oats,422.875,424.625,422.125,423.75,2317
1947-06-18,Price_O2_0_IOB,Oats,424.875,426.375,424.625,426.0,2235
1947-06-19,Price_O2_0_IOB,Oats,426.875,427.75,426.375,427.5,2239
1947-06-20,Price_O2_0_IOB,Oats,427.0,427.375,424.875,425.75,2377
1947-06-23,Price_O2_0_IOB,Oats,425.75,427.625,425.625,427.375,1821
1947-06-24,Price_O2_0_IOB,Oats,427.0,428.625,427.0,427.125,2182
1947-06-25,Price_O2_0_IOB,Oats,427.5,428.0,425.875,427.75,1779
1947-06-26,Price_O2_0_IOB,Oats,428.0,428.5,426.75,427.5,1955
1947-06-27,Price_O2_0_IOB,Oats,426.75,427.625,426.375,426.375,1382
1947-06-30,Price_O2_0_IOB,Oats,425.375,427.875,425.375,427.625,1833
1947-07-01,Price_O2_0_IOB,Oats,427.875,429.125,427.625,428.75,2039
1947-07-02,Price_O2_0_IOB,Oats,428.5,429.375,427.625,428.125,1607
1947-07-03,Price_O2_0_IOB,Oats,427.625,429.125,427.625,429.0,1477
1947-07-07,Price_O2_0_IOB,Oats,430.125,431.125,429.75,430.25,2288
1947-07-08,Price_O2_0_IOB,Oats,429.75,430.25,423.875,429.5,1772
1947-07-09,Price_O2_0_IOB,Oats,429.25,430.25,429.125,430.0,1886
1947-07-10,Price_O2_0_IOB,Oats,430.625,432.0,430.375,431.25,1982
1947-07-11,Price_O2_0_IOB,Oats,431.375,436.25,430.25,434.75,3433
1947-07-14,Price_O2_0_IOB,Oats,434.25,436.625,433.75,435.75,2057
1947-07-15,Price_O2_0_IOB,Oats,435.25,437.0,434.625,436.625,2017
1947-07-16,Price_O2_0_IOB,Oats,436.5,436.875,434.375,435.25,2210
1947-07-17,Price_O2_0_IOB,Oats,434.25,434.625,432.75,432.75,1960
1947-07-18,Price_O2_0_IOB,Oats,432.75,433.875,432.25,432.5,1879
1947-07-21,Price_O2_0_IOB,Oats,434.375,435.625,434.25,434.625,1774
1947-07-22,Price_O2_0_IOB,Oats,436.0,436.875,435.5,436.75,2156
1947-07-23,Price_O2_0_IOB,Oats,437.25,438.75,437.125,438.0,2892
1947-07-24,Price_O2_0_IOB,Oats,437.5,437.625,435.375,436.25,2002
1947-07-25,Price_O2_0_IOB,Oats,435.75,435.875,433.375,433.375,1921
1947-07-28,Price_O2_0_IOB,Oats,433.875,434.125,431.5,431.625,2322
1947-07-29,Price_O2_0_IOB,Oats,430.5,430.625,427.75,428.25,2678
1947-07-30,Price_O2_0_IOB,Oats,429.5,431.375,429.375,431.25,2171
1947-07-31,Price_O2_0_IOB,Oats,432.875,434.875,432.375,434.625,2121
1947-08-01,Price_O2_0_IOB,Oats,434.625,435.5,434.125,435.0,1950
1947-08-04,Price_O2_0_IOB,Oats,438.375,441.25,438.125,441.125,3127
1947-08-05,Price_O2_0_IOB,Oats,438.5,439.875,437.625,438.5,2492
1947-08-06,Price_O2_0_IOB,Oats,439.625,440.75,439.0,439.25,2414
1947-08-07,Price_O2_0_IOB,Oats,439.125,441.125,438.75,440.375,1808
1947-08-08,Price_O2_0_IOB,Oats,440.625,443.75,440.625,442.875,3252
1947-08-11,Price_O2_0_IOB,Oats,446.875,447.125,442.25,443.875,3080
1947-08-12,Price_O2_0_IOB,Oats,446.25,446.875,442.75,443.25,2360
1947-08-13,Price_O2_0_IOB,Oats,442.375,444.625,441.875,442.375,1903
1947-08-14,Price_O2_0_IOB,Oats,443.5,444.75,443.25,444.625,1689
1947-08-15,Price_O2_0_IOB,Oats,445.125,446.625,444.875,446.5,2550
1947-08-18,Price_O2_0_IOB,Oats,446.75,448.25,446.75,447.125,2371
1947-08-19,Price_O2_0_IOB,Oats,446.125,446.25,445.25,445.625,1679
1947-08-20,Price_O2_0_IOB,Oats,446.125,447.375,446.0,447.125,1779
1947-08-21,Price_O2_0_IOB,Oats,448.0,448.75,447.75,447.875,2187
1947-08-22,Price_O2_0_IOB,Oats,449.75,450.25,448.75,449.0,2525
1947-08-25,Price_O2_0_IOB,Oats,447.875,448.5,445.625,445.625,2526
1947-08-26,Price_O2_0_IOB,Oats,445.375,448.5,445.25,448.375,2010
1947-08-27,Price_O2_0_IOB,Oats,449.125,450.125,448.875,449.625,1943
1947-08-28,Price_O2_0_IOB,Oats,449.625,449.75,448.625,448.875,1593
1947-08-29,Price_O2_0_IOB,Oats,448.75,450.75,448.75,450.625,2105
1947-09-02,Price_O2_0_IOB,Oats,450.625,452.25,449.875,452.0,1729
1947-09-03,Price_O2_0_IOB,Oats,452.875,455.25,452.5,454.75,2767
1947-09-04,Price_O2_0_IOB,Oats,455.5,455.875,453.875,454.375,2367
1947-09-05,Price_O2_0_IOB,Oats,453.875,456.0,453.375,455.75,2301
1947-09-08,Price_O2_0_IOB,Oats,454.125,455.375,453.75,454.5,1879
1947-09-09,Price_O2_0_IOB,Oats,455.375,460.25,455.25,459.75,3527
1947-09-10,Price_O2_0_IOB,Oats,460.0,464.25,459.25,462.0,3476
1947-09-11,Price_O2_0_IOB,Oats,461.125,463.5,458.375,458.5,3037
1947-09-12,Price_O2_0_IOB,Oats,457.0,459.375,454.5,455.625,3090
1947-09-15,Price_O2_0_IOB,Oats,459.375,461.25,458.625,460.75,1663
1947-09-16,Price_O2_0_IOB,Oats,459.25,459.75,456.0,458.75,1909
1947-09-17,Price_O2_0_IOB,Oats,459.0,460.625,456.75,459.75,1901
1947-09-18,Price_O2_0_IOB,Oats,456.25,458.375,455.5,456.125,2258
1947-09-19,Price_O2_0_IOB,Oats,457.0,457.625,450.125,450.125,2877
1947-09-22,Price_O2_0_IOB,Oats,448.25,448.75,446.0,448.375,2465
1947-09-23,Price_O2_0_IOB,Oats,449.75,450.25,447.75,447.875,2046
1947-09-24,Price_O2_0_IOB,Oats,447.625,447.75,445.375,447.0,1773
1947-09-25,Price_O2_0_IOB,Oats,446.75,449.125,445.75,448.5,1752
1947-09-26,Price_O2_0_IOB,Oats,449.375,451.5,449.375,449.875,1705
1947-09-29,Price_O2_0_IOB,Oats,457.5,458.25,455.25,458.25,1929
1947-09-30,Price_O2_0_IOB,Oats,460.25,460.75,455.75,455.75,2578
1947-10-01,Price_O2_0_IOB,Oats,455.75,458.75,454.5,458.5,1924
1947-10-02,Price_O2_0_IOB,Oats,459.5,459.75,453.25,454.625,2660
1947-10-03,Price_O2_0_IOB,Oats,454.875,456.875,452.5,454.625,2098
1947-10-06,Price_O2_0_IOB,Oats,448.625,451.75,448.25,451.375,1809
1947-10-07,Price_O2_0_IOB,Oats,451.625,455.25,451.5,453.125,1610
1947-10-08,Price_O2_0_IOB,Oats,453.625,456.5,453.5,455.875,1741
1947-10-09,Price_O2_0_IOB,Oats,455.0,457.125,454.75,455.625,1456
1947-10-10,Price_O2_0_IOB,Oats,455.125,456.5,454.875,456.25,2190
1947-10-14,Price_O2_0_IOB,Oats,459.0,460.25,458.75,460.0,1434
1947-10-15,Price_O2_0_IOB,Oats,460.375,461.5,459.5,460.75,1763
1947-10-16,Price_O2_0_IOB,Oats,461.125,462.0,459.5,459.75,2107
1947-10-17,Price_O2_0_IOB,Oats,459.5,459.875,458.375,458.5,1308
