Date,Symbol,Description,Open,High,Low,Close,TotalVolume
1966-10-26,Price_OJ20_IOB,Orange Juice,87.03,88.48,87.03,88.13,0
1966-10-27,Price_OJ20_IOB,Orange Juice,88.78,90.13,88.78,90.13,12
1966-10-28,Price_OJ20_IOB,Orange Juice,92.13,92.13,92.13,92.13,9
1966-10-31,Price_OJ20_IOB,Orange Juice,94.13,94.13,92.13,92.13,0
1966-11-01,Price_OJ20_IOB,Orange Juice,92.23,92.23,92.03,91.33,28
1966-11-02,Price_OJ20_IOB,Orange Juice,91.78,92.73,91.78,92.23,25
1966-11-03,Price_OJ20_IOB,Orange Juice,92.78,93.58,92.78,93.58,26
1966-11-04,Price_OJ20_IOB,Orange Juice,93.28,93.68,93.28,93.53,41
1966-11-07,Price_OJ20_IOB,Orange Juice,92.88,92.93,92.78,92.98,27
1966-11-09,Price_OJ20_IOB,Orange Juice,92.98,93.08,92.88,92.78,0
1966-11-10,Price_OJ20_IOB,Orange Juice,93.28,93.28,93.28,93.33,8
1966-11-14,Price_OJ20_IOB,Orange Juice,91.83,93.28,91.78,92.98,61
1966-11-15,Price_OJ20_IOB,Orange Juice,93.53,93.53,93.43,93.18,117
1966-11-16,Price_OJ20_IOB,Orange Juice,93.53,93.53,93.53,93.68,12
1966-11-17,Price_OJ20_IOB,Orange Juice,94.08,94.33,93.33,93.18,47
1966-11-18,Price_OJ20_IOB,Orange Juice,93.08,93.08,92.58,92.68,74
1966-11-21,Price_OJ20_IOB,Orange Juice,92.43,92.58,92.43,92.48,24
1966-11-22,Price_OJ20_IOB,Orange Juice,92.48,92.53,92.48,92.53,0
1966-11-23,Price_OJ20_IOB,Orange Juice,92.78,92.78,92.78,92.58,48
1966-11-25,Price_OJ20_IOB,Orange Juice,92.68,92.73,92.68,92.58,7
1966-11-28,Price_OJ20_IOB,Orange Juice,92.98,92.98,92.98,92.78,10
1966-11-29,Price_OJ20_IOB,Orange Juice,93.03,93.48,93.03,93.48,15
1966-11-30,Price_OJ20_IOB,Orange Juice,93.78,94.03,93.78,93.88,45
1966-12-01,Price_OJ20_IOB,Orange Juice,94.28,94.48,94.28,94.28,55
1966-12-02,Price_OJ20_IOB,Orange Juice,93.73,93.78,93.33,93.33,35
1966-12-05,Price_OJ20_IOB,Orange Juice,93.43,93.43,93.28,93.28,19
1966-12-06,Price_OJ20_IOB,Orange Juice,93.33,93.33,93.33,93.23,5
1966-12-07,Price_OJ20_IOB,Orange Juice,93.28,93.38,93.28,93.18,22
1966-12-08,Price_OJ20_IOB,Orange Juice,92.83,92.98,92.83,92.93,28
1966-12-09,Price_OJ20_IOB,Orange Juice,92.83,93.08,92.83,93.03,27
1966-12-12,Price_OJ20_IOB,Orange Juice,92.83,92.83,92.83,92.83,1
1966-12-13,Price_OJ20_IOB,Orange Juice,92.88,92.88,92.88,92.83,12
1966-12-14,Price_OJ20_IOB,Orange Juice,92.93,93.08,92.93,93.08,4
1966-12-15,Price_OJ20_IOB,Orange Juice,92.93,93.23,92.93,93.28,16
1966-12-16,Price_OJ20_IOB,Orange Juice,92.93,93.28,92.93,93.03,22
1966-12-19,Price_OJ20_IOB,Orange Juice,92.93,92.93,92.93,92.93,2
