Date,Symbol,Description,Open,High,Low,Close,TotalVolume
1965-12-30,Price_SB20_IOB,Sugar #11 World,9.04,9.11,9.04,9.09,754
1966-01-03,Price_SB20_IOB,Sugar #11 World,9.04,9.08,9.04,9.05,452
1966-01-04,Price_SB20_IOB,Sugar #11 World,9.07,9.15,9.07,9.14,655
1966-01-05,Price_SB20_IOB,Sugar #11 World,9.17,9.23,9.17,9.22,1716
1966-01-06,Price_SB20_IOB,Sugar #11 World,9.23,9.3,9.23,9.29,1829
1966-01-07,Price_SB20_IOB,Sugar #11 World,9.26,9.3,9.26,9.29,1073
1966-01-10,Price_SB20_IOB,Sugar #11 World,9.22,9.27,9.22,9.26,804
1966-01-11,Price_SB20_IOB,Sugar #11 World,9.24,9.25,9.16,9.16,1720
1966-01-12,Price_SB20_IOB,Sugar #11 World,9.2,9.23,9.2,9.21,682
1966-01-13,Price_SB20_IOB,Sugar #11 World,9.21,9.25,9.21,9.22,880
1966-01-14,Price_SB20_IOB,Sugar #11 World,9.25,9.28,9.22,9.22,1030
1966-01-17,Price_SB20_IOB,Sugar #11 World,9.23,9.33,9.23,9.31,1651
1966-01-18,Price_SB20_IOB,Sugar #11 World,9.34,9.36,9.3,9.32,1143
1966-01-19,Price_SB20_IOB,Sugar #11 World,9.31,9.31,9.26,9.27,1379
1966-01-20,Price_SB20_IOB,Sugar #11 World,9.25,9.26,9.22,9.25,972
1966-01-21,Price_SB20_IOB,Sugar #11 World,9.29,9.35,9.29,9.33,1377
1966-01-24,Price_SB20_IOB,Sugar #11 World,9.36,9.37,9.34,9.34,1089
1966-01-25,Price_SB20_IOB,Sugar #11 World,9.36,9.42,9.36,9.41,1385
1966-01-26,Price_SB20_IOB,Sugar #11 World,9.44,9.45,9.35,9.35,1674
1966-01-27,Price_SB20_IOB,Sugar #11 World,9.4,9.4,9.32,9.35,1430
1966-01-28,Price_SB20_IOB,Sugar #11 World,9.33,9.34,9.29,9.29,1119
1966-01-31,Price_SB20_IOB,Sugar #11 World,9.37,9.39,9.29,9.3,1144
1966-02-01,Price_SB20_IOB,Sugar #11 World,9.29,9.3,9.17,9.19,2445
1966-02-02,Price_SB20_IOB,Sugar #11 World,9.2,9.29,9.12,9.24,2344
1966-02-03,Price_SB20_IOB,Sugar #11 World,9.22,9.23,9.09,9.15,2877
1966-02-04,Price_SB20_IOB,Sugar #11 World,9.12,9.18,9.11,9.12,663
1966-02-07,Price_SB20_IOB,Sugar #11 World,9.09,9.1,9.06,9.06,1132
1966-02-08,Price_SB20_IOB,Sugar #11 World,9.08,9.09,8.98,9.01,2167
1966-02-09,Price_SB20_IOB,Sugar #11 World,8.98,9.01,8.96,8.96,2712
1966-02-10,Price_SB20_IOB,Sugar #11 World,8.99,9.04,8.98,9.04,1511
1966-02-11,Price_SB20_IOB,Sugar #11 World,9.09,9.11,9.07,9.07,1740
1966-02-14,Price_SB20_IOB,Sugar #11 World,9.05,9.11,9.05,9.1,1779
1966-02-15,Price_SB20_IOB,Sugar #11 World,9.11,9.11,9.0,9.0,1010
1966-02-16,Price_SB20_IOB,Sugar #11 World,9.0,9.02,8.98,9.0,682
1966-02-17,Price_SB20_IOB,Sugar #11 World,9.03,9.06,9.0,9.02,531
1966-02-18,Price_SB20_IOB,Sugar #11 World,8.99,9.05,8.99,9.01,433
1966-02-21,Price_SB20_IOB,Sugar #11 World,9.03,9.03,9.0,9.01,287
1966-02-23,Price_SB20_IOB,Sugar #11 World,9.14,9.21,9.14,9.19,989
1966-02-24,Price_SB20_IOB,Sugar #11 World,9.06,9.1,9.06,9.07,637
1966-02-25,Price_SB20_IOB,Sugar #11 World,9.09,9.13,9.09,9.1,970
1966-02-28,Price_SB20_IOB,Sugar #11 World,9.08,9.09,8.99,8.99,956
1966-03-01,Price_SB20_IOB,Sugar #11 World,9.01,9.09,9.0,9.03,747
1966-03-02,Price_SB20_IOB,Sugar #11 World,9.02,9.07,9.01,9.04,787
1966-03-03,Price_SB20_IOB,Sugar #11 World,9.04,9.07,9.01,9.02,633
1966-03-04,Price_SB20_IOB,Sugar #11 World,9.04,9.04,9.0,9.01,1057
1966-03-07,Price_SB20_IOB,Sugar #11 World,9.02,9.06,9.02,9.03,671
1966-03-08,Price_SB20_IOB,Sugar #11 World,9.0,9.01,8.92,8.92,1652
1966-03-09,Price_SB20_IOB,Sugar #11 World,8.89,8.95,8.89,8.92,1150
1966-03-10,Price_SB20_IOB,Sugar #11 World,8.91,8.92,8.84,8.84,1332
1966-03-11,Price_SB20_IOB,Sugar #11 World,8.84,8.89,8.84,8.84,843
1966-03-14,Price_SB20_IOB,Sugar #11 World,8.8,8.82,8.76,8.77,1626
1966-03-15,Price_SB20_IOB,Sugar #11 World,8.74,8.75,8.68,8.71,1546
1966-03-16,Price_SB20_IOB,Sugar #11 World,8.75,8.77,8.74,8.77,726
1966-03-17,Price_SB20_IOB,Sugar #11 World,8.75,8.76,8.72,8.72,669
1966-03-18,Price_SB20_IOB,Sugar #11 World,8.73,8.79,8.73,8.78,416
