Date,Symbol,Description,Open,High,Low,Close,TotalVolume
1951-08-29,Price_SM20_IOB,Soybean Meal,35.0,35.0,34.7,35.1,28
1951-08-30,Price_SM20_IOB,Soybean Meal,35.5,35.7,35.3,35.8,16
1951-08-31,Price_SM20_IOB,Soybean Meal,35.9,35.9,35.9,35.9,1
1951-09-04,Price_SM20_IOB,Soybean Meal,35.9,35.9,35.9,36.0,7
1951-09-05,Price_SM20_IOB,Soybean Meal,36.3,36.3,36.3,36.3,20
1951-09-06,Price_SM20_IOB,Soybean Meal,36.7,37.2,36.7,37.2,32
1951-09-07,Price_SM20_IOB,Soybean Meal,38.0,38.1,38.0,38.1,33
1951-09-10,Price_SM20_IOB,Soybean Meal,37.7,37.7,37.5,37.4,25
1951-09-11,Price_SM20_IOB,Soybean Meal,38.0,38.0,37.5,37.4,20
1951-09-12,Price_SM20_IOB,Soybean Meal,37.6,37.6,37.6,37.6,13
1951-09-13,Price_SM20_IOB,Soybean Meal,37.8,37.8,37.4,37.3,45
1951-09-14,Price_SM20_IOB,Soybean Meal,37.0,37.0,36.9,36.8,6
1951-09-17,Price_SM20_IOB,Soybean Meal,37.0,37.0,37.0,37.0,2
1951-09-18,Price_SM20_IOB,Soybean Meal,36.1,36.1,36.1,36.1,3
1951-09-19,Price_SM20_IOB,Soybean Meal,36.5,36.7,36.5,36.8,15
1951-09-20,Price_SM20_IOB,Soybean Meal,37.2,37.7,37.2,37.8,12
1951-09-21,Price_SM20_IOB,Soybean Meal,38.0,38.0,37.5,37.6,6
1951-09-24,Price_SM20_IOB,Soybean Meal,38.7,39.0,38.7,38.9,32
1951-09-25,Price_SM20_IOB,Soybean Meal,39.5,41.7,39.5,41.3,42
1951-09-26,Price_SM20_IOB,Soybean Meal,40.8,40.8,40.8,40.8,47
1951-09-27,Price_SM20_IOB,Soybean Meal,40.5,41.2,40.5,41.2,37
1951-09-28,Price_SM20_IOB,Soybean Meal,40.5,40.5,40.5,40.5,0
1951-10-01,Price_SM20_IOB,Soybean Meal,39.5,40.7,39.5,40.7,36
1951-10-02,Price_SM20_IOB,Soybean Meal,41.8,41.8,41.8,41.8,16
