Date,Symbol,Description,Open,High,Low,Close,TotalVolume
1990-06-22,Price_TU_0_IOB,T-Note (2 Year),66.318415,66.318415,66.303312,66.303312,3394
1990-06-25,Price_TU_0_IOB,T-Note (2 Year),66.318415,66.318415,66.227798,66.227798,755
1990-06-26,Price_TU_0_IOB,T-Note (2 Year),66.197592,66.363724,66.182489,66.242901,1448
1990-06-27,Price_TU_0_IOB,T-Note (2 Year),66.258004,66.318415,66.258004,66.318415,1448
1990-06-28,Price_TU_0_IOB,T-Note (2 Year),66.333518,66.439239,66.333518,66.439239,725
1990-06-29,Price_TU_0_IOB,T-Note (2 Year),66.454341,66.560062,66.39393,66.544959,148
1990-07-02,Price_TU_0_IOB,T-Note (2 Year),66.514753,66.560062,66.514753,66.529856,168
1990-07-03,Price_TU_0_IOB,T-Note (2 Year),66.529856,66.60537,66.514753,66.60537,94
1990-07-05,Price_TU_0_IOB,T-Note (2 Year),66.590268,66.620473,66.544959,66.544959,962
1990-07-06,Price_TU_0_IOB,T-Note (2 Year),66.49965,66.49965,66.318415,66.348621,204
1990-07-09,Price_TU_0_IOB,T-Note (2 Year),66.303312,66.303312,66.258004,66.273107,331
1990-07-10,Price_TU_0_IOB,T-Note (2 Year),66.303312,66.303312,66.212695,66.242901,221
1990-07-11,Price_TU_0_IOB,T-Note (2 Year),66.273107,66.333518,66.273107,66.28821,719
1990-07-12,Price_TU_0_IOB,T-Note (2 Year),66.303312,66.590268,66.167386,66.560062,735
1990-07-13,Price_TU_0_IOB,T-Note (2 Year),66.650679,66.771502,66.469444,66.665782,1396
1990-07-16,Price_TU_0_IOB,T-Note (2 Year),66.635576,66.665782,66.635576,66.665782,662
1990-07-17,Price_TU_0_IOB,T-Note (2 Year),66.635576,66.711091,66.635576,66.695988,499
1990-07-18,Price_TU_0_IOB,T-Note (2 Year),66.650679,66.741297,66.60537,66.680885,442
1990-07-19,Price_TU_0_IOB,T-Note (2 Year),66.620473,66.711091,66.620473,66.695988,652
1990-07-20,Price_TU_0_IOB,T-Note (2 Year),66.756399,66.801708,66.741297,66.786605,1272
1990-07-23,Price_TU_0_IOB,T-Note (2 Year),66.665782,67.013149,66.665782,66.831914,1302
1990-07-24,Price_TU_0_IOB,T-Note (2 Year),66.741297,66.771502,66.711091,66.711091,516
1990-07-25,Price_TU_0_IOB,T-Note (2 Year),66.726194,66.831914,66.726194,66.741297,1113
1990-07-26,Price_TU_0_IOB,T-Note (2 Year),66.741297,66.771502,66.741297,66.756399,168
1990-07-27,Price_TU_0_IOB,T-Note (2 Year),66.741297,66.937634,66.741297,66.922531,1341
1990-07-30,Price_TU_0_IOB,T-Note (2 Year),66.952737,67.103766,66.952737,67.103766,831
1990-07-31,Price_TU_0_IOB,T-Note (2 Year),67.07356,67.133972,67.043355,67.133972,292
1990-08-01,Price_TU_0_IOB,T-Note (2 Year),67.133972,67.315207,67.133972,67.285001,1094
1990-08-02,Price_TU_0_IOB,T-Note (2 Year),67.179281,67.254795,67.133972,67.133972,538
1990-08-03,Price_TU_0_IOB,T-Note (2 Year),67.103766,67.466236,67.103766,67.300104,1136
1990-08-06,Price_TU_0_IOB,T-Note (2 Year),67.285001,67.466236,67.103766,67.103766,2713
1990-08-07,Price_TU_0_IOB,T-Note (2 Year),67.194383,67.194383,66.937634,66.937634,683
1990-08-08,Price_TU_0_IOB,T-Note (2 Year),66.982943,67.013149,66.892326,66.892326,561
1990-08-09,Price_TU_0_IOB,T-Note (2 Year),66.982943,67.043355,66.907428,66.96784,1016
1990-08-10,Price_TU_0_IOB,T-Note (2 Year),67.07356,67.088663,67.013149,67.058457,155
1990-08-13,Price_TU_0_IOB,T-Note (2 Year),67.058457,67.103766,67.058457,67.088663,79
1990-08-14,Price_TU_0_IOB,T-Note (2 Year),67.07356,67.103766,67.058457,67.07356,229
1990-08-15,Price_TU_0_IOB,T-Note (2 Year),67.118869,67.179281,67.058457,67.07356,347
1990-08-16,Price_TU_0_IOB,T-Note (2 Year),67.013149,67.013149,66.816811,66.831914,539
1990-08-17,Price_TU_0_IOB,T-Note (2 Year),66.771502,66.831914,66.726194,66.786605,605
1990-08-20,Price_TU_0_IOB,T-Note (2 Year),66.786605,66.786605,66.756399,66.771502,567
1990-08-21,Price_TU_0_IOB,T-Note (2 Year),66.635576,66.695988,66.635576,66.665782,182
1990-08-22,Price_TU_0_IOB,T-Note (2 Year),66.620473,66.680885,66.560062,66.590268,505
1990-08-23,Price_TU_0_IOB,T-Note (2 Year),66.49965,66.635576,66.469444,66.560062,2412
1990-08-24,Price_TU_0_IOB,T-Note (2 Year),66.560062,66.60537,66.469444,66.49965,582
1990-08-27,Price_TU_0_IOB,T-Note (2 Year),66.650679,66.680885,66.620473,66.665782,794
1990-08-28,Price_TU_0_IOB,T-Note (2 Year),66.635576,66.635576,66.575165,66.590268,263
1990-08-29,Price_TU_0_IOB,T-Note (2 Year),66.635576,66.726194,66.620473,66.726194,3347
1990-08-30,Price_TU_0_IOB,T-Note (2 Year),66.741297,66.801708,66.695988,66.771502,3351
1990-08-31,Price_TU_0_IOB,T-Note (2 Year),66.877223,66.877223,66.831914,66.877223,888
1990-09-04,Price_TU_0_IOB,T-Note (2 Year),66.831914,66.892326,66.816811,66.847017,1536
1990-09-05,Price_TU_0_IOB,T-Note (2 Year),66.922531,66.937634,66.877223,66.937634,591
1990-09-06,Price_TU_0_IOB,T-Note (2 Year),66.937634,66.952737,66.907428,66.907428,1935
1990-09-07,Price_TU_0_IOB,T-Note (2 Year),66.922531,66.998046,66.831914,66.952737,553
1990-09-10,Price_TU_0_IOB,T-Note (2 Year),66.952737,67.028252,66.877223,66.877223,119
1990-09-11,Price_TU_0_IOB,T-Note (2 Year),66.847017,66.86212,66.786605,66.847017,540
1990-09-12,Price_TU_0_IOB,T-Note (2 Year),66.907428,66.96784,66.907428,66.952737,883
1990-09-13,Price_TU_0_IOB,T-Note (2 Year),66.952737,67.043355,66.952737,66.998046,493
1990-09-14,Price_TU_0_IOB,T-Note (2 Year),66.937634,67.058457,66.937634,66.998046,3160
1990-09-17,Price_TU_0_IOB,T-Note (2 Year),66.96784,66.998046,66.937634,66.998046,1064
