Date,Symbol,Description,Open,High,Low,Close,TotalVolume
1982-05-03,Price_TY_0_IOB,T-Note (10 Year),7.730878,7.814535,7.452022,7.479907,33502
1982-05-04,Price_TY_0_IOB,T-Note (10 Year),7.368365,8.03762,7.284708,7.926077,17574
1982-05-05,Price_TY_0_IOB,T-Note (10 Year),8.121277,8.316476,7.898192,8.03762,21100
1982-05-06,Price_TY_0_IOB,T-Note (10 Year),8.567447,8.985731,8.48379,8.957845,13026
1982-05-07,Price_TY_0_IOB,T-Note (10 Year),9.208816,9.264587,8.846303,9.208816,8481
1982-05-10,Price_TY_0_IOB,T-Note (10 Year),9.041502,9.292473,8.957845,9.097273,4956
1982-05-11,Price_TY_0_IOB,T-Note (10 Year),8.902074,9.320358,8.846303,9.208816,5998
1982-05-12,Price_TY_0_IOB,T-Note (10 Year),9.18093,9.487672,8.678989,9.208816,7085
1982-05-13,Price_TY_0_IOB,T-Note (10 Year),8.902074,8.902074,8.595332,8.651103,4758
1982-05-14,Price_TY_0_IOB,T-Note (10 Year),8.846303,9.348244,8.762646,9.097273,5422
1982-05-17,Price_TY_0_IOB,T-Note (10 Year),9.18093,9.348244,8.623218,8.678989,6266
1982-05-18,Price_TY_0_IOB,T-Note (10 Year),8.511675,8.957845,8.372247,8.874188,6201
1982-05-19,Price_TY_0_IOB,T-Note (10 Year),8.651103,8.846303,8.511675,8.511675,5014
1982-05-20,Price_TY_0_IOB,T-Note (10 Year),8.762646,9.18093,8.762646,9.069388,6600
1982-05-21,Price_TY_0_IOB,T-Note (10 Year),9.013617,9.236702,8.957845,8.985731,3741
1982-05-24,Price_TY_0_IOB,T-Note (10 Year),8.874188,9.069388,8.790532,8.957845,2378
1982-05-25,Price_TY_0_IOB,T-Note (10 Year),8.762646,8.874188,8.595332,8.73476,3640
1982-05-26,Price_TY_0_IOB,T-Note (10 Year),8.985731,9.069388,8.428018,8.428018,4761
1982-05-27,Price_TY_0_IOB,T-Note (10 Year),8.372247,8.567447,8.316476,8.316476,6059
1982-05-28,Price_TY_0_IOB,T-Note (10 Year),8.344362,8.567447,8.260705,8.316476,6308
1982-06-01,Price_TY_0_IOB,T-Note (10 Year),8.149162,8.149162,7.507793,7.59145,8090
