Date,Symbol,Description,Open,High,Low,Close,TotalVolume
1977-08-22,Price_US_0_IOB,T-Bond (Ultra),40.827601,41.009201,40.801658,40.931373,872
1977-08-23,Price_US_0_IOB,T-Bond (Ultra),40.931373,41.268629,40.931373,41.268629,464
1977-08-24,Price_US_0_IOB,T-Bond (Ultra),41.268629,41.268629,41.138915,41.164858,327
1977-08-25,Price_US_0_IOB,T-Bond (Ultra),41.216743,41.605886,41.216743,41.528057,392
1977-08-26,Price_US_0_IOB,T-Bond (Ultra),41.476172,42.046913,41.424286,41.502114,402
1977-08-29,Price_US_0_IOB,T-Bond (Ultra),41.761542,41.995028,41.502114,41.579943,282
1977-08-30,Price_US_0_IOB,T-Bond (Ultra),41.424286,41.683714,41.294572,41.502114,259
1977-08-31,Price_US_0_IOB,T-Bond (Ultra),41.528057,41.579943,41.424286,41.554,276
1977-09-01,Price_US_0_IOB,T-Bond (Ultra),41.450229,41.605886,41.3724,41.502114,249
1977-09-02,Price_US_0_IOB,T-Bond (Ultra),41.683714,41.839371,41.631828,41.839371,277
1977-09-06,Price_US_0_IOB,T-Bond (Ultra),41.891257,41.917199,41.761542,41.813428,220
1977-09-07,Price_US_0_IOB,T-Bond (Ultra),41.579943,41.683714,41.579943,41.657771,600
1977-09-08,Price_US_0_IOB,T-Bond (Ultra),41.605886,41.683714,41.528057,41.683714,173
1977-09-09,Price_US_0_IOB,T-Bond (Ultra),41.346457,41.528057,41.190801,41.190801,481
1977-09-12,Price_US_0_IOB,T-Bond (Ultra),41.112972,41.216743,41.087029,41.190801,161
1977-09-13,Price_US_0_IOB,T-Bond (Ultra),41.216743,41.424286,41.164858,41.424286,232
1977-09-14,Price_US_0_IOB,T-Bond (Ultra),41.476172,41.631828,41.450229,41.450229,765
1977-09-15,Price_US_0_IOB,T-Bond (Ultra),41.605886,41.631828,41.398343,41.528057,413
1977-09-16,Price_US_0_IOB,T-Bond (Ultra),41.683714,41.683714,41.528057,41.554,491
1977-09-19,Price_US_0_IOB,T-Bond (Ultra),41.683714,41.683714,41.605886,41.605886,385
1977-09-20,Price_US_0_IOB,T-Bond (Ultra),41.502114,41.528057,41.476172,41.502114,350
1977-09-21,Price_US_0_IOB,T-Bond (Ultra),41.476172,41.631828,41.476172,41.631828,415
1977-09-22,Price_US_0_IOB,T-Bond (Ultra),41.476172,41.502114,41.294572,41.346457,227
1977-09-23,Price_US_0_IOB,T-Bond (Ultra),41.268629,41.450229,41.268629,41.450229,279
1977-09-26,Price_US_0_IOB,T-Bond (Ultra),41.398343,41.398343,41.268629,41.294572,206
1977-09-27,Price_US_0_IOB,T-Bond (Ultra),41.3724,41.631828,41.3724,41.579943,328
1977-09-28,Price_US_0_IOB,T-Bond (Ultra),41.657771,41.787485,41.528057,41.579943,242
1977-09-29,Price_US_0_IOB,T-Bond (Ultra),41.476172,41.631828,41.450229,41.579943,260
1977-09-30,Price_US_0_IOB,T-Bond (Ultra),41.605886,41.605886,41.502114,41.554,268
1977-10-03,Price_US_0_IOB,T-Bond (Ultra),41.424286,41.424286,41.320515,41.346457,169
1977-10-04,Price_US_0_IOB,T-Bond (Ultra),41.450229,41.476172,41.398343,41.424286,218
1977-10-05,Price_US_0_IOB,T-Bond (Ultra),41.554,41.631828,41.3724,41.424286,229
1977-10-06,Price_US_0_IOB,T-Bond (Ultra),41.346457,41.3724,41.294572,41.294572,257
1977-10-07,Price_US_0_IOB,T-Bond (Ultra),41.216743,41.216743,41.087029,41.087029,370
1977-10-10,Price_US_0_IOB,T-Bond (Ultra),41.009201,41.009201,41.009201,41.009201,134
1977-10-11,Price_US_0_IOB,T-Bond (Ultra),40.697887,40.697887,40.697887,40.697887,218
1977-10-12,Price_US_0_IOB,T-Bond (Ultra),40.594116,40.594116,40.438459,40.490345,170
1977-10-13,Price_US_0_IOB,T-Bond (Ultra),40.464402,40.697887,40.464402,40.54223,319
1977-10-14,Price_US_0_IOB,T-Bond (Ultra),40.72383,40.749773,40.72383,40.749773,116
1977-10-17,Price_US_0_IOB,T-Bond (Ultra),40.620059,40.620059,40.620059,40.620059,73
1977-10-18,Price_US_0_IOB,T-Bond (Ultra),40.54223,40.54223,40.54223,40.54223,556
1977-10-19,Price_US_0_IOB,T-Bond (Ultra),40.620059,40.749773,40.620059,40.749773,230
1977-10-20,Price_US_0_IOB,T-Bond (Ultra),40.749773,40.827601,40.749773,40.827601,218
1977-10-21,Price_US_0_IOB,T-Bond (Ultra),40.749773,40.775716,40.749773,40.749773,158
1977-10-24,Price_US_0_IOB,T-Bond (Ultra),40.749773,40.827601,40.749773,40.749773,213
1977-10-25,Price_US_0_IOB,T-Bond (Ultra),40.72383,40.72383,40.54223,40.568173,106
1977-10-26,Price_US_0_IOB,T-Bond (Ultra),40.568173,40.568173,40.516287,40.516287,207
1977-10-27,Price_US_0_IOB,T-Bond (Ultra),40.516287,40.54223,40.516287,40.516287,786
1977-10-28,Price_US_0_IOB,T-Bond (Ultra),40.412516,40.516287,40.412516,40.438459,480
1977-10-31,Price_US_0_IOB,T-Bond (Ultra),40.334688,40.334688,40.049317,40.049317,125
1977-11-01,Price_US_0_IOB,T-Bond (Ultra),39.867717,39.945546,39.763946,39.789889,525
1977-11-02,Price_US_0_IOB,T-Bond (Ultra),39.582346,39.815832,39.556403,39.71206,441
1977-11-03,Price_US_0_IOB,T-Bond (Ultra),39.71206,39.815832,39.660175,39.738003,339
1977-11-04,Price_US_0_IOB,T-Bond (Ultra),39.971488,39.971488,39.945546,39.945546,325
1977-11-07,Price_US_0_IOB,T-Bond (Ultra),40.023374,40.153088,39.997431,40.153088,227
1977-11-08,Price_US_0_IOB,T-Bond (Ultra),40.153088,40.282802,40.153088,40.282802,115
1977-11-09,Price_US_0_IOB,T-Bond (Ultra),40.204974,40.308745,40.204974,40.256859,333
1977-11-10,Price_US_0_IOB,T-Bond (Ultra),40.127145,40.334688,40.127145,40.334688,477
1977-11-11,Price_US_0_IOB,T-Bond (Ultra),40.568173,40.697887,40.54223,40.697887,316
1977-11-14,Price_US_0_IOB,T-Bond (Ultra),40.620059,40.749773,40.464402,40.516287,913
1977-11-15,Price_US_0_IOB,T-Bond (Ultra),40.412516,40.464402,40.360631,40.438459,359
1977-11-16,Price_US_0_IOB,T-Bond (Ultra),40.516287,40.620059,40.516287,40.568173,490
1977-11-17,Price_US_0_IOB,T-Bond (Ultra),40.671944,40.671944,40.490345,40.516287,456
1977-11-18,Price_US_0_IOB,T-Bond (Ultra),40.594116,40.646002,40.594116,40.646002,570
1977-11-21,Price_US_0_IOB,T-Bond (Ultra),40.646002,40.646002,40.464402,40.464402,427
1977-11-22,Price_US_0_IOB,T-Bond (Ultra),40.490345,40.671944,40.438459,40.671944,494
1977-11-23,Price_US_0_IOB,T-Bond (Ultra),40.72383,40.775716,40.72383,40.749773,422
1977-11-25,Price_US_0_IOB,T-Bond (Ultra),40.671944,40.671944,40.671944,40.671944,82
1977-11-28,Price_US_0_IOB,T-Bond (Ultra),40.72383,40.72383,40.72383,40.72383,300
1977-11-29,Price_US_0_IOB,T-Bond (Ultra),40.620059,40.646002,40.620059,40.646002,1295
1977-11-30,Price_US_0_IOB,T-Bond (Ultra),40.620059,40.620059,40.568173,40.568173,113
1977-12-01,Price_US_0_IOB,T-Bond (Ultra),40.464402,40.464402,40.412516,40.438459,120
1977-12-02,Price_US_0_IOB,T-Bond (Ultra),40.438459,40.438459,40.386573,40.386573,168
1977-12-05,Price_US_0_IOB,T-Bond (Ultra),40.282802,40.282802,40.282802,40.282802,157
1977-12-06,Price_US_0_IOB,T-Bond (Ultra),40.153088,40.153088,40.049317,40.049317,260
1977-12-07,Price_US_0_IOB,T-Bond (Ultra),39.945546,40.07526,39.919603,39.945546,420
1977-12-08,Price_US_0_IOB,T-Bond (Ultra),40.07526,40.127145,40.049317,40.127145,541
1977-12-09,Price_US_0_IOB,T-Bond (Ultra),40.230917,40.230917,40.127145,40.127145,968
1977-12-12,Price_US_0_IOB,T-Bond (Ultra),39.997431,39.997431,39.997431,39.997431,249
1977-12-13,Price_US_0_IOB,T-Bond (Ultra),39.867717,39.971488,39.867717,39.919603,179
1977-12-14,Price_US_0_IOB,T-Bond (Ultra),39.945546,39.971488,39.789889,39.789889,283
1977-12-15,Price_US_0_IOB,T-Bond (Ultra),39.763946,39.789889,39.608289,39.686118,526
1977-12-16,Price_US_0_IOB,T-Bond (Ultra),39.686118,39.686118,39.608289,39.686118,351
1977-12-19,Price_US_0_IOB,T-Bond (Ultra),39.504518,39.530461,39.296975,39.296975,669
1977-12-20,Price_US_0_IOB,T-Bond (Ultra),39.115376,39.115376,38.855947,38.907833,364
1977-12-21,Price_US_0_IOB,T-Bond (Ultra),38.959719,38.959719,38.88189,38.959719,184
1977-12-22,Price_US_0_IOB,T-Bond (Ultra),38.959719,38.959719,38.855947,38.855947,188
1977-12-23,Price_US_0_IOB,T-Bond (Ultra),38.855947,38.88189,38.830005,38.830005,30
1977-12-27,Price_US_0_IOB,T-Bond (Ultra),38.830005,38.830005,38.622462,38.700291,329
1977-12-28,Price_US_0_IOB,T-Bond (Ultra),38.674348,38.674348,38.544634,38.622462,290
1977-12-29,Price_US_0_IOB,T-Bond (Ultra),38.518691,38.518691,38.337091,38.388977,550
1977-12-30,Price_US_0_IOB,T-Bond (Ultra),38.830005,39.011604,38.804062,39.011604,397
1978-01-03,Price_US_0_IOB,T-Bond (Ultra),38.726233,38.726233,38.466805,38.466805,148
1978-01-04,Price_US_0_IOB,T-Bond (Ultra),38.337091,38.674348,38.259263,38.570577,701
1978-01-05,Price_US_0_IOB,T-Bond (Ultra),38.674348,38.674348,38.363034,38.388977,600
1978-01-06,Price_US_0_IOB,T-Bond (Ultra),37.947949,38.23332,37.922006,37.999835,795
1978-01-09,Price_US_0_IOB,T-Bond (Ultra),37.377207,37.506921,37.377207,37.40315,566
1978-01-10,Price_US_0_IOB,T-Bond (Ultra),37.273436,37.429093,37.22155,37.40315,671
1978-01-11,Price_US_0_IOB,T-Bond (Ultra),37.480978,37.480978,36.910237,37.014008,665
1978-01-12,Price_US_0_IOB,T-Bond (Ultra),37.065893,37.273436,37.065893,37.195608,350
1978-01-13,Price_US_0_IOB,T-Bond (Ultra),37.558807,37.636635,37.40315,37.480978,606
1978-01-16,Price_US_0_IOB,T-Bond (Ultra),37.351264,37.351264,37.22155,37.22155,166
1978-01-17,Price_US_0_IOB,T-Bond (Ultra),37.325322,37.429093,37.299379,37.299379,191
1978-01-18,Price_US_0_IOB,T-Bond (Ultra),37.480978,37.480978,37.325322,37.325322,293
1978-01-19,Price_US_0_IOB,T-Bond (Ultra),37.377207,37.40315,37.325322,37.40315,286
1978-01-20,Price_US_0_IOB,T-Bond (Ultra),37.299379,37.351264,37.299379,37.351264,84
1978-01-23,Price_US_0_IOB,T-Bond (Ultra),37.351264,37.40315,37.351264,37.40315,232
1978-01-24,Price_US_0_IOB,T-Bond (Ultra),37.169665,37.169665,37.117779,37.169665,284
1978-01-25,Price_US_0_IOB,T-Bond (Ultra),37.014008,37.039951,36.910237,37.039951,582
1978-01-26,Price_US_0_IOB,T-Bond (Ultra),37.117779,37.247493,37.117779,37.247493,369
1978-01-27,Price_US_0_IOB,T-Bond (Ultra),37.22155,37.351264,37.22155,37.325322,117
1978-01-30,Price_US_0_IOB,T-Bond (Ultra),37.377207,37.377207,37.351264,37.351264,122
1978-01-31,Price_US_0_IOB,T-Bond (Ultra),37.532864,37.636635,37.532864,37.558807,533
1978-02-01,Price_US_0_IOB,T-Bond (Ultra),37.429093,37.429093,37.169665,37.247493,473
1978-02-02,Price_US_0_IOB,T-Bond (Ultra),37.169665,37.325322,37.169665,37.325322,323
1978-02-03,Price_US_0_IOB,T-Bond (Ultra),37.22155,37.22155,37.117779,37.195608,303
1978-02-06,Price_US_0_IOB,T-Bond (Ultra),36.962122,36.962122,36.858351,36.936179,260
1978-02-07,Price_US_0_IOB,T-Bond (Ultra),37.065893,37.091836,37.065893,37.065893,388
1978-02-08,Price_US_0_IOB,T-Bond (Ultra),37.039951,37.091836,36.962122,36.962122,399
1978-02-09,Price_US_0_IOB,T-Bond (Ultra),36.988065,37.065893,36.988065,37.065893,541
1978-02-10,Price_US_0_IOB,T-Bond (Ultra),37.091836,37.091836,36.910237,36.910237,568
1978-02-13,Price_US_0_IOB,T-Bond (Ultra),36.962122,36.962122,36.598923,36.806465,467
1978-02-14,Price_US_0_IOB,T-Bond (Ultra),36.728637,36.728637,36.598923,36.702694,593
1978-02-15,Price_US_0_IOB,T-Bond (Ultra),36.57298,36.598923,36.469209,36.495152,494
1978-02-16,Price_US_0_IOB,T-Bond (Ultra),36.287609,36.339495,36.183838,36.209781,555
1978-02-17,Price_US_0_IOB,T-Bond (Ultra),36.443266,36.547037,36.339495,36.547037,595
1978-02-21,Price_US_0_IOB,T-Bond (Ultra),36.469209,36.469209,36.261666,36.287609,536
1978-02-22,Price_US_0_IOB,T-Bond (Ultra),36.365437,36.57298,36.339495,36.547037,1078
1978-02-23,Price_US_0_IOB,T-Bond (Ultra),36.57298,36.57298,36.495152,36.547037,617
1978-02-24,Price_US_0_IOB,T-Bond (Ultra),36.780522,36.988065,36.728637,36.988065,778
1978-02-27,Price_US_0_IOB,T-Bond (Ultra),37.143722,37.143722,36.910237,36.962122,461
1978-02-28,Price_US_0_IOB,T-Bond (Ultra),36.884294,36.884294,36.702694,36.702694,812
1978-03-01,Price_US_0_IOB,T-Bond (Ultra),36.521094,36.57298,36.417323,36.57298,1028
1978-03-02,Price_US_0_IOB,T-Bond (Ultra),36.676751,36.832408,36.676751,36.780522,625
1978-03-03,Price_US_0_IOB,T-Bond (Ultra),36.728637,36.780522,36.728637,36.728637,311
1978-03-06,Price_US_0_IOB,T-Bond (Ultra),36.806465,36.832408,36.75458,36.780522,352
1978-03-07,Price_US_0_IOB,T-Bond (Ultra),36.832408,36.884294,36.832408,36.858351,493
1978-03-08,Price_US_0_IOB,T-Bond (Ultra),36.962122,37.117779,36.962122,36.962122,556
1978-03-09,Price_US_0_IOB,T-Bond (Ultra),36.936179,37.039951,36.936179,36.988065,294
1978-03-10,Price_US_0_IOB,T-Bond (Ultra),37.22155,37.273436,37.117779,37.117779,320
1978-03-13,Price_US_0_IOB,T-Bond (Ultra),37.325322,37.351264,37.22155,37.22155,558
1978-03-14,Price_US_0_IOB,T-Bond (Ultra),37.143722,37.169665,37.065893,37.117779,350
1978-03-15,Price_US_0_IOB,T-Bond (Ultra),37.169665,37.195608,37.065893,37.169665,917
1978-03-16,Price_US_0_IOB,T-Bond (Ultra),37.273436,37.273436,37.169665,37.169665,1422
1978-03-17,Price_US_0_IOB,T-Bond (Ultra),37.22155,37.247493,37.22155,37.247493,237
1978-03-20,Price_US_0_IOB,T-Bond (Ultra),37.351264,37.532864,37.351264,37.532864,607
1978-03-21,Price_US_0_IOB,T-Bond (Ultra),37.480978,37.506921,37.429093,37.429093,554
1978-03-22,Price_US_0_IOB,T-Bond (Ultra),37.273436,37.299379,37.065893,37.091836,593
1978-03-23,Price_US_0_IOB,T-Bond (Ultra),36.936179,36.962122,36.910237,36.936179,727
1978-03-27,Price_US_0_IOB,T-Bond (Ultra),36.598923,36.702694,36.547037,36.57298,843
1978-03-28,Price_US_0_IOB,T-Bond (Ultra),36.676751,36.728637,36.521094,36.521094,887
1978-03-29,Price_US_0_IOB,T-Bond (Ultra),36.443266,36.547037,36.417323,36.547037,918
1978-03-30,Price_US_0_IOB,T-Bond (Ultra),36.598923,36.624866,36.313552,36.339495,501
1978-03-31,Price_US_0_IOB,T-Bond (Ultra),36.157895,36.157895,36.080067,36.080067,1016
1978-04-03,Price_US_0_IOB,T-Bond (Ultra),36.028181,36.183838,36.028181,36.106009,728
1978-04-04,Price_US_0_IOB,T-Bond (Ultra),36.183838,36.235723,36.131952,36.235723,1003
1978-04-05,Price_US_0_IOB,T-Bond (Ultra),36.235723,36.235723,35.950352,35.950352,665
1978-04-06,Price_US_0_IOB,T-Bond (Ultra),35.950352,35.950352,35.794696,35.950352,1019
1978-04-07,Price_US_0_IOB,T-Bond (Ultra),35.950352,36.028181,35.950352,36.028181,459
1978-04-10,Price_US_0_IOB,T-Bond (Ultra),36.002238,36.002238,35.92441,35.950352,347
1978-04-11,Price_US_0_IOB,T-Bond (Ultra),35.820638,35.872524,35.794696,35.794696,1264
1978-04-12,Price_US_0_IOB,T-Bond (Ultra),35.872524,35.872524,35.690924,35.74281,1140
1978-04-13,Price_US_0_IOB,T-Bond (Ultra),35.794696,35.872524,35.794696,35.872524,850
1978-04-14,Price_US_0_IOB,T-Bond (Ultra),36.183838,36.261666,36.183838,36.235723,1268
1978-04-17,Price_US_0_IOB,T-Bond (Ultra),36.261666,36.417323,36.261666,36.365437,943
1978-04-18,Price_US_0_IOB,T-Bond (Ultra),36.287609,36.39138,36.287609,36.365437,595
1978-04-19,Price_US_0_IOB,T-Bond (Ultra),36.495152,36.624866,36.002238,36.002238,1451
1978-04-20,Price_US_0_IOB,T-Bond (Ultra),35.872524,36.054124,35.872524,35.976295,1075
1978-04-21,Price_US_0_IOB,T-Bond (Ultra),35.872524,35.898467,35.846581,35.846581,568
1978-04-24,Price_US_0_IOB,T-Bond (Ultra),35.768753,35.768753,35.690924,35.690924,586
1978-04-25,Price_US_0_IOB,T-Bond (Ultra),35.820638,35.846581,35.768753,35.794696,489
1978-04-26,Price_US_0_IOB,T-Bond (Ultra),35.794696,35.794696,35.483382,35.535267,2458
1978-04-27,Price_US_0_IOB,T-Bond (Ultra),35.587153,35.613096,35.483382,35.56121,1234
1978-04-28,Price_US_0_IOB,T-Bond (Ultra),35.56121,35.690924,35.56121,35.56121,988
1978-05-01,Price_US_0_IOB,T-Bond (Ultra),35.587153,35.613096,35.587153,35.587153,442
1978-05-02,Price_US_0_IOB,T-Bond (Ultra),35.535267,35.587153,35.535267,35.587153,670
1978-05-03,Price_US_0_IOB,T-Bond (Ultra),35.56121,35.56121,35.483382,35.483382,958
1978-05-04,Price_US_0_IOB,T-Bond (Ultra),35.483382,35.768753,35.483382,35.74281,1068
1978-05-05,Price_US_0_IOB,T-Bond (Ultra),35.379611,35.379611,35.223954,35.301782,2083
1978-05-08,Price_US_0_IOB,T-Bond (Ultra),35.275839,35.275839,35.120182,35.249897,1034
1978-05-09,Price_US_0_IOB,T-Bond (Ultra),35.327725,35.405553,35.275839,35.353668,1323
1978-05-10,Price_US_0_IOB,T-Bond (Ultra),35.405553,35.457439,35.301782,35.327725,930
1978-05-11,Price_US_0_IOB,T-Bond (Ultra),35.198011,35.379611,35.198011,35.353668,1095
1978-05-12,Price_US_0_IOB,T-Bond (Ultra),35.146125,35.327725,35.146125,35.301782,1780
1978-05-15,Price_US_0_IOB,T-Bond (Ultra),35.353668,35.483382,35.353668,35.483382,905
1978-05-16,Price_US_0_IOB,T-Bond (Ultra),35.483382,35.56121,35.405553,35.457439,1870
1978-05-17,Price_US_0_IOB,T-Bond (Ultra),35.457439,35.690924,35.405553,35.613096,1724
1978-05-18,Price_US_0_IOB,T-Bond (Ultra),35.535267,35.535267,35.09424,35.09424,1749
1978-05-19,Price_US_0_IOB,T-Bond (Ultra),35.09424,35.249897,34.964526,34.964526,976
1978-05-22,Price_US_0_IOB,T-Bond (Ultra),35.016411,35.09424,35.016411,35.016411,464
1978-05-23,Price_US_0_IOB,T-Bond (Ultra),35.068297,35.068297,35.042354,35.068297,985
1978-05-24,Price_US_0_IOB,T-Bond (Ultra),34.938583,34.938583,34.808869,34.808869,1197
1978-05-25,Price_US_0_IOB,T-Bond (Ultra),34.679155,34.705097,34.575383,34.653212,1195
1978-05-26,Price_US_0_IOB,T-Bond (Ultra),34.549441,34.549441,34.471612,34.523498,1663
1978-05-30,Price_US_0_IOB,T-Bond (Ultra),34.445669,34.445669,34.419727,34.445669,232
1978-05-31,Price_US_0_IOB,T-Bond (Ultra),34.445669,34.575383,34.393784,34.393784,1043
1978-06-01,Price_US_0_IOB,T-Bond (Ultra),34.419727,34.523498,34.393784,34.523498,717
1978-06-02,Price_US_0_IOB,T-Bond (Ultra),34.653212,34.886697,34.653212,34.886697,1036
1978-06-05,Price_US_0_IOB,T-Bond (Ultra),35.042354,35.146125,34.886697,34.938583,1798
1978-06-06,Price_US_0_IOB,T-Bond (Ultra),34.990468,35.09424,34.990468,35.068297,1495
1978-06-07,Price_US_0_IOB,T-Bond (Ultra),35.275839,35.275839,35.042354,35.120182,1885
1978-06-08,Price_US_0_IOB,T-Bond (Ultra),34.990468,34.990468,34.91264,34.964526,1008
1978-06-09,Price_US_0_IOB,T-Bond (Ultra),34.808869,34.860754,34.73104,34.860754,1737
1978-06-12,Price_US_0_IOB,T-Bond (Ultra),34.860754,34.938583,34.834812,34.834812,797
1978-06-13,Price_US_0_IOB,T-Bond (Ultra),34.886697,34.91264,34.73104,34.834812,1257
1978-06-14,Price_US_0_IOB,T-Bond (Ultra),34.91264,34.964526,34.860754,34.964526,1073
1978-06-15,Price_US_0_IOB,T-Bond (Ultra),34.91264,34.91264,34.860754,34.91264,1275
1978-06-16,Price_US_0_IOB,T-Bond (Ultra),34.756983,34.756983,34.601326,34.679155,2151
1978-06-19,Price_US_0_IOB,T-Bond (Ultra),34.705097,34.705097,34.549441,34.549441,863
1978-06-20,Price_US_0_IOB,T-Bond (Ultra),34.471612,34.471612,34.367841,34.367841,1319
1978-06-21,Price_US_0_IOB,T-Bond (Ultra),34.186241,34.186241,34.108413,34.108413,1799
1978-06-22,Price_US_0_IOB,T-Bond (Ultra),34.186241,34.238127,34.160298,34.212184,1535
1978-06-23,Price_US_0_IOB,T-Bond (Ultra),34.030584,34.056527,33.926813,33.978699,1774
1978-06-26,Price_US_0_IOB,T-Bond (Ultra),33.874927,33.90087,33.771156,33.823042,2501
1978-06-27,Price_US_0_IOB,T-Bond (Ultra),33.874927,34.004642,33.874927,33.978699,1366
1978-06-28,Price_US_0_IOB,T-Bond (Ultra),33.926813,34.108413,33.926813,34.004642,1945
1978-06-29,Price_US_0_IOB,T-Bond (Ultra),34.056527,34.08247,33.926813,33.978699,1720
1978-06-30,Price_US_0_IOB,T-Bond (Ultra),33.745213,33.848985,33.745213,33.823042,2013
1978-07-03,Price_US_0_IOB,T-Bond (Ultra),33.952756,33.952756,33.874927,33.874927,280
1978-07-05,Price_US_0_IOB,T-Bond (Ultra),33.745213,33.771156,33.667385,33.719271,598
1978-07-06,Price_US_0_IOB,T-Bond (Ultra),33.693328,33.797099,33.693328,33.797099,832
1978-07-07,Price_US_0_IOB,T-Bond (Ultra),33.719271,33.719271,33.459842,33.459842,2699
1978-07-10,Price_US_0_IOB,T-Bond (Ultra),33.459842,33.459842,33.148529,33.148529,1246
1978-07-11,Price_US_0_IOB,T-Bond (Ultra),33.330128,33.356071,33.200414,33.330128,1594
1978-07-12,Price_US_0_IOB,T-Bond (Ultra),33.459842,33.511728,33.2523,33.2523,1679
1978-07-13,Price_US_0_IOB,T-Bond (Ultra),33.200414,33.2523,33.148529,33.2523,1950
1978-07-14,Price_US_0_IOB,T-Bond (Ultra),33.200414,33.485785,33.200414,33.382014,1859
1978-07-17,Price_US_0_IOB,T-Bond (Ultra),33.485785,33.797099,33.485785,33.745213,2094
1978-07-18,Price_US_0_IOB,T-Bond (Ultra),33.797099,33.874927,33.693328,33.797099,2138
1978-07-19,Price_US_0_IOB,T-Bond (Ultra),34.134356,34.134356,33.926813,33.926813,2218
1978-07-20,Price_US_0_IOB,T-Bond (Ultra),33.952756,33.952756,33.615499,33.667385,1938
1978-07-21,Price_US_0_IOB,T-Bond (Ultra),33.589557,33.667385,33.511728,33.589557,3172
1978-07-24,Price_US_0_IOB,T-Bond (Ultra),33.485785,33.511728,33.4339,33.485785,1164
1978-07-25,Price_US_0_IOB,T-Bond (Ultra),33.4339,33.537671,33.4339,33.537671,1057
1978-07-26,Price_US_0_IOB,T-Bond (Ultra),33.771156,33.771156,33.667385,33.848985,2248
1978-07-27,Price_US_0_IOB,T-Bond (Ultra),33.90087,34.315955,33.90087,34.212184,4069
1978-07-28,Price_US_0_IOB,T-Bond (Ultra),34.523498,34.627269,34.186241,34.601326,3471
1978-07-31,Price_US_0_IOB,T-Bond (Ultra),34.419727,34.601326,34.341898,34.393784,1516
1978-08-01,Price_US_0_IOB,T-Bond (Ultra),34.393784,34.523498,34.290012,34.523498,2312
1978-08-02,Price_US_0_IOB,T-Bond (Ultra),35.09424,35.146125,34.964526,35.146125,2327
1978-08-03,Price_US_0_IOB,T-Bond (Ultra),35.016411,35.768753,35.016411,35.768753,2736
1978-08-04,Price_US_0_IOB,T-Bond (Ultra),36.39138,36.39138,35.431496,35.716867,5035
1978-08-07,Price_US_0_IOB,T-Bond (Ultra),35.794696,35.898467,35.509325,35.898467,2543
1978-08-08,Price_US_0_IOB,T-Bond (Ultra),35.794696,36.209781,35.768753,36.183838,1929
1978-08-09,Price_US_0_IOB,T-Bond (Ultra),36.313552,36.57298,36.002238,36.106009,2998
1978-08-10,Price_US_0_IOB,T-Bond (Ultra),35.664982,35.846581,35.483382,35.483382,3162
1978-08-11,Price_US_0_IOB,T-Bond (Ultra),35.56121,35.587153,35.223954,35.457439,2073
1978-08-14,Price_US_0_IOB,T-Bond (Ultra),35.353668,35.353668,34.938583,34.964526,1944
1978-08-15,Price_US_0_IOB,T-Bond (Ultra),34.782926,35.120182,34.627269,35.09424,2902
1978-08-16,Price_US_0_IOB,T-Bond (Ultra),34.990468,35.301782,34.471612,34.471612,3794
1978-08-17,Price_US_0_IOB,T-Bond (Ultra),34.367841,35.09424,34.367841,34.860754,2531
1978-08-18,Price_US_0_IOB,T-Bond (Ultra),34.601326,35.146125,34.341898,35.120182,4038
