"Symbol","Description","Date","Open","High","Low","Close","TotalVolume"
Price_AD_0_IOB,Australian Dollar,1/13/1987,0.0432,0.0442,0.0392,0.0394,1854
Price_AD_0_IOB,Australian Dollar,1/14/1987,0.0293,0.0305,0.0260,0.0271,1522
Price_AD_0_IOB,Australian Dollar,1/15/1987,0.0372,0.0373,0.0359,0.0361,571
Price_AD_0_IOB,Australian Dollar,1/16/1987,0.0380,0.0392,0.0380,0.0389,556
Price_AD_0_IOB,Australian Dollar,1/19/1987,0.0388,0.0422,0.0388,0.0407,516
Price_AD_0_IOB,Australian Dollar,1/20/1987,0.0522,0.0527,0.0472,0.0472,376
Price_AD_0_IOB,Australian Dollar,1/21/1987,0.0482,0.0490,0.0479,0.0490,273
Price_AD_0_IOB,Australian Dollar,1/22/1987,0.0479,0.0480,0.0467,0.0476,588
Price_AD_0_IOB,Australian Dollar,1/23/1987,0.0500,0.0501,0.0496,0.0496,269
Price_AD_0_IOB,Australian Dollar,1/26/1987,0.0525,0.0525,0.0508,0.0513,254
Price_AD_0_IOB,Australian Dollar,1/27/1987,0.0509,0.0512,0.0489,0.0492,543
Price_AD_0_IOB,Australian Dollar,1/28/1987,0.0468,0.0492,0.0468,0.0488,506
Price_AD_0_IOB,Australian Dollar,1/29/1987,0.0502,0.0508,0.0498,0.0500,195
Price_AD_0_IOB,Australian Dollar,1/30/1987,0.0502,0.0505,0.0498,0.0501,60
Price_AD_0_IOB,Australian Dollar,2/2/1987,0.0503,0.0504,0.0499,0.0501,165
Price_AD_0_IOB,Australian Dollar,2/3/1987,0.0548,0.0554,0.0542,0.0548,549
Price_AD_0_IOB,Australian Dollar,2/4/1987,0.0590,0.0593,0.0582,0.0590,394
Price_AD_0_IOB,Australian Dollar,2/5/1987,0.0582,0.0592,0.0581,0.0585,535
Price_AD_0_IOB,Australian Dollar,2/6/1987,0.0595,0.0604,0.0591,0.0602,181
Price_AD_0_IOB,Australian Dollar,2/9/1987,0.0565,0.0566,0.0530,0.0533,205
Price_AD_0_IOB,Australian Dollar,2/10/1987,0.0573,0.0590,0.0565,0.0582,248
Price_AD_0_IOB,Australian Dollar,2/11/1987,0.0591,0.0594,0.0588,0.0591,228
Price_AD_0_IOB,Australian Dollar,2/12/1987,0.0584,0.0591,0.0582,0.0582,367
Price_AD_0_IOB,Australian Dollar,2/13/1987,0.0569,0.0569,0.0561,0.0562,150
Price_AD_0_IOB,Australian Dollar,2/17/1987,0.0544,0.0544,0.0541,0.0542,140
Price_AD_0_IOB,Australian Dollar,2/18/1987,0.0581,0.0597,0.0581,0.0589,345
Price_AD_0_IOB,Australian Dollar,2/19/1987,0.0590,0.0592,0.0584,0.0587,180
Price_AD_0_IOB,Australian Dollar,2/20/1987,0.0580,0.0603,0.0574,0.0603,214
Price_AD_0_IOB,Australian Dollar,2/23/1987,0.0607,0.0614,0.0607,0.0611,120
Price_AD_0_IOB,Australian Dollar,2/24/1987,0.0633,0.0636,0.0629,0.0629,360
Price_AD_0_IOB,Australian Dollar,2/25/1987,0.0686,0.0697,0.0679,0.0697,720
Price_AD_0_IOB,Australian Dollar,2/26/1987,0.0686,0.0692,0.0686,0.0688,134
Price_AD_0_IOB,Australian Dollar,2/27/1987,0.0703,0.0723,0.0703,0.0714,295
Price_AD_0_IOB,Australian Dollar,3/2/1987,0.0753,0.0772,0.0739,0.0740,421
