"Symbol","Description","Date","Open","High","Low","Close","TotalVolume"
Price_CD_0_IOB,Canadian Dollar,5/16/1972,0.8098,0.8098,0.8085,0.8085,35
Price_CD_0_IOB,Canadian Dollar,5/17/1972,0.8095,0.8098,0.8092,0.8094,450
Price_CD_0_IOB,Canadian Dollar,5/18/1972,0.8095,0.8096,0.8089,0.8096,466
Price_CD_0_IOB,Canadian Dollar,5/19/1972,0.8095,0.8095,0.8095,0.8095,647
Price_CD_0_IOB,Canadian Dollar,5/22/1972,0.8095,0.8095,0.8095,0.8095,415
Price_CD_0_IOB,Canadian Dollar,5/23/1972,0.8095,0.8095,0.8095,0.8095,426
Price_CD_0_IOB,Canadian Dollar,5/24/1972,0.8095,0.8095,0.8095,0.8095,1320
Price_CD_0_IOB,Canadian Dollar,5/25/1972,0.8122,0.8122,0.8122,0.8122,308
Price_CD_0_IOB,Canadian Dollar,5/26/1972,0.8122,0.8122,0.8122,0.8122,446
Price_CD_0_IOB,Canadian Dollar,5/30/1972,0.8135,0.8135,0.8135,0.8135,1553
Price_CD_0_IOB,Canadian Dollar,5/31/1972,0.8146,0.8146,0.8146,0.8146,1010
Price_CD_0_IOB,Canadian Dollar,6/1/1972,0.8146,0.8146,0.8146,0.8146,40
Price_CD_0_IOB,Canadian Dollar,6/2/1972,0.8146,0.8146,0.8146,0.8146,611
Price_CD_0_IOB,Canadian Dollar,6/5/1972,0.8181,0.8181,0.8181,0.8181,1034
Price_CD_0_IOB,Canadian Dollar,6/6/1972,0.8190,0.8190,0.8190,0.8190,876
Price_CD_0_IOB,Canadian Dollar,6/7/1972,0.8202,0.8202,0.8202,0.8202,299
Price_CD_0_IOB,Canadian Dollar,6/8/1972,0.8220,0.8222,0.8220,0.8222,516
Price_CD_0_IOB,Canadian Dollar,6/9/1972,0.8222,0.8222,0.8222,0.8222,450
Price_CD_0_IOB,Canadian Dollar,6/12/1972,0.8216,0.8216,0.8216,0.8216,285
Price_CD_0_IOB,Canadian Dollar,6/13/1972,0.8216,0.8220,0.8216,0.8220,214
Price_CD_0_IOB,Canadian Dollar,6/14/1972,0.8226,0.8240,0.8226,0.8240,607
Price_CD_0_IOB,Canadian Dollar,6/15/1972,0.8245,0.8246,0.8245,0.8246,233
Price_CD_0_IOB,Canadian Dollar,6/16/1972,0.8240,0.8240,0.8240,0.8240,259
Price_CD_0_IOB,Canadian Dollar,6/19/1972,0.8223,0.8224,0.8223,0.8224,270
Price_CD_0_IOB,Canadian Dollar,6/20/1972,0.8211,0.8212,0.8211,0.8212,622
Price_CD_0_IOB,Canadian Dollar,6/21/1972,0.8197,0.8198,0.8197,0.8198,233
Price_CD_0_IOB,Canadian Dollar,6/22/1972,0.8204,0.8206,0.8204,0.8206,216
Price_CD_0_IOB,Canadian Dollar,6/23/1972,0.8222,0.8240,0.8222,0.8240,508
Price_CD_0_IOB,Canadian Dollar,6/26/1972,0.8270,0.8275,0.8266,0.8266,774
