"Symbol","Description","Date","Open","High","Low","Close","TotalVolume"
Price_CL20_IOB,Crude Oil (Light),3/30/1983,35.31,35.62,35.07,35.46,1884
Price_CL20_IOB,Crude Oil (Light),3/31/1983,35.46,35.66,35.31,35.33,1478
Price_CL20_IOB,Crude Oil (Light),4/4/1983,35.36,35.76,35.35,35.50,478
Price_CL20_IOB,Crude Oil (Light),4/5/1983,35.56,35.86,35.56,35.77,478
Price_CL20_IOB,Crude Oil (Light),4/6/1983,35.96,35.98,35.71,35.96,893
Price_CL20_IOB,Crude Oil (Light),4/7/1983,35.98,36.26,35.92,36.23,1469
Price_CL20_IOB,Crude Oil (Light),4/8/1983,36.71,36.71,36.31,36.44,1028
Price_CL20_IOB,Crude Oil (Light),4/11/1983,36.46,36.47,36.06,36.31,797
Price_CL20_IOB,Crude Oil (Light),4/12/1983,36.44,36.94,36.44,36.89,928
Price_CL20_IOB,Crude Oil (Light),4/13/1983,36.64,37.04,36.64,36.82,1418
Price_CL20_IOB,Crude Oil (Light),4/14/1983,36.81,36.94,36.69,36.73,695
Price_CL20_IOB,Crude Oil (Light),4/15/1983,36.59,36.64,36.34,36.49,698
Price_CL20_IOB,Crude Oil (Light),4/18/1983,36.59,36.79,36.59,36.74,262
Price_CL20_IOB,Crude Oil (Light),4/19/1983,36.84,36.89,36.71,36.73,557
Price_CL20_IOB,Crude Oil (Light),4/20/1983,36.66,36.83,36.59,36.72,398
Price_CL20_IOB,Crude Oil (Light),4/21/1983,36.84,36.84,36.64,36.78,279
Price_CL20_IOB,Crude Oil (Light),4/22/1983,36.70,36.91,36.69,36.81,530
Price_CL20_IOB,Crude Oil (Light),4/25/1983,36.83,36.97,36.79,36.90,324
Price_CL20_IOB,Crude Oil (Light),4/26/1983,36.82,36.89,36.76,36.77,417
Price_CL20_IOB,Crude Oil (Light),4/27/1983,36.74,36.89,36.74,36.85,433
Price_CL20_IOB,Crude Oil (Light),4/28/1983,36.79,36.94,36.74,36.83,1206
Price_CL20_IOB,Crude Oil (Light),4/29/1983,36.79,36.82,36.66,36.68,636
Price_CL20_IOB,Crude Oil (Light),5/2/1983,36.77,36.77,36.54,36.61,359
Price_CL20_IOB,Crude Oil (Light),5/3/1983,36.64,36.64,36.44,36.52,1003
Price_CL20_IOB,Crude Oil (Light),5/4/1983,36.49,36.53,36.34,36.37,843
Price_CL20_IOB,Crude Oil (Light),5/5/1983,36.39,36.39,36.14,36.17,714
Price_CL20_IOB,Crude Oil (Light),5/6/1983,36.14,36.15,35.84,35.94,798
