"Symbol","Description","Date","Open","High","Low","Close","TotalVolume"
Price_DX20_IOB,Dollar Index,11/20/1985,156.4210,157.6210,156.3710,157.4310,11356
Price_DX20_IOB,Dollar Index,11/21/1985,156.4010,156.6010,156.0510,156.1310,9662
Price_DX20_IOB,Dollar Index,11/22/1985,156.1010,156.2510,155.1510,155.2010,5981
Price_DX20_IOB,Dollar Index,11/25/1985,155.4810,155.4810,155.0010,155.2110,4029
Price_DX20_IOB,Dollar Index,11/26/1985,155.5110,155.5510,154.4210,154.7410,5379
Price_DX20_IOB,Dollar Index,11/27/1985,154.8310,155.1210,154.3010,154.7310,4649
Price_DX20_IOB,Dollar Index,11/29/1985,153.8210,154.0310,153.5010,153.7510,1943
Price_DX20_IOB,Dollar Index,12/2/1985,153.3710,154.3710,153.2610,154.1510,3566
Price_DX20_IOB,Dollar Index,12/3/1985,154.8610,155.1210,154.4810,154.6110,3799
Price_DX20_IOB,Dollar Index,12/4/1985,154.0810,154.2310,153.8910,154.0110,2549
Price_DX20_IOB,Dollar Index,12/5/1985,154.6610,154.7410,154.0210,154.0910,2701
Price_DX20_IOB,Dollar Index,12/6/1985,154.4010,154.8710,154.2610,154.6510,1857
Price_DX20_IOB,Dollar Index,12/9/1985,154.8710,155.3410,154.7810,155.0910,1390
Price_DX20_IOB,Dollar Index,12/10/1985,155.4610,155.7910,155.3510,155.6010,1680
Price_DX20_IOB,Dollar Index,12/11/1985,156.2710,156.7510,155.5210,155.6610,3332
Price_DX20_IOB,Dollar Index,12/12/1985,155.1210,155.3210,154.6510,155.1510,2048
Price_DX20_IOB,Dollar Index,12/13/1985,154.8510,155.3210,154.6810,155.3210,1317
Price_DX20_IOB,Dollar Index,12/16/1985,155.2810,155.4010,154.4810,154.6510,1492
Price_DX20_IOB,Dollar Index,12/17/1985,154.6210,154.8410,154.2110,154.8010,1688
Price_DX20_IOB,Dollar Index,12/18/1985,155.2010,155.7710,155.1710,155.7010,1271
Price_DX20_IOB,Dollar Index,12/19/1985,155.5210,155.6210,155.0210,155.1910,355
Price_DX20_IOB,Dollar Index,12/20/1985,155.2810,155.5110,154.8310,155.0110,467
Price_DX20_IOB,Dollar Index,12/23/1985,155.0710,155.1910,154.6210,154.8210,369
Price_DX20_IOB,Dollar Index,12/24/1985,154.8710,154.8910,154.5710,154.6110,24
Price_DX20_IOB,Dollar Index,12/26/1985,154.7210,154.8010,154.3710,154.6410,264
Price_DX20_IOB,Dollar Index,12/27/1985,153.8010,154.0110,152.9110,153.1510,1022
Price_DX20_IOB,Dollar Index,12/30/1985,153.0010,153.1710,152.5610,152.8210,241
Price_DX20_IOB,Dollar Index,12/31/1985,152.5710,152.5910,152.0710,152.1210,212
Price_DX20_IOB,Dollar Index,1/2/1986,152.2010,152.6310,151.5610,151.6810,1630
