"Symbol","Description","Date","Open","High","Low","Close","TotalVolume"
Price_ED_0_IOB,Eurodollar,12/9/1981,62.4750,62.5050,62.0750,62.1450,3400
Price_ED_0_IOB,Eurodollar,12/10/1981,61.9650,61.9950,61.5250,61.6050,2375
Price_ED_0_IOB,Eurodollar,12/11/1981,61.5150,61.7050,61.4350,61.5450,1384
Price_ED_0_IOB,Eurodollar,12/14/1981,61.1550,61.6650,61.1150,61.6250,1440
Price_ED_0_IOB,Eurodollar,12/15/1981,61.7950,61.9450,61.7150,61.7950,881
Price_ED_0_IOB,Eurodollar,12/16/1981,61.7050,61.8750,61.6250,61.6250,603
Price_ED_0_IOB,Eurodollar,12/17/1981,61.6150,61.6350,61.0750,61.0750,689
Price_ED_0_IOB,Eurodollar,12/18/1981,61.0450,61.6850,61.0250,61.6450,861
Price_ED_0_IOB,Eurodollar,12/21/1981,61.1950,61.2450,61.0450,61.0550,699
Price_ED_0_IOB,Eurodollar,12/22/1981,60.9650,61.1750,60.8550,61.0250,560
Price_ED_0_IOB,Eurodollar,12/23/1981,60.6450,60.8150,60.5950,60.5950,393
Price_ED_0_IOB,Eurodollar,12/24/1981,60.8050,61.0050,60.7650,60.8350,333
Price_ED_0_IOB,Eurodollar,12/28/1981,60.9250,61.0050,60.5750,60.5750,152
Price_ED_0_IOB,Eurodollar,12/29/1981,60.7550,60.8050,60.4350,60.6350,471
Price_ED_0_IOB,Eurodollar,12/30/1981,60.6650,60.9450,60.5950,60.8950,366
Price_ED_0_IOB,Eurodollar,12/31/1981,61.0850,61.3850,61.0850,61.3250,564
Price_ED_0_IOB,Eurodollar,1/4/1982,61.4950,61.5550,61.1650,61.2050,693
Price_ED_0_IOB,Eurodollar,1/5/1982,60.6150,60.9050,60.4750,60.7950,767
Price_ED_0_IOB,Eurodollar,1/6/1982,61.0950,61.1850,60.6350,60.6550,590
Price_ED_0_IOB,Eurodollar,1/7/1982,60.5950,60.8150,60.5350,60.7650,572
Price_ED_0_IOB,Eurodollar,1/8/1982,60.8250,60.9950,60.7950,60.8950,489
Price_ED_0_IOB,Eurodollar,1/11/1982,60.7350,60.7650,60.1250,60.2150,609
Price_ED_0_IOB,Eurodollar,1/12/1982,60.3050,60.4250,60.1750,60.4150,541
Price_ED_0_IOB,Eurodollar,1/13/1982,60.5150,60.5950,59.9950,60.0050,438
Price_ED_0_IOB,Eurodollar,1/14/1982,59.9250,60.2450,59.9050,60.2350,660
Price_ED_0_IOB,Eurodollar,1/15/1982,60.3350,60.4150,59.9950,60.0650,338
Price_ED_0_IOB,Eurodollar,1/18/1982,59.8450,60.2050,59.8450,60.1550,656
Price_ED_0_IOB,Eurodollar,1/19/1982,60.1950,60.3550,60.0050,60.0050,432
Price_ED_0_IOB,Eurodollar,1/20/1982,60.0650,60.0850,59.8350,59.9250,524
Price_ED_0_IOB,Eurodollar,1/21/1982,60.1050,60.2650,59.7850,59.8750,520
Price_ED_0_IOB,Eurodollar,1/22/1982,59.9350,59.9750,59.6550,59.6750,589
Price_ED_0_IOB,Eurodollar,1/25/1982,59.2950,59.5850,59.2050,59.5850,660
