"Symbol","Description","Date","Open","High","Low","Close","TotalVolume"
Price_FC_0_IOB,Feeder Cattle,11/30/1971,74.800,74.800,74.275,74.275,90
Price_FC_0_IOB,Feeder Cattle,12/1/1971,74.225,74.225,73.300,73.650,52
Price_FC_0_IOB,Feeder Cattle,12/2/1971,73.550,74.300,73.500,74.050,30
Price_FC_0_IOB,Feeder Cattle,12/3/1971,74.300,74.325,74.100,74.300,29
Price_FC_0_IOB,Feeder Cattle,12/6/1971,74.500,74.700,74.300,74.300,25
Price_FC_0_IOB,Feeder Cattle,12/7/1971,74.300,74.300,74.275,74.275,6
Price_FC_0_IOB,Feeder Cattle,12/8/1971,74.050,74.050,73.900,73.900,12
Price_FC_0_IOB,Feeder Cattle,12/9/1971,73.800,73.800,73.800,73.800,11
Price_FC_0_IOB,Feeder Cattle,12/10/1971,73.700,73.800,73.700,73.800,23
Price_FC_0_IOB,Feeder Cattle,12/13/1971,73.575,73.650,73.550,73.600,10
Price_FC_0_IOB,Feeder Cattle,12/14/1971,73.600,73.650,73.600,73.650,10
Price_FC_0_IOB,Feeder Cattle,12/15/1971,73.700,74.100,73.700,74.100,16
Price_FC_0_IOB,Feeder Cattle,12/16/1971,74.225,74.375,74.225,74.300,29
Price_FC_0_IOB,Feeder Cattle,12/17/1971,74.300,74.300,74.300,74.300,31
Price_FC_0_IOB,Feeder Cattle,12/20/1971,74.300,74.300,73.550,73.550,20
Price_FC_0_IOB,Feeder Cattle,12/21/1971,73.550,74.100,73.550,74.050,4
Price_FC_0_IOB,Feeder Cattle,12/22/1971,74.050,74.050,74.050,74.050,2
Price_FC_0_IOB,Feeder Cattle,12/23/1971,74.050,74.050,74.050,74.050,0
Price_FC_0_IOB,Feeder Cattle,12/27/1971,74.200,74.200,74.200,74.200,26
Price_FC_0_IOB,Feeder Cattle,12/28/1971,74.200,74.300,74.200,74.300,16
Price_FC_0_IOB,Feeder Cattle,12/29/1971,74.300,74.300,74.225,74.225,14
Price_FC_0_IOB,Feeder Cattle,12/30/1971,74.075,74.100,74.075,74.100,9
Price_FC_0_IOB,Feeder Cattle,1/3/1972,74.300,74.300,74.275,74.275,18
Price_FC_0_IOB,Feeder Cattle,1/4/1972,74.300,74.525,74.300,74.425,9
Price_FC_0_IOB,Feeder Cattle,1/5/1972,74.550,74.550,74.550,74.550,19
Price_FC_0_IOB,Feeder Cattle,1/6/1972,74.300,74.550,74.300,74.550,12
Price_FC_0_IOB,Feeder Cattle,1/7/1972,74.550,74.550,74.550,74.550,24
Price_FC_0_IOB,Feeder Cattle,1/10/1972,74.550,74.975,74.550,74.850,81
Price_FC_0_IOB,Feeder Cattle,1/11/1972,74.800,75.000,74.800,74.950,33
Price_FC_0_IOB,Feeder Cattle,1/12/1972,75.000,75.750,75.000,75.550,54
Price_FC_0_IOB,Feeder Cattle,1/13/1972,75.550,76.500,75.550,76.500,110
Price_FC_0_IOB,Feeder Cattle,1/14/1972,76.800,76.950,76.575,76.600,173
Price_FC_0_IOB,Feeder Cattle,1/17/1972,76.900,77.025,76.800,76.800,83
Price_FC_0_IOB,Feeder Cattle,1/18/1972,76.400,76.400,75.750,76.300,84
Price_FC_0_IOB,Feeder Cattle,1/19/1972,76.150,76.650,76.150,76.650,53
Price_FC_0_IOB,Feeder Cattle,1/20/1972,76.600,76.600,76.600,76.600,2
Price_FC_0_IOB,Feeder Cattle,1/21/1972,76.100,76.100,76.100,76.100,3
Price_FC_0_IOB,Feeder Cattle,1/24/1972,76.150,76.150,76.150,76.400,13
Price_FC_0_IOB,Feeder Cattle,1/25/1972,76.650,76.650,76.400,76.400,5
Price_FC_0_IOB,Feeder Cattle,1/26/1972,76.400,76.400,76.350,76.350,7
Price_FC_0_IOB,Feeder Cattle,1/27/1972,76.300,76.300,76.300,76.300,4
Price_FC_0_IOB,Feeder Cattle,1/28/1972,76.300,76.300,76.300,76.300,1
Price_FC_0_IOB,Feeder Cattle,1/31/1972,76.150,76.150,76.150,76.150,6
Price_FC_0_IOB,Feeder Cattle,2/1/1972,76.100,76.100,76.100,76.100,0
Price_FC_0_IOB,Feeder Cattle,2/2/1972,76.050,76.150,76.050,76.150,8
Price_FC_0_IOB,Feeder Cattle,2/3/1972,76.150,76.150,76.050,76.125,9
Price_FC_0_IOB,Feeder Cattle,2/4/1972,76.300,76.300,76.100,76.250,15
Price_FC_0_IOB,Feeder Cattle,2/7/1972,76.300,76.400,76.200,76.400,23
Price_FC_0_IOB,Feeder Cattle,2/8/1972,76.300,76.350,76.250,76.325,15
Price_FC_0_IOB,Feeder Cattle,2/9/1972,76.375,76.400,76.350,76.400,9
Price_FC_0_IOB,Feeder Cattle,2/10/1972,76.375,76.375,76.375,76.375,4
Price_FC_0_IOB,Feeder Cattle,2/11/1972,76.300,76.650,76.300,76.600,40
Price_FC_0_IOB,Feeder Cattle,2/14/1972,76.650,76.650,76.625,76.625,7
Price_FC_0_IOB,Feeder Cattle,2/15/1972,76.450,76.600,76.425,76.600,16
Price_FC_0_IOB,Feeder Cattle,2/16/1972,76.400,76.550,76.400,76.550,4
Price_FC_0_IOB,Feeder Cattle,2/17/1972,76.550,76.600,76.550,76.550,24
Price_FC_0_IOB,Feeder Cattle,2/18/1972,76.550,76.550,76.550,76.550,21
Price_FC_0_IOB,Feeder Cattle,2/22/1972,76.600,76.650,76.550,76.625,15
Price_FC_0_IOB,Feeder Cattle,2/23/1972,76.550,76.550,76.550,76.550,3
Price_FC_0_IOB,Feeder Cattle,2/24/1972,76.550,76.550,76.400,76.500,25
Price_FC_0_IOB,Feeder Cattle,2/25/1972,76.450,76.450,76.450,76.450,13
Price_FC_0_IOB,Feeder Cattle,2/28/1972,76.450,76.450,76.450,76.450,21
Price_FC_0_IOB,Feeder Cattle,2/29/1972,76.400,76.400,76.400,76.400,15
Price_FC_0_IOB,Feeder Cattle,3/1/1972,76.400,76.400,76.400,76.400,4
Price_FC_0_IOB,Feeder Cattle,3/2/1972,76.400,76.400,76.400,76.400,18
Price_FC_0_IOB,Feeder Cattle,3/3/1972,76.100,76.100,76.100,76.100,20
Price_FC_0_IOB,Feeder Cattle,3/6/1972,76.100,76.100,76.050,76.100,14
Price_FC_0_IOB,Feeder Cattle,3/7/1972,76.100,76.100,76.100,76.100,7
Price_FC_0_IOB,Feeder Cattle,3/8/1972,76.200,76.200,76.150,76.150,30
Price_FC_0_IOB,Feeder Cattle,3/9/1972,76.150,76.150,76.150,76.150,21
Price_FC_0_IOB,Feeder Cattle,3/10/1972,76.200,76.275,76.200,76.200,10
Price_FC_0_IOB,Feeder Cattle,3/13/1972,76.250,76.250,76.250,76.250,24
Price_FC_0_IOB,Feeder Cattle,3/14/1972,76.250,76.250,76.250,76.250,13
Price_FC_0_IOB,Feeder Cattle,3/15/1972,76.250,76.250,76.250,76.250,19
Price_FC_0_IOB,Feeder Cattle,3/16/1972,76.300,76.300,76.300,76.300,14
Price_FC_0_IOB,Feeder Cattle,3/17/1972,76.300,76.300,76.100,76.100,14
Price_FC_0_IOB,Feeder Cattle,3/20/1972,76.150,76.150,76.150,76.150,25
Price_FC_0_IOB,Feeder Cattle,3/21/1972,76.150,76.150,76.150,76.150,2
Price_FC_0_IOB,Feeder Cattle,3/22/1972,76.150,76.150,76.150,76.150,6
Price_FC_0_IOB,Feeder Cattle,3/23/1972,76.300,76.350,76.300,76.350,20
Price_FC_0_IOB,Feeder Cattle,3/24/1972,76.350,76.350,76.350,76.350,5
Price_FC_0_IOB,Feeder Cattle,3/27/1972,76.350,76.350,76.250,76.250,7
Price_FC_0_IOB,Feeder Cattle,3/28/1972,76.350,76.350,76.350,76.350,16
Price_FC_0_IOB,Feeder Cattle,3/29/1972,76.375,76.450,76.350,76.350,7
Price_FC_0_IOB,Feeder Cattle,3/30/1972,76.350,76.350,76.050,76.050,23
Price_FC_0_IOB,Feeder Cattle,4/3/1972,76.050,76.300,76.050,76.250,14
Price_FC_0_IOB,Feeder Cattle,4/4/1972,75.950,76.050,75.950,76.050,2
Price_FC_0_IOB,Feeder Cattle,4/5/1972,76.100,76.100,76.100,76.100,2
Price_FC_0_IOB,Feeder Cattle,4/6/1972,76.100,76.100,76.100,76.100,3
Price_FC_0_IOB,Feeder Cattle,4/7/1972,76.425,76.450,76.425,76.450,3
Price_FC_0_IOB,Feeder Cattle,4/10/1972,76.450,76.475,76.450,76.475,13
Price_FC_0_IOB,Feeder Cattle,4/11/1972,76.450,76.450,76.450,76.450,26
Price_FC_0_IOB,Feeder Cattle,4/12/1972,76.450,76.450,76.450,76.450,1
Price_FC_0_IOB,Feeder Cattle,4/13/1972,76.450,76.450,76.450,76.450,2
Price_FC_0_IOB,Feeder Cattle,4/14/1972,76.550,76.550,76.550,76.550,6
Price_FC_0_IOB,Feeder Cattle,4/17/1972,76.550,76.700,76.550,76.700,39
Price_FC_0_IOB,Feeder Cattle,4/18/1972,76.550,76.550,76.550,76.550,9
Price_FC_0_IOB,Feeder Cattle,4/19/1972,76.550,76.550,76.550,76.550,11
Price_FC_0_IOB,Feeder Cattle,4/20/1972,76.650,76.950,76.650,76.950,28
Price_FC_0_IOB,Feeder Cattle,4/21/1972,76.900,76.900,76.900,76.900,13
Price_FC_0_IOB,Feeder Cattle,4/24/1972,77.050,77.050,77.050,77.050,2
Price_FC_0_IOB,Feeder Cattle,4/25/1972,77.300,77.300,77.300,77.300,24
Price_FC_0_IOB,Feeder Cattle,4/26/1972,77.300,77.650,77.300,77.650,16
Price_FC_0_IOB,Feeder Cattle,4/27/1972,77.750,77.750,77.600,77.750,17
Price_FC_0_IOB,Feeder Cattle,4/28/1972,77.725,77.800,77.550,77.550,11
