"Symbol","Description","Date","Open","High","Low","Close","TotalVolume"
Price_HG20_IOB,HG Copper,1/3/1966,24.75,25.40,24.75,25.20,0
Price_HG20_IOB,HG Copper,1/4/1966,25.60,25.80,23.05,23.95,0
Price_HG20_IOB,HG Copper,1/5/1966,24.50,24.75,24.30,24.50,0
Price_HG20_IOB,HG Copper,1/6/1966,23.00,23.45,22.55,22.90,0
Price_HG20_IOB,HG Copper,1/7/1966,23.40,24.70,23.40,24.10,0
Price_HG20_IOB,HG Copper,1/10/1966,25.70,25.80,24.70,24.90,0
Price_HG20_IOB,HG Copper,1/11/1966,24.95,24.95,23.75,24.60,0
Price_HG20_IOB,HG Copper,1/12/1966,24.10,24.65,24.10,24.55,0
Price_HG20_IOB,HG Copper,1/13/1966,25.25,25.55,25.15,25.50,0
Price_HG20_IOB,HG Copper,1/14/1966,25.30,26.35,25.30,26.00,0
Price_HG20_IOB,HG Copper,1/17/1966,26.10,26.45,25.95,26.25,0
Price_HG20_IOB,HG Copper,1/18/1966,26.60,26.80,25.40,25.70,0
Price_HG20_IOB,HG Copper,1/19/1966,25.70,25.80,25.50,25.65,0
Price_HG20_IOB,HG Copper,1/20/1966,23.65,25.05,23.65,24.50,0
Price_HG20_IOB,HG Copper,1/21/1966,24.75,25.75,24.75,25.30,0
Price_HG20_IOB,HG Copper,1/24/1966,25.70,25.70,24.30,24.80,0
Price_HG20_IOB,HG Copper,1/25/1966,25.30,25.90,25.30,25.75,0
Price_HG20_IOB,HG Copper,1/26/1966,26.70,26.70,26.05,26.10,0
Price_HG20_IOB,HG Copper,1/27/1966,26.15,26.40,25.85,25.85,0
Price_HG20_IOB,HG Copper,1/28/1966,25.80,26.05,25.45,25.65,0
Price_HG20_IOB,HG Copper,1/31/1966,26.25,26.35,26.15,26.25,0
Price_HG20_IOB,HG Copper,2/1/1966,26.85,28.10,26.75,28.10,0
Price_HG20_IOB,HG Copper,2/2/1966,29.80,30.10,29.20,30.05,0
Price_HG20_IOB,HG Copper,2/3/1966,29.30,30.60,29.00,29.70,0
Price_HG20_IOB,HG Copper,2/4/1966,30.50,31.70,30.50,31.70,0
Price_HG20_IOB,HG Copper,2/7/1966,32.00,33.70,32.00,33.70,0
Price_HG20_IOB,HG Copper,2/8/1966,35.40,35.70,35.00,35.60,0
Price_HG20_IOB,HG Copper,2/9/1966,34.80,37.50,34.80,37.30,0
Price_HG20_IOB,HG Copper,2/10/1966,37.25,37.25,35.55,36.60,0
Price_HG20_IOB,HG Copper,2/11/1966,35.50,35.75,35.50,35.70,0
Price_HG20_IOB,HG Copper,2/14/1966,36.60,37.50,36.60,37.50,0
Price_HG20_IOB,HG Copper,2/15/1966,37.50,39.50,37.50,39.35,0
Price_HG20_IOB,HG Copper,2/16/1966,39.70,40.65,39.00,39.30,0
Price_HG20_IOB,HG Copper,2/17/1966,37.80,39.10,37.80,37.85,0
Price_HG20_IOB,HG Copper,2/18/1966,38.45,38.80,37.90,38.10,0
Price_HG20_IOB,HG Copper,2/21/1966,37.75,39.30,37.60,37.60,0
Price_HG20_IOB,HG Copper,2/23/1966,36.00,36.15,35.60,35.80,0
Price_HG20_IOB,HG Copper,2/24/1966,35.75,35.75,35.45,35.45,0
Price_HG20_IOB,HG Copper,2/25/1966,35.00,35.50,34.60,34.85,0
Price_HG20_IOB,HG Copper,2/28/1966,35.25,36.40,35.25,36.15,0
Price_HG20_IOB,HG Copper,3/1/1966,35.75,37.90,35.75,37.90,0
Price_HG20_IOB,HG Copper,3/2/1966,38.90,39.00,38.65,38.65,0
Price_HG20_IOB,HG Copper,3/3/1966,37.00,40.50,37.00,39.65,0
Price_HG20_IOB,HG Copper,3/4/1966,39.25,41.00,39.25,41.00,0
Price_HG20_IOB,HG Copper,3/7/1966,40.75,42.00,40.75,41.95,0
Price_HG20_IOB,HG Copper,3/8/1966,41.55,41.55,41.25,41.40,0
Price_HG20_IOB,HG Copper,3/9/1966,41.25,41.75,40.95,41.60,0
Price_HG20_IOB,HG Copper,3/10/1966,41.75,43.35,41.75,43.25,0
Price_HG20_IOB,HG Copper,3/11/1966,44.25,44.50,44.05,44.05,0
Price_HG20_IOB,HG Copper,3/14/1966,44.55,44.95,44.15,44.25,0
Price_HG20_IOB,HG Copper,3/15/1966,44.50,45.00,44.50,44.50,0
Price_HG20_IOB,HG Copper,3/16/1966,44.25,44.60,43.45,43.45,0
Price_HG20_IOB,HG Copper,3/17/1966,43.10,43.10,41.70,42.05,0
Price_HG20_IOB,HG Copper,3/18/1966,42.15,42.15,40.85,41.30,0
Price_HG20_IOB,HG Copper,3/21/1966,41.25,41.30,39.30,39.30,0
Price_HG20_IOB,HG Copper,3/22/1966,37.30,37.30,37.30,37.30,0
Price_HG20_IOB,HG Copper,3/23/1966,36.00,39.30,35.80,39.30,0
Price_HG20_IOB,HG Copper,3/24/1966,38.30,41.30,38.30,41.30,0
Price_HG20_IOB,HG Copper,3/25/1966,42.55,43.30,42.45,43.00,0
Price_HG20_IOB,HG Copper,3/28/1966,45.00,45.00,44.45,45.00,0
Price_HG20_IOB,HG Copper,3/29/1966,44.50,46.50,44.50,45.10,0
Price_HG20_IOB,HG Copper,3/30/1966,45.75,46.00,44.75,44.75,0
Price_HG20_IOB,HG Copper,3/31/1966,44.50,46.75,44.50,46.40,0
