"Symbol","Description","Date","Open","High","Low","Close","TotalVolume"
Price_HO20_IOB,Heating Oil,11/15/1978,1.4052,1.4057,1.4052,1.4057,2
Price_HO20_IOB,Heating Oil,11/16/1978,1.4057,1.4057,1.4057,1.4057,2
Price_HO20_IOB,Heating Oil,11/17/1978,1.4047,1.4102,1.4047,1.4102,0
Price_HO20_IOB,Heating Oil,11/20/1978,1.4017,1.4102,1.4017,1.4102,2
Price_HO20_IOB,Heating Oil,11/21/1978,1.4007,1.4102,1.4007,1.4102,0
Price_HO20_IOB,Heating Oil,11/22/1978,1.4117,1.4117,1.4102,1.4102,0
Price_HO20_IOB,Heating Oil,11/24/1978,1.4132,1.4132,1.4132,1.4132,0
Price_HO20_IOB,Heating Oil,11/27/1978,1.4077,1.4107,1.4077,1.4107,1
Price_HO20_IOB,Heating Oil,11/28/1978,1.4107,1.4107,1.4107,1.4107,0
Price_HO20_IOB,Heating Oil,11/29/1978,1.4057,1.4057,1.4057,1.4057,0
Price_HO20_IOB,Heating Oil,11/30/1978,1.3997,1.3997,1.3997,1.3997,0
Price_HO20_IOB,Heating Oil,12/1/1978,1.4097,1.4097,1.3997,1.3997,0
Price_HO20_IOB,Heating Oil,12/4/1978,1.3907,1.3937,1.3907,1.3937,2
Price_HO20_IOB,Heating Oil,12/5/1978,1.3967,1.3967,1.3937,1.3937,1
Price_HO20_IOB,Heating Oil,12/6/1978,1.3957,1.3957,1.3957,1.3957,12
Price_HO20_IOB,Heating Oil,12/7/1978,1.3957,1.3957,1.3957,1.3957,0
Price_HO20_IOB,Heating Oil,12/8/1978,1.3952,1.3952,1.3912,1.3952,0
Price_HO20_IOB,Heating Oil,12/11/1978,1.3937,1.3937,1.3927,1.3937,4
Price_HO20_IOB,Heating Oil,12/12/1978,1.3927,1.3927,1.3927,1.3927,5
Price_HO20_IOB,Heating Oil,12/13/1978,1.3927,1.3927,1.3927,1.3927,8
Price_HO20_IOB,Heating Oil,12/14/1978,1.3927,1.3927,1.3927,1.3927,0
Price_HO20_IOB,Heating Oil,12/15/1978,1.3932,1.3937,1.3927,1.3937,10
Price_HO20_IOB,Heating Oil,12/18/1978,1.3956,1.3956,1.3947,1.3951,15
Price_HO20_IOB,Heating Oil,12/19/1978,1.3950,1.3950,1.3947,1.3947,1
Price_HO20_IOB,Heating Oil,12/20/1978,1.3947,1.3947,1.3947,1.3947,0
Price_HO20_IOB,Heating Oil,12/21/1978,1.3987,1.3987,1.3987,1.3987,5
Price_HO20_IOB,Heating Oil,12/22/1978,1.3987,1.3987,1.3987,1.3987,0
Price_HO20_IOB,Heating Oil,12/26/1978,1.3997,1.3997,1.3987,1.3987,0
Price_HO20_IOB,Heating Oil,12/27/1978,1.3987,1.3987,1.3987,1.3987,4
Price_HO20_IOB,Heating Oil,12/28/1978,1.3987,1.3997,1.3987,1.3997,10
Price_HO20_IOB,Heating Oil,12/29/1978,1.3987,1.3997,1.3987,1.3997,0
Price_HO20_IOB,Heating Oil,1/2/1979,1.3997,1.3997,1.3997,1.3997,5
Price_HO20_IOB,Heating Oil,1/3/1979,1.3987,1.3987,1.3987,1.3987,0
Price_HO20_IOB,Heating Oil,1/4/1979,1.3937,1.4037,1.3937,1.4037,30
Price_HO20_IOB,Heating Oil,1/5/1979,1.4037,1.4037,1.4037,1.4037,9
Price_HO20_IOB,Heating Oil,1/8/1979,1.4012,1.4112,1.4012,1.4027,5
Price_HO20_IOB,Heating Oil,1/9/1979,1.4002,1.4002,1.4002,1.4002,0
Price_HO20_IOB,Heating Oil,1/10/1979,1.4037,1.4052,1.4037,1.4052,6
Price_HO20_IOB,Heating Oil,1/11/1979,1.4062,1.4062,1.4062,1.4062,26
Price_HO20_IOB,Heating Oil,1/12/1979,1.4137,1.4137,1.4062,1.4062,9
Price_HO20_IOB,Heating Oil,1/15/1979,1.4137,1.4137,1.4062,1.4062,7
Price_HO20_IOB,Heating Oil,1/16/1979,1.4137,1.4137,1.4062,1.4062,7
Price_HO20_IOB,Heating Oil,1/17/1979,1.4137,1.4137,1.4062,1.4062,8
Price_HO20_IOB,Heating Oil,1/18/1979,1.4062,1.4062,1.4062,1.4062,29
Price_HO20_IOB,Heating Oil,1/19/1979,1.4137,1.4137,1.4062,1.4062,15
Price_HO20_IOB,Heating Oil,1/22/1979,1.4074,1.4074,1.4062,1.4062,37
Price_HO20_IOB,Heating Oil,1/23/1979,1.4062,1.4062,1.4062,1.4062,0
Price_HO20_IOB,Heating Oil,1/24/1979,1.4137,1.4137,1.4062,1.4062,35
Price_HO20_IOB,Heating Oil,1/25/1979,1.4112,1.4112,1.4087,1.4087,38
Price_HO20_IOB,Heating Oil,1/26/1979,1.4187,1.4187,1.4137,1.4187,37
Price_HO20_IOB,Heating Oil,1/29/1979,1.4287,1.4287,1.4287,1.4287,13
Price_HO20_IOB,Heating Oil,1/30/1979,1.4437,1.4437,1.4437,1.4437,16
Price_HO20_IOB,Heating Oil,1/31/1979,1.4612,1.4617,1.4587,1.4587,27
Price_HO20_IOB,Heating Oil,2/1/1979,1.4637,1.4687,1.4637,1.4687,2
Price_HO20_IOB,Heating Oil,2/2/1979,1.4707,1.4707,1.4707,1.4707,2
Price_HO20_IOB,Heating Oil,2/5/1979,1.4707,1.4707,1.4707,1.4707,1
Price_HO20_IOB,Heating Oil,2/6/1979,1.4807,1.4807,1.4807,1.4807,3
Price_HO20_IOB,Heating Oil,2/7/1979,1.4822,1.4857,1.4822,1.4857,1
Price_HO20_IOB,Heating Oil,2/8/1979,1.4787,1.4787,1.4787,1.4787,1
Price_HO20_IOB,Heating Oil,2/9/1979,1.4707,1.4707,1.4707,1.4707,42
Price_HO20_IOB,Heating Oil,2/12/1979,1.4712,1.4787,1.4712,1.4787,13
Price_HO20_IOB,Heating Oil,2/13/1979,1.4812,1.4887,1.4737,1.4887,8
