"Symbol","Description","Date","Open","High","Low","Close","TotalVolume"
Price_KC20_IOB,Coffee,8/16/1972,175.65,175.65,175.65,175.65,1
Price_KC20_IOB,Coffee,8/17/1972,175.65,175.65,175.65,175.65,0
Price_KC20_IOB,Coffee,8/18/1972,175.65,175.65,175.65,175.65,0
Price_KC20_IOB,Coffee,8/21/1972,175.65,175.65,175.65,175.65,0
Price_KC20_IOB,Coffee,8/22/1972,175.65,175.65,175.65,175.65,0
Price_KC20_IOB,Coffee,8/23/1972,175.65,175.65,175.65,175.65,0
Price_KC20_IOB,Coffee,8/24/1972,174.50,174.50,173.65,174.70,7
Price_KC20_IOB,Coffee,8/25/1972,174.50,174.50,174.50,174.50,9
Price_KC20_IOB,Coffee,8/28/1972,174.30,174.30,174.30,174.30,3
Price_KC20_IOB,Coffee,8/29/1972,174.55,174.55,174.55,174.30,9
Price_KC20_IOB,Coffee,8/30/1972,175.40,175.40,175.40,175.40,4
Price_KC20_IOB,Coffee,8/31/1972,175.86,175.86,175.86,175.86,11
Price_KC20_IOB,Coffee,9/1/1972,176.66,176.66,176.66,176.66,1
Price_KC20_IOB,Coffee,9/5/1972,177.80,178.40,177.80,178.10,29
Price_KC20_IOB,Coffee,9/6/1972,177.90,177.90,177.90,177.90,11
Price_KC20_IOB,Coffee,9/7/1972,177.40,177.40,177.40,177.40,16
Price_KC20_IOB,Coffee,9/8/1972,177.15,177.15,177.15,177.20,18
Price_KC20_IOB,Coffee,9/11/1972,176.65,176.65,176.65,176.65,20
Price_KC20_IOB,Coffee,9/12/1972,176.65,176.75,176.65,176.75,17
Price_KC20_IOB,Coffee,9/13/1972,176.60,176.60,176.60,176.60,19
Price_KC20_IOB,Coffee,9/14/1972,177.40,177.40,177.40,176.70,19
Price_KC20_IOB,Coffee,9/15/1972,177.55,177.55,177.55,177.55,6
Price_KC20_IOB,Coffee,9/18/1972,177.45,177.45,177.45,177.45,3
Price_KC20_IOB,Coffee,9/19/1972,177.45,177.65,176.90,176.90,54
Price_KC20_IOB,Coffee,9/20/1972,177.15,177.15,177.15,177.15,14
Price_KC20_IOB,Coffee,9/21/1972,177.15,177.15,177.15,177.15,17
Price_KC20_IOB,Coffee,9/22/1972,177.45,177.75,177.45,177.75,22
Price_KC20_IOB,Coffee,9/25/1972,177.90,177.90,177.90,177.90,0
Price_KC20_IOB,Coffee,9/26/1972,177.60,177.60,177.60,177.60,5
Price_KC20_IOB,Coffee,9/27/1972,177.60,177.60,177.60,177.60,13
Price_KC20_IOB,Coffee,9/28/1972,177.45,177.45,177.45,177.45,19
Price_KC20_IOB,Coffee,9/29/1972,177.85,177.85,177.85,177.85,8
Price_KC20_IOB,Coffee,10/2/1972,177.75,177.75,177.75,177.75,4
Price_KC20_IOB,Coffee,10/3/1972,177.65,177.65,177.65,177.65,16
Price_KC20_IOB,Coffee,10/4/1972,177.90,177.90,177.90,177.90,6
Price_KC20_IOB,Coffee,10/5/1972,178.10,178.10,177.90,177.90,20
Price_KC20_IOB,Coffee,10/6/1972,178.00,178.10,178.00,178.00,6
Price_KC20_IOB,Coffee,10/10/1972,178.20,178.20,178.20,178.20,1
Price_KC20_IOB,Coffee,10/11/1972,178.15,178.25,178.15,178.15,34
Price_KC20_IOB,Coffee,10/12/1972,178.05,178.05,178.05,178.05,1
Price_KC20_IOB,Coffee,10/13/1972,178.05,178.10,177.90,177.90,22
Price_KC20_IOB,Coffee,10/16/1972,178.10,178.10,178.10,178.00,10
Price_KC20_IOB,Coffee,10/17/1972,178.00,178.00,177.90,177.75,5
Price_KC20_IOB,Coffee,10/18/1972,177.40,177.40,177.40,177.40,4
Price_KC20_IOB,Coffee,10/19/1972,177.60,177.60,177.60,177.60,0
Price_KC20_IOB,Coffee,10/20/1972,177.60,177.60,177.50,177.50,2
Price_KC20_IOB,Coffee,10/24/1972,177.60,177.60,177.60,177.60,0
Price_KC20_IOB,Coffee,10/25/1972,177.50,177.50,177.50,177.50,0
Price_KC20_IOB,Coffee,10/26/1972,177.65,177.65,177.65,177.65,12
Price_KC20_IOB,Coffee,10/27/1972,177.40,177.40,177.40,177.55,14
Price_KC20_IOB,Coffee,10/30/1972,177.55,177.55,176.65,177.55,2
Price_KC20_IOB,Coffee,10/31/1972,176.40,176.40,176.40,176.40,0
Price_KC20_IOB,Coffee,11/1/1972,176.40,176.40,176.40,176.40,0
Price_KC20_IOB,Coffee,11/2/1972,176.40,176.40,176.40,176.40,0
Price_KC20_IOB,Coffee,11/3/1972,177.05,177.05,177.05,176.40,11
Price_KC20_IOB,Coffee,11/6/1972,176.40,177.15,176.40,177.15,0
Price_KC20_IOB,Coffee,11/8/1972,176.40,176.40,176.40,176.40,4
Price_KC20_IOB,Coffee,11/9/1972,177.10,177.10,177.10,177.10,0
Price_KC20_IOB,Coffee,11/10/1972,177.10,177.10,177.05,177.05,3
Price_KC20_IOB,Coffee,11/13/1972,177.15,177.15,177.15,177.05,16
Price_KC20_IOB,Coffee,11/14/1972,177.15,177.15,177.15,176.65,10
Price_KC20_IOB,Coffee,11/15/1972,177.15,177.30,177.15,177.25,20
Price_KC20_IOB,Coffee,11/16/1972,177.15,177.15,177.15,177.15,30
Price_KC20_IOB,Coffee,11/17/1972,177.35,177.75,177.25,177.70,103
Price_KC20_IOB,Coffee,11/20/1972,178.20,178.70,178.15,178.55,127
Price_KC20_IOB,Coffee,11/21/1972,179.00,179.19,178.90,179.19,145
Price_KC20_IOB,Coffee,11/22/1972,178.90,178.90,178.60,178.80,126
Price_KC20_IOB,Coffee,11/24/1972,179.10,179.64,179.05,179.60,151
Price_KC20_IOB,Coffee,11/27/1972,180.60,180.60,179.90,179.90,161
Price_KC20_IOB,Coffee,11/28/1972,180.20,180.80,180.10,180.70,206
Price_KC20_IOB,Coffee,11/29/1972,181.30,182.40,181.30,182.40,568
Price_KC20_IOB,Coffee,11/30/1972,182.50,182.60,181.80,182.15,292
Price_KC20_IOB,Coffee,12/1/1972,182.45,182.55,182.05,182.15,380
Price_KC20_IOB,Coffee,12/4/1972,182.40,182.62,182.20,182.30,103
Price_KC20_IOB,Coffee,12/5/1972,182.50,182.50,182.50,182.50,0
Price_KC20_IOB,Coffee,12/6/1972,182.65,182.65,182.18,182.35,98
Price_KC20_IOB,Coffee,12/7/1972,182.35,182.35,180.35,182.00,235
Price_KC20_IOB,Coffee,12/8/1972,181.85,182.00,181.51,181.90,147
Price_KC20_IOB,Coffee,12/11/1972,181.60,181.60,181.05,181.15,77
Price_KC20_IOB,Coffee,12/12/1972,181.85,181.95,181.40,181.90,353
Price_KC20_IOB,Coffee,12/13/1972,181.90,182.44,181.90,182.39,0
Price_KC20_IOB,Coffee,12/14/1972,182.50,182.95,182.25,182.90,291
Price_KC20_IOB,Coffee,12/15/1972,182.45,182.76,182.20,182.75,458
Price_KC20_IOB,Coffee,12/18/1972,183.90,183.95,183.25,183.50,215
Price_KC20_IOB,Coffee,12/19/1972,183.70,183.90,183.50,183.60,499
Price_KC20_IOB,Coffee,12/20/1972,183.40,183.70,183.10,183.65,340
Price_KC20_IOB,Coffee,12/21/1972,183.50,184.25,183.45,184.25,407
Price_KC20_IOB,Coffee,12/26/1972,184.55,184.85,184.45,184.75,534
Price_KC20_IOB,Coffee,12/27/1972,184.85,185.30,184.85,185.15,399
Price_KC20_IOB,Coffee,12/29/1972,185.20,185.20,184.50,184.50,236
Price_KC20_IOB,Coffee,1/2/1973,185.05,185.10,184.90,184.95,182
Price_KC20_IOB,Coffee,1/3/1973,185.30,185.40,185.05,185.10,364
Price_KC20_IOB,Coffee,1/4/1973,185.10,185.30,185.10,185.29,364
Price_KC20_IOB,Coffee,1/5/1973,185.50,187.20,185.40,187.20,967
Price_KC20_IOB,Coffee,1/8/1973,187.70,189.10,187.70,187.85,1240
Price_KC20_IOB,Coffee,1/9/1973,188.65,189.85,188.65,189.80,1261
Price_KC20_IOB,Coffee,1/10/1973,190.70,191.72,190.70,191.71,0
Price_KC20_IOB,Coffee,1/11/1973,192.70,193.35,189.71,189.71,1538
Price_KC20_IOB,Coffee,1/12/1973,187.71,187.71,187.71,187.71,424
Price_KC20_IOB,Coffee,1/15/1973,185.71,187.55,185.71,185.71,2157
Price_KC20_IOB,Coffee,1/16/1973,186.00,187.14,185.10,186.72,1449
Price_KC20_IOB,Coffee,1/17/1973,188.40,188.93,188.19,188.93,0
Price_KC20_IOB,Coffee,1/18/1973,189.60,190.20,188.40,189.55,1688
Price_KC20_IOB,Coffee,1/19/1973,189.40,189.95,189.15,189.60,1021
Price_KC20_IOB,Coffee,1/22/1973,189.40,190.25,189.00,189.10,595
Price_KC20_IOB,Coffee,1/23/1973,188.90,189.10,188.57,189.10,418
Price_KC20_IOB,Coffee,1/24/1973,188.65,189.40,188.11,189.15,580
Price_KC20_IOB,Coffee,1/26/1973,189.60,189.65,189.25,189.55,613
Price_KC20_IOB,Coffee,1/29/1973,189.90,191.40,189.90,191.10,1325
Price_KC20_IOB,Coffee,1/30/1973,191.65,191.80,190.60,190.65,0
Price_KC20_IOB,Coffee,1/31/1973,190.40,190.40,189.20,189.40,1558
Price_KC20_IOB,Coffee,2/1/1973,190.60,191.10,190.05,190.60,736
Price_KC20_IOB,Coffee,2/2/1973,191.10,191.75,189.15,191.65,811
Price_KC20_IOB,Coffee,2/5/1973,192.00,192.65,191.75,192.65,956
Price_KC20_IOB,Coffee,2/6/1973,192.40,194.31,192.40,193.90,1539
