"Symbol","Description","Date","Open","High","Low","Close","TotalVolume"
Price_LB_0_IOB,Lumber,10/1/1969,815.0,815.0,810.7,812.0,146
Price_LB_0_IOB,Lumber,10/2/1969,812.0,812.0,812.0,812.0,73
Price_LB_0_IOB,Lumber,10/3/1969,811.0,811.0,811.0,811.0,1
Price_LB_0_IOB,Lumber,10/6/1969,811.0,811.0,811.0,811.0,3
Price_LB_0_IOB,Lumber,10/7/1969,810.5,811.0,810.5,811.0,36
Price_LB_0_IOB,Lumber,10/8/1969,811.0,811.0,811.0,811.0,9
Price_LB_0_IOB,Lumber,10/9/1969,810.7,811.0,810.7,811.0,8
Price_LB_0_IOB,Lumber,10/10/1969,811.7,812.5,811.7,812.5,7
Price_LB_0_IOB,Lumber,10/13/1969,813.0,814.5,813.0,814.5,9
Price_LB_0_IOB,Lumber,10/14/1969,814.5,814.5,814.5,814.5,4
Price_LB_0_IOB,Lumber,10/15/1969,815.5,815.5,815.5,815.5,4
Price_LB_0_IOB,Lumber,10/16/1969,815.5,815.5,815.5,815.5,3
Price_LB_0_IOB,Lumber,10/17/1969,816.0,816.0,816.0,816.0,10
Price_LB_0_IOB,Lumber,10/20/1969,818.0,818.0,818.0,818.0,1
Price_LB_0_IOB,Lumber,10/21/1969,818.0,818.0,818.0,818.0,16
Price_LB_0_IOB,Lumber,10/22/1969,818.0,818.5,818.0,818.0,13
Price_LB_0_IOB,Lumber,10/23/1969,818.7,819.5,818.7,819.5,13
Price_LB_0_IOB,Lumber,10/24/1969,820.0,820.5,820.0,820.5,6
Price_LB_0_IOB,Lumber,10/27/1969,822.0,828.0,822.0,828.0,22
Price_LB_0_IOB,Lumber,10/28/1969,825.0,825.0,821.0,821.0,13
Price_LB_0_IOB,Lumber,10/29/1969,822.0,822.0,822.0,822.0,7
Price_LB_0_IOB,Lumber,10/30/1969,822.0,822.0,822.0,822.0,0
Price_LB_0_IOB,Lumber,10/31/1969,822.0,822.0,822.0,822.0,2
Price_LB_0_IOB,Lumber,11/3/1969,823.0,823.0,823.0,823.0,6
Price_LB_0_IOB,Lumber,11/4/1969,823.5,823.5,823.5,823.5,10
Price_LB_0_IOB,Lumber,11/5/1969,824.0,824.0,822.5,823.5,14
Price_LB_0_IOB,Lumber,11/6/1969,823.5,825.0,823.5,825.0,10
Price_LB_0_IOB,Lumber,11/7/1969,825.0,825.0,825.0,825.0,13
Price_LB_0_IOB,Lumber,11/10/1969,825.0,825.0,824.5,824.5,16
Price_LB_0_IOB,Lumber,11/11/1969,824.5,824.5,824.5,824.5,17
Price_LB_0_IOB,Lumber,11/12/1969,824.5,824.5,823.5,824.0,16
Price_LB_0_IOB,Lumber,11/13/1969,823.5,823.5,823.0,823.0,23
Price_LB_0_IOB,Lumber,11/14/1969,821.5,821.5,821.0,821.0,10
Price_LB_0_IOB,Lumber,11/17/1969,821.0,821.0,821.0,821.0,1
Price_LB_0_IOB,Lumber,11/18/1969,819.5,819.5,819.5,819.5,11
