"Symbol","Description","Date","Open","High","Low","Close","TotalVolume"
Price_LC_0_IOB,Live Cattle,11/30/1964,25.125,25.125,24.625,24.800,191
Price_LC_0_IOB,Live Cattle,12/1/1964,24.825,24.825,24.475,24.625,97
Price_LC_0_IOB,Live Cattle,12/2/1964,24.675,24.675,24.525,24.550,22
Price_LC_0_IOB,Live Cattle,12/3/1964,24.575,24.625,24.425,24.575,52
Price_LC_0_IOB,Live Cattle,12/4/1964,24.550,24.575,24.525,24.525,34
Price_LC_0_IOB,Live Cattle,12/7/1964,24.525,24.525,24.425,24.450,34
Price_LC_0_IOB,Live Cattle,12/8/1964,24.375,24.375,24.175,24.200,68
Price_LC_0_IOB,Live Cattle,12/9/1964,24.200,24.200,24.100,24.125,57
Price_LC_0_IOB,Live Cattle,12/10/1964,24.075,24.100,23.950,24.075,76
Price_LC_0_IOB,Live Cattle,12/11/1964,24.125,24.300,24.075,24.125,68
Price_LC_0_IOB,Live Cattle,12/14/1964,24.150,24.300,24.125,24.300,46
Price_LC_0_IOB,Live Cattle,12/15/1964,24.200,24.325,24.125,24.275,67
Price_LC_0_IOB,Live Cattle,12/16/1964,24.275,24.275,24.075,24.125,68
Price_LC_0_IOB,Live Cattle,12/17/1964,24.075,24.250,24.075,24.125,32
Price_LC_0_IOB,Live Cattle,12/18/1964,24.125,24.250,24.125,24.225,64
Price_LC_0_IOB,Live Cattle,12/21/1964,24.325,24.600,24.300,24.475,157
Price_LC_0_IOB,Live Cattle,12/22/1964,24.425,24.525,24.325,24.475,78
Price_LC_0_IOB,Live Cattle,12/23/1964,24.525,24.625,24.525,24.575,56
Price_LC_0_IOB,Live Cattle,12/24/1964,24.575,24.675,24.575,24.675,39
Price_LC_0_IOB,Live Cattle,12/28/1964,24.600,24.625,24.475,24.625,82
Price_LC_0_IOB,Live Cattle,12/29/1964,24.625,24.625,24.450,24.450,87
Price_LC_0_IOB,Live Cattle,12/30/1964,24.500,24.525,24.425,24.450,43
Price_LC_0_IOB,Live Cattle,12/31/1964,24.475,24.575,24.475,24.575,59
Price_LC_0_IOB,Live Cattle,1/4/1965,24.575,24.625,24.575,24.575,61
Price_LC_0_IOB,Live Cattle,1/5/1965,24.625,24.625,24.575,24.575,55
Price_LC_0_IOB,Live Cattle,1/6/1965,24.525,24.600,24.525,24.575,49
Price_LC_0_IOB,Live Cattle,1/7/1965,24.575,24.575,24.525,24.525,47
Price_LC_0_IOB,Live Cattle,1/8/1965,24.575,24.575,24.575,24.575,18
Price_LC_0_IOB,Live Cattle,1/11/1965,24.575,24.575,24.575,24.575,28
Price_LC_0_IOB,Live Cattle,1/12/1965,24.575,24.625,24.550,24.625,66
Price_LC_0_IOB,Live Cattle,1/13/1965,24.675,24.675,24.625,24.625,51
Price_LC_0_IOB,Live Cattle,1/14/1965,24.625,24.625,24.625,24.625,30
Price_LC_0_IOB,Live Cattle,1/15/1965,24.625,24.625,24.575,24.625,104
Price_LC_0_IOB,Live Cattle,1/18/1965,24.625,24.725,24.625,24.725,75
Price_LC_0_IOB,Live Cattle,1/19/1965,24.775,24.775,24.675,24.675,45
Price_LC_0_IOB,Live Cattle,1/20/1965,24.625,24.625,24.575,24.625,64
