"Symbol","Description","Date","Open","High","Low","Close","TotalVolume"
Price_LH_0_IOB,Lean Hogs,2/28/1966,21.376,21.376,20.024,20.193,160
Price_LH_0_IOB,Lean Hogs,3/1/1966,20.362,20.700,20.362,20.632,72
Price_LH_0_IOB,Lean Hogs,3/2/1966,20.700,20.970,20.700,20.700,58
Price_LH_0_IOB,Lean Hogs,3/3/1966,20.295,20.362,19.078,19.349,117
Price_LH_0_IOB,Lean Hogs,3/4/1966,19.416,19.619,18.876,19.484,45
Price_LH_0_IOB,Lean Hogs,3/7/1966,19.686,20.024,19.214,19.281,39
Price_LH_0_IOB,Lean Hogs,3/8/1966,19.214,19.214,18.673,18.741,65
Price_LH_0_IOB,Lean Hogs,3/9/1966,18.673,18.673,17.254,17.626,174
Price_LH_0_IOB,Lean Hogs,3/10/1966,17.322,17.997,17.186,17.964,110
Price_LH_0_IOB,Lean Hogs,3/11/1966,17.795,18.403,17.795,18.403,71
Price_LH_0_IOB,Lean Hogs,3/14/1966,19.011,19.416,19.011,19.011,85
Price_LH_0_IOB,Lean Hogs,3/15/1966,19.011,19.349,18.741,18.808,78
Price_LH_0_IOB,Lean Hogs,3/16/1966,18.808,18.808,18.605,18.707,37
Price_LH_0_IOB,Lean Hogs,3/17/1966,18.808,18.876,17.997,17.997,56
Price_LH_0_IOB,Lean Hogs,3/18/1966,18.132,18.538,17.727,18.200,72
Price_LH_0_IOB,Lean Hogs,3/21/1966,18.065,18.605,18.065,18.538,32
Price_LH_0_IOB,Lean Hogs,3/22/1966,18.335,18.673,17.997,18.335,39
Price_LH_0_IOB,Lean Hogs,3/23/1966,18.538,19.011,18.403,18.909,123
Price_LH_0_IOB,Lean Hogs,3/24/1966,19.011,19.011,18.403,18.436,41
Price_LH_0_IOB,Lean Hogs,3/25/1966,18.403,18.403,18.268,18.268,33
Price_LH_0_IOB,Lean Hogs,3/28/1966,18.132,18.673,18.132,18.673,29
Price_LH_0_IOB,Lean Hogs,3/29/1966,18.335,18.403,18.200,18.335,35
Price_LH_0_IOB,Lean Hogs,3/30/1966,18.200,18.673,18.031,18.673,65
