"Symbol","Description","Date","Open","High","Low","Close","TotalVolume"
Price_MP_0_IOB,Mexican Peso,4/25/1995,0.0376,0.0381,0.0301,0.0319,832
Price_MP_0_IOB,Mexican Peso,4/26/1995,0.0321,0.0343,0.0321,0.0340,866
Price_MP_0_IOB,Mexican Peso,4/27/1995,0.0338,0.0348,0.0251,0.0301,918
Price_MP_0_IOB,Mexican Peso,4/28/1995,0.0311,0.0321,0.0281,0.0308,557
Price_MP_0_IOB,Mexican Peso,5/1/1995,0.0326,0.0326,0.0319,0.0321,53
Price_MP_0_IOB,Mexican Peso,5/2/1995,0.0316,0.0340,0.0309,0.0338,551
Price_MP_0_IOB,Mexican Peso,5/3/1995,0.0339,0.0363,0.0336,0.0349,656
Price_MP_0_IOB,Mexican Peso,5/4/1995,0.0351,0.0353,0.0338,0.0351,286
Price_MP_0_IOB,Mexican Peso,5/5/1995,0.0352,0.0355,0.0352,0.0354,86
Price_MP_0_IOB,Mexican Peso,5/8/1995,0.0356,0.0361,0.0351,0.0360,350
Price_MP_0_IOB,Mexican Peso,5/9/1995,0.0360,0.0375,0.0350,0.0356,589
Price_MP_0_IOB,Mexican Peso,5/10/1995,0.0361,0.0371,0.0331,0.0354,734
Price_MP_0_IOB,Mexican Peso,5/11/1995,0.0361,0.0373,0.0353,0.0367,339
Price_MP_0_IOB,Mexican Peso,5/12/1995,0.0368,0.0368,0.0357,0.0359,445
Price_MP_0_IOB,Mexican Peso,5/15/1995,0.0361,0.0361,0.0353,0.0361,455
Price_MP_0_IOB,Mexican Peso,5/16/1995,0.0364,0.0366,0.0360,0.0363,357
Price_MP_0_IOB,Mexican Peso,5/17/1995,0.0363,0.0374,0.0362,0.0371,306
Price_MP_0_IOB,Mexican Peso,5/18/1995,0.0377,0.0391,0.0373,0.0391,450
Price_MP_0_IOB,Mexican Peso,5/19/1995,0.0389,0.0396,0.0386,0.0387,538
Price_MP_0_IOB,Mexican Peso,5/22/1995,0.0387,0.0395,0.0387,0.0395,656
Price_MP_0_IOB,Mexican Peso,5/23/1995,0.0393,0.0394,0.0377,0.0379,687
Price_MP_0_IOB,Mexican Peso,5/24/1995,0.0371,0.0371,0.0341,0.0369,759
Price_MP_0_IOB,Mexican Peso,5/25/1995,0.0358,0.0370,0.0343,0.0360,700
Price_MP_0_IOB,Mexican Peso,5/26/1995,0.0353,0.0353,0.0348,0.0350,217
Price_MP_0_IOB,Mexican Peso,5/30/1995,0.0343,0.0343,0.0303,0.0315,661
Price_MP_0_IOB,Mexican Peso,5/31/1995,0.0318,0.0341,0.0318,0.0328,469
Price_MP_0_IOB,Mexican Peso,6/1/1995,0.0318,0.0335,0.0318,0.0335,315
Price_MP_0_IOB,Mexican Peso,6/2/1995,0.0338,0.0341,0.0330,0.0333,282
Price_MP_0_IOB,Mexican Peso,6/5/1995,0.0323,0.0355,0.0318,0.0351,707
Price_MP_0_IOB,Mexican Peso,6/6/1995,0.0346,0.0363,0.0346,0.0354,578
Price_MP_0_IOB,Mexican Peso,6/7/1995,0.0349,0.0353,0.0330,0.0337,448
Price_MP_0_IOB,Mexican Peso,6/8/1995,0.0338,0.0340,0.0328,0.0333,474
Price_MP_0_IOB,Mexican Peso,6/9/1995,0.0333,0.0334,0.0318,0.0318,743
Price_MP_0_IOB,Mexican Peso,6/12/1995,0.0328,0.0340,0.0326,0.0338,283
Price_MP_0_IOB,Mexican Peso,6/13/1995,0.0356,0.0358,0.0351,0.0355,715
Price_MP_0_IOB,Mexican Peso,6/14/1995,0.0350,0.0357,0.0348,0.0356,533
Price_MP_0_IOB,Mexican Peso,6/15/1995,0.0362,0.0376,0.0362,0.0373,1148
Price_MP_0_IOB,Mexican Peso,6/16/1995,0.0374,0.0378,0.0371,0.0372,436
Price_MP_0_IOB,Mexican Peso,6/19/1995,0.0363,0.0376,0.0363,0.0374,135
Price_MP_0_IOB,Mexican Peso,6/20/1995,0.0369,0.0370,0.0363,0.0364,742
Price_MP_0_IOB,Mexican Peso,6/21/1995,0.0356,0.0358,0.0349,0.0358,571
Price_MP_0_IOB,Mexican Peso,6/22/1995,0.0358,0.0374,0.0358,0.0374,473
Price_MP_0_IOB,Mexican Peso,6/23/1995,0.0368,0.0373,0.0365,0.0372,264
Price_MP_0_IOB,Mexican Peso,6/26/1995,0.0373,0.0375,0.0371,0.0375,222
Price_MP_0_IOB,Mexican Peso,6/27/1995,0.0377,0.0383,0.0373,0.0381,418
Price_MP_0_IOB,Mexican Peso,6/28/1995,0.0380,0.0382,0.0370,0.0382,646
Price_MP_0_IOB,Mexican Peso,6/29/1995,0.0381,0.0393,0.0378,0.0391,306
Price_MP_0_IOB,Mexican Peso,6/30/1995,0.0393,0.0396,0.0390,0.0392,353
Price_MP_0_IOB,Mexican Peso,7/3/1995,0.0393,0.0393,0.0393,0.0393,96
Price_MP_0_IOB,Mexican Peso,7/5/1995,0.0393,0.0393,0.0390,0.0390,64
Price_MP_0_IOB,Mexican Peso,7/6/1995,0.0393,0.0403,0.0393,0.0397,508
Price_MP_0_IOB,Mexican Peso,7/7/1995,0.0406,0.0428,0.0406,0.0422,700
Price_MP_0_IOB,Mexican Peso,7/10/1995,0.0422,0.0433,0.0418,0.0433,772
Price_MP_0_IOB,Mexican Peso,7/11/1995,0.0432,0.0432,0.0421,0.0428,923
Price_MP_0_IOB,Mexican Peso,7/12/1995,0.0432,0.0443,0.0427,0.0443,708
Price_MP_0_IOB,Mexican Peso,7/13/1995,0.0448,0.0460,0.0448,0.0454,838
Price_MP_0_IOB,Mexican Peso,7/14/1995,0.0461,0.0465,0.0454,0.0464,927
Price_MP_0_IOB,Mexican Peso,7/17/1995,0.0470,0.0471,0.0466,0.0468,656
Price_MP_0_IOB,Mexican Peso,7/18/1995,0.0456,0.0456,0.0454,0.0456,374
Price_MP_0_IOB,Mexican Peso,7/19/1995,0.0451,0.0451,0.0441,0.0448,1012
Price_MP_0_IOB,Mexican Peso,7/20/1995,0.0434,0.0436,0.0406,0.0431,964
Price_MP_0_IOB,Mexican Peso,7/21/1995,0.0441,0.0448,0.0439,0.0446,853
Price_MP_0_IOB,Mexican Peso,7/24/1995,0.0448,0.0448,0.0437,0.0437,999
Price_MP_0_IOB,Mexican Peso,7/25/1995,0.0441,0.0451,0.0434,0.0448,635
Price_MP_0_IOB,Mexican Peso,7/26/1995,0.0451,0.0456,0.0447,0.0448,384
Price_MP_0_IOB,Mexican Peso,7/27/1995,0.0452,0.0457,0.0452,0.0454,325
Price_MP_0_IOB,Mexican Peso,7/28/1995,0.0451,0.0456,0.0449,0.0455,270
Price_MP_0_IOB,Mexican Peso,7/31/1995,0.0451,0.0458,0.0451,0.0458,138
Price_MP_0_IOB,Mexican Peso,8/1/1995,0.0457,0.0459,0.0452,0.0454,597
Price_MP_0_IOB,Mexican Peso,8/2/1995,0.0460,0.0465,0.0460,0.0464,827
Price_MP_0_IOB,Mexican Peso,8/3/1995,0.0466,0.0469,0.0466,0.0468,730
Price_MP_0_IOB,Mexican Peso,8/4/1995,0.0462,0.0467,0.0456,0.0466,332
Price_MP_0_IOB,Mexican Peso,8/7/1995,0.0474,0.0474,0.0465,0.0465,339
Price_MP_0_IOB,Mexican Peso,8/8/1995,0.0464,0.0469,0.0464,0.0469,347
Price_MP_0_IOB,Mexican Peso,8/9/1995,0.0468,0.0472,0.0468,0.0470,306
Price_MP_0_IOB,Mexican Peso,8/10/1995,0.0471,0.0472,0.0470,0.0471,251
Price_MP_0_IOB,Mexican Peso,8/11/1995,0.0470,0.0472,0.0468,0.0468,391
Price_MP_0_IOB,Mexican Peso,8/14/1995,0.0471,0.0471,0.0468,0.0469,176
Price_MP_0_IOB,Mexican Peso,8/15/1995,0.0470,0.0472,0.0468,0.0470,640
Price_MP_0_IOB,Mexican Peso,8/16/1995,0.0466,0.0468,0.0463,0.0468,575
Price_MP_0_IOB,Mexican Peso,8/17/1995,0.0468,0.0468,0.0464,0.0464,934
Price_MP_0_IOB,Mexican Peso,8/18/1995,0.0456,0.0460,0.0454,0.0458,1259
Price_MP_0_IOB,Mexican Peso,8/21/1995,0.0458,0.0467,0.0458,0.0467,598
Price_MP_0_IOB,Mexican Peso,8/22/1995,0.0468,0.0470,0.0455,0.0455,624
Price_MP_0_IOB,Mexican Peso,8/23/1995,0.0446,0.0452,0.0436,0.0442,1044
Price_MP_0_IOB,Mexican Peso,8/24/1995,0.0436,0.0461,0.0427,0.0442,2073
Price_MP_0_IOB,Mexican Peso,8/25/1995,0.0451,0.0458,0.0446,0.0447,601
Price_MP_0_IOB,Mexican Peso,8/28/1995,0.0447,0.0450,0.0446,0.0448,217
Price_MP_0_IOB,Mexican Peso,8/29/1995,0.0451,0.0454,0.0445,0.0451,377
Price_MP_0_IOB,Mexican Peso,8/30/1995,0.0448,0.0464,0.0448,0.0458,924
Price_MP_0_IOB,Mexican Peso,8/31/1995,0.0459,0.0470,0.0456,0.0469,711
Price_MP_0_IOB,Mexican Peso,9/1/1995,0.0476,0.0476,0.0464,0.0464,103
Price_MP_0_IOB,Mexican Peso,9/5/1995,0.0476,0.0482,0.0476,0.0480,858
Price_MP_0_IOB,Mexican Peso,9/6/1995,0.0478,0.0479,0.0473,0.0479,1077
Price_MP_0_IOB,Mexican Peso,9/7/1995,0.0479,0.0484,0.0475,0.0481,1419
Price_MP_0_IOB,Mexican Peso,9/8/1995,0.0483,0.0486,0.0469,0.0476,1121
Price_MP_0_IOB,Mexican Peso,9/11/1995,0.0474,0.0476,0.0474,0.0475,2013
Price_MP_0_IOB,Mexican Peso,9/12/1995,0.0474,0.0481,0.0474,0.0480,1267
Price_MP_0_IOB,Mexican Peso,9/13/1995,0.0478,0.0478,0.0477,0.0477,939
Price_MP_0_IOB,Mexican Peso,9/14/1995,0.0478,0.0483,0.0478,0.0481,899
Price_MP_0_IOB,Mexican Peso,9/15/1995,0.0478,0.0479,0.0478,0.0480,684
Price_MP_0_IOB,Mexican Peso,9/18/1995,0.0479,0.0480,0.0479,0.0480,274
Price_MP_0_IOB,Mexican Peso,9/19/1995,0.0482,0.0482,0.0479,0.0481,800
Price_MP_0_IOB,Mexican Peso,9/20/1995,0.0476,0.0478,0.0476,0.0477,831
Price_MP_0_IOB,Mexican Peso,9/21/1995,0.0478,0.0479,0.0476,0.0476,482
Price_MP_0_IOB,Mexican Peso,9/22/1995,0.0472,0.0472,0.0468,0.0469,794
Price_MP_0_IOB,Mexican Peso,9/25/1995,0.0465,0.0465,0.0463,0.0463,486
Price_MP_0_IOB,Mexican Peso,9/26/1995,0.0463,0.0467,0.0458,0.0463,687
Price_MP_0_IOB,Mexican Peso,9/27/1995,0.0454,0.0454,0.0439,0.0439,964
Price_MP_0_IOB,Mexican Peso,9/28/1995,0.0434,0.0449,0.0424,0.0449,871
Price_MP_0_IOB,Mexican Peso,9/29/1995,0.0449,0.0449,0.0449,0.0449,719
Price_MP_0_IOB,Mexican Peso,10/2/1995,0.0444,0.0444,0.0428,0.0428,312
Price_MP_0_IOB,Mexican Peso,10/3/1995,0.0391,0.0391,0.0391,0.0391,1067
Price_MP_0_IOB,Mexican Peso,10/4/1995,0.0390,0.0390,0.0383,0.0383,598
