"Symbol","Description","Date","Open","High","Low","Close","TotalVolume"
Price_ND_0_IOB,Nasdaq,4/10/1996,1353.3500,1355.5500,1340.8500,1344.6000,2282
Price_ND_0_IOB,Nasdaq,4/11/1996,1344.3500,1348.8500,1330.8500,1340.6000,1627
Price_ND_0_IOB,Nasdaq,4/12/1996,1342.8500,1344.8500,1338.8500,1341.6000,686
Price_ND_0_IOB,Nasdaq,4/15/1996,1342.8500,1348.6000,1341.8500,1347.1000,744
Price_ND_0_IOB,Nasdaq,4/16/1996,1352.8500,1361.8500,1352.8500,1361.8500,1166
Price_ND_0_IOB,Nasdaq,4/17/1996,1359.8500,1363.7500,1354.3500,1357.3500,707
Price_ND_0_IOB,Nasdaq,4/18/1996,1359.8500,1368.8500,1359.8500,1367.9500,605
Price_ND_0_IOB,Nasdaq,4/19/1996,1375.6000,1376.3500,1367.8500,1368.8500,529
Price_ND_0_IOB,Nasdaq,4/22/1996,1376.8500,1379.6000,1376.3500,1379.3500,461
Price_ND_0_IOB,Nasdaq,4/23/1996,1381.3500,1389.1500,1378.1000,1388.6500,1092
Price_ND_0_IOB,Nasdaq,4/24/1996,1395.8500,1397.7500,1392.2500,1396.6000,873
Price_ND_0_IOB,Nasdaq,4/25/1996,1398.3500,1401.6000,1393.0500,1401.3500,1138
Price_ND_0_IOB,Nasdaq,4/26/1996,1404.3500,1404.8500,1399.5500,1401.6500,545
Price_ND_0_IOB,Nasdaq,4/29/1996,1396.3500,1402.3500,1396.3500,1401.1000,329
Price_ND_0_IOB,Nasdaq,4/30/1996,1400.8500,1401.8500,1397.3500,1399.8500,322
Price_ND_0_IOB,Nasdaq,5/1/1996,1399.1000,1408.3500,1398.6000,1407.2000,552
Price_ND_0_IOB,Nasdaq,5/2/1996,1404.1000,1407.6000,1391.3500,1392.4500,1496
Price_ND_0_IOB,Nasdaq,5/3/1996,1391.1000,1403.3500,1389.1000,1395.3500,1727
Price_ND_0_IOB,Nasdaq,5/6/1996,1398.2000,1398.8500,1389.8500,1397.3500,972
Price_ND_0_IOB,Nasdaq,5/7/1996,1398.3500,1400.1000,1392.8500,1393.8500,851
Price_ND_0_IOB,Nasdaq,5/8/1996,1391.7500,1398.6000,1380.3500,1398.3500,2055
Price_ND_0_IOB,Nasdaq,5/9/1996,1398.8500,1403.3500,1394.1000,1397.3500,577
Price_ND_0_IOB,Nasdaq,5/10/1996,1403.8500,1407.6000,1400.8500,1407.3500,725
Price_ND_0_IOB,Nasdaq,5/13/1996,1406.3500,1423.1000,1406.3500,1422.6000,1319
Price_ND_0_IOB,Nasdaq,5/14/1996,1425.8500,1431.3500,1424.1000,1429.8500,1154
Price_ND_0_IOB,Nasdaq,5/15/1996,1428.6000,1435.8500,1424.8500,1425.0500,1958
Price_ND_0_IOB,Nasdaq,5/16/1996,1420.8500,1429.8500,1417.8500,1428.8500,930
Price_ND_0_IOB,Nasdaq,5/17/1996,1432.8500,1432.8500,1425.3500,1425.8500,2615
Price_ND_0_IOB,Nasdaq,5/20/1996,1430.3500,1431.3500,1424.1000,1427.1000,1011
Price_ND_0_IOB,Nasdaq,5/21/1996,1427.8500,1428.7500,1420.8500,1421.4500,549
Price_ND_0_IOB,Nasdaq,5/22/1996,1420.6500,1424.8500,1418.1000,1421.1000,814
Price_ND_0_IOB,Nasdaq,5/23/1996,1421.8500,1427.3500,1420.1000,1423.8500,774
Price_ND_0_IOB,Nasdaq,5/24/1996,1426.8500,1427.8500,1421.1000,1422.9500,481
Price_ND_0_IOB,Nasdaq,5/28/1996,1424.1000,1425.1000,1416.1000,1418.8500,519
Price_ND_0_IOB,Nasdaq,5/29/1996,1418.8500,1420.1000,1407.9000,1409.8500,1455
Price_ND_0_IOB,Nasdaq,5/30/1996,1407.9500,1417.4500,1407.8500,1416.3500,705
Price_ND_0_IOB,Nasdaq,5/31/1996,1421.7000,1421.7000,1421.7000,1421.7000,1962
Price_ND_0_IOB,Nasdaq,6/3/1996,1419.9500,1423.2000,1419.4500,1421.7000,995
