"Symbol","Description","Date","Open","High","Low","Close","TotalVolume"
Price_NE_0_IOB,New Zealand Dollar,5/7/1997,0.3402,0.3413,0.3399,0.3409,9
Price_NE_0_IOB,New Zealand Dollar,5/8/1997,0.3407,0.3423,0.3407,0.3407,6
Price_NE_0_IOB,New Zealand Dollar,5/9/1997,0.3430,0.3447,0.3427,0.3432,7
Price_NE_0_IOB,New Zealand Dollar,5/12/1997,0.3509,0.3509,0.3509,0.3509,0
Price_NE_0_IOB,New Zealand Dollar,5/13/1997,0.3508,0.3508,0.3508,0.3508,0
Price_NE_0_IOB,New Zealand Dollar,5/14/1997,0.3522,0.3522,0.3522,0.3522,0
Price_NE_0_IOB,New Zealand Dollar,5/15/1997,0.3519,0.3532,0.3512,0.3532,2
Price_NE_0_IOB,New Zealand Dollar,5/16/1997,0.3507,0.3507,0.3507,0.3507,10
Price_NE_0_IOB,New Zealand Dollar,5/19/1997,0.3487,0.3487,0.3487,0.3487,6
Price_NE_0_IOB,New Zealand Dollar,5/20/1997,0.3487,0.3487,0.3487,0.3487,0
Price_NE_0_IOB,New Zealand Dollar,5/21/1997,0.3512,0.3512,0.3512,0.3512,11
Price_NE_0_IOB,New Zealand Dollar,5/22/1997,0.3512,0.3512,0.3512,0.3512,0
Price_NE_0_IOB,New Zealand Dollar,5/23/1997,0.3462,0.3462,0.3462,0.3462,64
Price_NE_0_IOB,New Zealand Dollar,5/27/1997,0.3462,0.3462,0.3462,0.3462,2
Price_NE_0_IOB,New Zealand Dollar,5/28/1997,0.3457,0.3457,0.3457,0.3457,20
Price_NE_0_IOB,New Zealand Dollar,5/29/1997,0.3457,0.3457,0.3457,0.3457,0
Price_NE_0_IOB,New Zealand Dollar,5/30/1997,0.3457,0.3457,0.3457,0.3457,0
Price_NE_0_IOB,New Zealand Dollar,6/2/1997,0.3457,0.3457,0.3457,0.3457,0
Price_NE_0_IOB,New Zealand Dollar,6/3/1997,0.3462,0.3462,0.3462,0.3462,0
Price_NE_0_IOB,New Zealand Dollar,6/4/1997,0.3457,0.3457,0.3450,0.3457,11
Price_NE_0_IOB,New Zealand Dollar,6/5/1997,0.3439,0.3439,0.3439,0.3439,0
Price_NE_0_IOB,New Zealand Dollar,6/6/1997,0.3449,0.3455,0.3449,0.3449,24
Price_NE_0_IOB,New Zealand Dollar,6/9/1997,0.3462,0.3462,0.3462,0.3462,6
Price_NE_0_IOB,New Zealand Dollar,6/10/1997,0.3477,0.3477,0.3477,0.3477,10
Price_NE_0_IOB,New Zealand Dollar,6/11/1997,0.3487,0.3487,0.3487,0.3487,7
Price_NE_0_IOB,New Zealand Dollar,6/12/1997,0.3487,0.3487,0.3487,0.3487,144
Price_NE_0_IOB,New Zealand Dollar,6/13/1997,0.3487,0.3487,0.3487,0.3487,1
Price_NE_0_IOB,New Zealand Dollar,6/16/1997,0.3487,0.3487,0.3487,0.3487,0
Price_NE_0_IOB,New Zealand Dollar,6/17/1997,0.3470,0.3470,0.3470,0.3470,13
Price_NE_0_IOB,New Zealand Dollar,6/18/1997,0.3470,0.3470,0.3470,0.3470,41
Price_NE_0_IOB,New Zealand Dollar,6/19/1997,0.3440,0.3440,0.3440,0.3440,32
Price_NE_0_IOB,New Zealand Dollar,6/20/1997,0.3427,0.3427,0.3427,0.3427,61
Price_NE_0_IOB,New Zealand Dollar,6/23/1997,0.3397,0.3403,0.3397,0.3403,47
Price_NE_0_IOB,New Zealand Dollar,6/24/1997,0.3403,0.3403,0.3403,0.3403,1
Price_NE_0_IOB,New Zealand Dollar,6/25/1997,0.3403,0.3403,0.3403,0.3403,0
Price_NE_0_IOB,New Zealand Dollar,6/26/1997,0.3437,0.3437,0.3437,0.3437,0
Price_NE_0_IOB,New Zealand Dollar,6/27/1997,0.3357,0.3357,0.3357,0.3357,48
Price_NE_0_IOB,New Zealand Dollar,6/30/1997,0.3387,0.3387,0.3387,0.3387,0
Price_NE_0_IOB,New Zealand Dollar,7/1/1997,0.3377,0.3377,0.3377,0.3377,0
Price_NE_0_IOB,New Zealand Dollar,7/2/1997,0.3367,0.3367,0.3367,0.3367,0
Price_NE_0_IOB,New Zealand Dollar,7/3/1997,0.3357,0.3357,0.3357,0.3357,0
Price_NE_0_IOB,New Zealand Dollar,7/7/1997,0.3357,0.3357,0.3357,0.3357,0
Price_NE_0_IOB,New Zealand Dollar,7/8/1997,0.3342,0.3342,0.3342,0.3342,0
Price_NE_0_IOB,New Zealand Dollar,7/9/1997,0.3322,0.3322,0.3322,0.3322,0
Price_NE_0_IOB,New Zealand Dollar,7/10/1997,0.3295,0.3295,0.3287,0.3295,4
Price_NE_0_IOB,New Zealand Dollar,7/11/1997,0.3295,0.3295,0.3295,0.3295,0
Price_NE_0_IOB,New Zealand Dollar,7/14/1997,0.3222,0.3222,0.3222,0.3222,0
Price_NE_0_IOB,New Zealand Dollar,7/15/1997,0.3207,0.3207,0.3207,0.3207,1
Price_NE_0_IOB,New Zealand Dollar,7/16/1997,0.3177,0.3177,0.3177,0.3177,0
Price_NE_0_IOB,New Zealand Dollar,7/17/1997,0.3107,0.3107,0.3107,0.3107,0
Price_NE_0_IOB,New Zealand Dollar,7/18/1997,0.3107,0.3107,0.3107,0.3107,4
Price_NE_0_IOB,New Zealand Dollar,7/21/1997,0.3097,0.3097,0.3097,0.3097,0
Price_NE_0_IOB,New Zealand Dollar,7/22/1997,0.3097,0.3097,0.3097,0.3097,0
Price_NE_0_IOB,New Zealand Dollar,7/23/1997,0.3042,0.3042,0.3042,0.3042,40
Price_NE_0_IOB,New Zealand Dollar,7/24/1997,0.3102,0.3102,0.3102,0.3102,96
Price_NE_0_IOB,New Zealand Dollar,7/25/1997,0.3102,0.3102,0.3102,0.3102,44
Price_NE_0_IOB,New Zealand Dollar,7/28/1997,0.2987,0.2987,0.2987,0.2987,0
Price_NE_0_IOB,New Zealand Dollar,7/29/1997,0.3042,0.3042,0.3042,0.3042,0
Price_NE_0_IOB,New Zealand Dollar,7/30/1997,0.3070,0.3070,0.3070,0.3070,215
Price_NE_0_IOB,New Zealand Dollar,7/31/1997,0.3057,0.3057,0.3057,0.3057,3
Price_NE_0_IOB,New Zealand Dollar,8/1/1997,0.2987,0.2987,0.2987,0.2987,0
Price_NE_0_IOB,New Zealand Dollar,8/4/1997,0.2997,0.2997,0.2997,0.2997,0
Price_NE_0_IOB,New Zealand Dollar,8/5/1997,0.3015,0.3015,0.3015,0.3015,16
Price_NE_0_IOB,New Zealand Dollar,8/6/1997,0.2977,0.2977,0.2977,0.2977,15
Price_NE_0_IOB,New Zealand Dollar,8/7/1997,0.2947,0.2947,0.2947,0.2947,213
Price_NE_0_IOB,New Zealand Dollar,8/8/1997,0.2952,0.2952,0.2952,0.2952,0
Price_NE_0_IOB,New Zealand Dollar,8/11/1997,0.2987,0.2997,0.2987,0.2987,2
Price_NE_0_IOB,New Zealand Dollar,8/12/1997,0.2962,0.2962,0.2962,0.2962,0
Price_NE_0_IOB,New Zealand Dollar,8/13/1997,0.2962,0.2962,0.2962,0.2962,0
Price_NE_0_IOB,New Zealand Dollar,8/14/1997,0.2987,0.2987,0.2987,0.2987,0
Price_NE_0_IOB,New Zealand Dollar,8/15/1997,0.2987,0.2987,0.2987,0.2987,0
