"Symbol","Description","Date","Open","High","Low","Close","TotalVolume"
Price_NK_0_IOB,Nikkei 225 Index,9/25/1990,27542.000000,28060.000000,27480.000000,28055.000000,538
Price_NK_0_IOB,Nikkei 225 Index,9/26/1990,27155.000000,27155.000000,27155.000000,27155.000000,269
Price_NK_0_IOB,Nikkei 225 Index,9/27/1990,26580.000000,26780.000000,26255.000000,26255.000000,461
Price_NK_0_IOB,Nikkei 225 Index,9/28/1990,25355.000000,25680.000000,25355.000000,25660.000000,732
Price_NK_0_IOB,Nikkei 225 Index,10/1/1990,25355.000000,26130.000000,25230.000000,26125.000000,1384
Price_NK_0_IOB,Nikkei 225 Index,10/2/1990,27025.000000,27025.000000,27025.000000,27025.000000,395
Price_NK_0_IOB,Nikkei 225 Index,10/3/1990,27030.000000,27030.000000,26430.000000,26490.000000,732
Price_NK_0_IOB,Nikkei 225 Index,10/4/1990,26730.000000,27110.000000,26680.000000,27015.000000,534
Price_NK_0_IOB,Nikkei 225 Index,10/5/1990,27770.000000,27770.000000,27000.000000,27705.000000,1428
Price_NK_0_IOB,Nikkei 225 Index,10/8/1990,28605.000000,28605.000000,28420.000000,28485.000000,1058
Price_NK_0_IOB,Nikkei 225 Index,10/9/1990,28137.000000,28170.000000,27585.000000,27605.000000,1080
Price_NK_0_IOB,Nikkei 225 Index,10/10/1990,27467.000000,27805.000000,27255.000000,27380.000000,928
Price_NK_0_IOB,Nikkei 225 Index,10/11/1990,27080.000000,27530.000000,26480.000000,26480.000000,1680
Price_NK_0_IOB,Nikkei 225 Index,10/12/1990,27080.000000,27380.000000,27080.000000,27380.000000,391
Price_NK_0_IOB,Nikkei 225 Index,10/15/1990,27905.000000,28280.000000,27880.000000,28255.000000,658
Price_NK_0_IOB,Nikkei 225 Index,10/16/1990,28530.000000,28630.000000,28105.000000,28105.000000,278
Price_NK_0_IOB,Nikkei 225 Index,10/17/1990,28317.000000,28530.000000,28155.000000,28510.000000,515
Price_NK_0_IOB,Nikkei 225 Index,10/18/1990,28842.000000,29145.000000,28805.000000,29030.000000,953
Price_NK_0_IOB,Nikkei 225 Index,10/19/1990,29020.000000,29285.000000,28905.000000,29240.000000,714
Price_NK_0_IOB,Nikkei 225 Index,10/22/1990,29775.000000,30140.000000,29655.000000,30080.000000,770
Price_NK_0_IOB,Nikkei 225 Index,10/23/1990,29680.000000,29730.000000,29305.000000,29380.000000,492
Price_NK_0_IOB,Nikkei 225 Index,10/24/1990,29505.000000,29605.000000,29480.000000,29560.000000,516
Price_NK_0_IOB,Nikkei 225 Index,10/25/1990,30055.000000,30130.000000,29780.000000,29780.000000,728
Price_NK_0_IOB,Nikkei 225 Index,10/26/1990,29517.000000,29530.000000,29255.000000,29280.000000,474
Price_NK_0_IOB,Nikkei 225 Index,10/29/1990,29730.000000,29960.000000,29575.000000,29725.000000,372
Price_NK_0_IOB,Nikkei 225 Index,10/30/1990,29600.000000,29630.000000,29330.000000,29580.000000,756
Price_NK_0_IOB,Nikkei 225 Index,10/31/1990,29427.000000,29730.000000,29405.000000,29630.000000,730
Price_NK_0_IOB,Nikkei 225 Index,11/1/1990,28730.000000,28730.000000,28730.000000,28730.000000,232
Price_NK_0_IOB,Nikkei 225 Index,11/2/1990,28845.000000,29155.000000,28830.000000,29105.000000,607
Price_NK_0_IOB,Nikkei 225 Index,11/5/1990,29080.000000,29280.000000,29080.000000,29255.000000,219
Price_NK_0_IOB,Nikkei 225 Index,11/6/1990,28355.000000,28430.000000,28355.000000,28355.000000,962
Price_NK_0_IOB,Nikkei 225 Index,11/7/1990,28155.000000,28230.000000,27580.000000,27630.000000,760
Price_NK_0_IOB,Nikkei 225 Index,11/8/1990,27112.000000,27330.000000,27105.000000,27170.000000,875
Price_NK_0_IOB,Nikkei 225 Index,11/9/1990,27410.000000,27710.000000,27380.000000,27680.000000,611
Price_NK_0_IOB,Nikkei 225 Index,11/12/1990,27980.000000,28205.000000,27880.000000,28205.000000,622
Price_NK_0_IOB,Nikkei 225 Index,11/13/1990,28630.000000,28655.000000,28385.000000,28385.000000,998
Price_NK_0_IOB,Nikkei 225 Index,11/14/1990,28295.000000,28680.000000,28280.000000,28605.000000,414
Price_NK_0_IOB,Nikkei 225 Index,11/15/1990,27857.000000,27890.000000,27755.000000,27795.000000,535
Price_NK_0_IOB,Nikkei 225 Index,11/16/1990,27730.000000,28080.000000,27730.000000,27980.000000,626
Price_NK_0_IOB,Nikkei 225 Index,11/19/1990,28355.000000,28390.000000,28160.000000,28275.000000,720
Price_NK_0_IOB,Nikkei 225 Index,11/20/1990,27745.000000,27770.000000,27530.000000,27545.000000,631
Price_NK_0_IOB,Nikkei 225 Index,11/21/1990,27430.000000,27480.000000,27355.000000,27480.000000,697
Price_NK_0_IOB,Nikkei 225 Index,11/23/1990,28180.000000,28305.000000,28080.000000,28130.000000,624
Price_NK_0_IOB,Nikkei 225 Index,11/26/1990,28025.000000,28025.000000,28025.000000,28025.000000,784
Price_NK_0_IOB,Nikkei 225 Index,11/27/1990,28245.000000,28245.000000,28245.000000,28245.000000,477
