"Symbol","Description","Date","Open","High","Low","Close","TotalVolume"
Price_O2_0_IOB,Oats,1/2/1947,394.375000,394.750000,394.125000,394.375000,1326
Price_O2_0_IOB,Oats,1/3/1947,394.500000,394.625000,393.625000,394.250000,1135
Price_O2_0_IOB,Oats,1/6/1947,395.125000,395.500000,394.750000,395.375000,1149
Price_O2_0_IOB,Oats,1/7/1947,395.375000,395.625000,394.250000,394.250000,1573
Price_O2_0_IOB,Oats,1/8/1947,394.000000,395.125000,394.000000,394.750000,1236
Price_O2_0_IOB,Oats,1/9/1947,394.875000,395.625000,394.875000,395.000000,1370
Price_O2_0_IOB,Oats,1/10/1947,394.875000,395.125000,394.125000,394.250000,1400
Price_O2_0_IOB,Oats,1/13/1947,395.500000,396.125000,395.125000,395.750000,1606
Price_O2_0_IOB,Oats,1/14/1947,395.875000,397.000000,395.750000,396.750000,2060
Price_O2_0_IOB,Oats,1/15/1947,396.875000,397.000000,396.125000,396.500000,1322
Price_O2_0_IOB,Oats,1/16/1947,396.125000,396.250000,395.250000,395.875000,1931
Price_O2_0_IOB,Oats,1/17/1947,395.750000,396.250000,393.875000,394.000000,5721
Price_O2_0_IOB,Oats,1/20/1947,393.750000,394.750000,393.625000,394.625000,1700
Price_O2_0_IOB,Oats,1/21/1947,394.500000,394.625000,393.500000,393.750000,1686
Price_O2_0_IOB,Oats,1/22/1947,393.500000,394.625000,393.250000,394.500000,1368
Price_O2_0_IOB,Oats,1/23/1947,394.625000,394.750000,393.750000,394.125000,1087
Price_O2_0_IOB,Oats,1/24/1947,394.250000,394.625000,394.125000,394.375000,940
Price_O2_0_IOB,Oats,1/27/1947,393.375000,394.000000,392.875000,393.875000,1428
Price_O2_0_IOB,Oats,1/28/1947,393.875000,395.125000,393.875000,394.875000,1930
Price_O2_0_IOB,Oats,1/29/1947,394.750000,395.250000,394.375000,395.250000,1083
Price_O2_0_IOB,Oats,1/30/1947,395.375000,395.500000,395.000000,395.125000,894
Price_O2_0_IOB,Oats,1/31/1947,395.000000,395.500000,395.000000,395.375000,929
Price_O2_0_IOB,Oats,2/3/1947,395.000000,395.125000,394.625000,394.875000,754
Price_O2_0_IOB,Oats,2/4/1947,395.000000,395.750000,395.000000,395.625000,1025
Price_O2_0_IOB,Oats,2/5/1947,395.625000,396.000000,395.250000,395.625000,1021
Price_O2_0_IOB,Oats,2/6/1947,395.625000,396.875000,395.500000,396.750000,1594
Price_O2_0_IOB,Oats,2/7/1947,397.250000,398.000000,397.000000,397.750000,2055
Price_O2_0_IOB,Oats,2/10/1947,398.750000,399.250000,398.000000,398.500000,1921
Price_O2_0_IOB,Oats,2/11/1947,397.375000,398.625000,396.750000,398.000000,1884
Price_O2_0_IOB,Oats,2/13/1947,398.125000,398.625000,397.875000,397.875000,1012
Price_O2_0_IOB,Oats,2/14/1947,397.625000,399.250000,397.625000,399.000000,1738
Price_O2_0_IOB,Oats,2/17/1947,399.750000,401.375000,399.125000,400.500000,2336
Price_O2_0_IOB,Oats,2/18/1947,400.500000,400.750000,399.375000,399.750000,2191
Price_O2_0_IOB,Oats,2/19/1947,398.500000,398.875000,398.125000,398.625000,1483
Price_O2_0_IOB,Oats,2/20/1947,398.500000,399.500000,398.375000,398.375000,1768
Price_O2_0_IOB,Oats,2/21/1947,398.375000,398.750000,398.000000,398.250000,1198
Price_O2_0_IOB,Oats,2/24/1947,398.500000,401.125000,398.500000,401.000000,1924
Price_O2_0_IOB,Oats,2/25/1947,402.000000,402.750000,399.500000,400.125000,3324
Price_O2_0_IOB,Oats,2/26/1947,400.625000,401.250000,399.750000,401.125000,2356
Price_O2_0_IOB,Oats,2/27/1947,401.875000,402.625000,401.375000,401.125000,0
