"Symbol","Description","Date","Open","High","Low","Close","TotalVolume"
Price_OJ20_IOB,Orange Juice,10/26/1966,87.03,88.48,87.03,88.13,0
Price_OJ20_IOB,Orange Juice,10/27/1966,88.78,90.13,88.78,90.13,12
Price_OJ20_IOB,Orange Juice,10/28/1966,92.13,92.13,92.13,92.13,9
Price_OJ20_IOB,Orange Juice,10/31/1966,94.13,94.13,92.13,92.13,0
Price_OJ20_IOB,Orange Juice,11/1/1966,92.23,92.23,92.03,91.33,28
Price_OJ20_IOB,Orange Juice,11/2/1966,91.78,92.73,91.78,92.23,25
Price_OJ20_IOB,Orange Juice,11/3/1966,92.78,93.58,92.78,93.58,26
Price_OJ20_IOB,Orange Juice,11/4/1966,93.28,93.68,93.28,93.53,41
Price_OJ20_IOB,Orange Juice,11/7/1966,92.88,92.93,92.78,92.98,27
Price_OJ20_IOB,Orange Juice,11/9/1966,92.98,93.08,92.88,92.78,0
Price_OJ20_IOB,Orange Juice,11/10/1966,93.28,93.28,93.28,93.33,8
Price_OJ20_IOB,Orange Juice,11/14/1966,91.83,93.28,91.78,92.98,61
Price_OJ20_IOB,Orange Juice,11/15/1966,93.53,93.53,93.43,93.18,117
Price_OJ20_IOB,Orange Juice,11/16/1966,93.53,93.53,93.53,93.68,12
Price_OJ20_IOB,Orange Juice,11/17/1966,94.08,94.33,93.33,93.18,47
Price_OJ20_IOB,Orange Juice,11/18/1966,93.08,93.08,92.58,92.68,74
Price_OJ20_IOB,Orange Juice,11/21/1966,92.43,92.58,92.43,92.48,24
Price_OJ20_IOB,Orange Juice,11/22/1966,92.48,92.53,92.48,92.53,0
Price_OJ20_IOB,Orange Juice,11/23/1966,92.78,92.78,92.78,92.58,48
Price_OJ20_IOB,Orange Juice,11/25/1966,92.68,92.73,92.68,92.58,7
Price_OJ20_IOB,Orange Juice,11/28/1966,92.98,92.98,92.98,92.78,10
Price_OJ20_IOB,Orange Juice,11/29/1966,93.03,93.48,93.03,93.48,15
Price_OJ20_IOB,Orange Juice,11/30/1966,93.78,94.03,93.78,93.88,45
Price_OJ20_IOB,Orange Juice,12/1/1966,94.28,94.48,94.28,94.28,55
Price_OJ20_IOB,Orange Juice,12/2/1966,93.73,93.78,93.33,93.33,35
Price_OJ20_IOB,Orange Juice,12/5/1966,93.43,93.43,93.28,93.28,19
Price_OJ20_IOB,Orange Juice,12/6/1966,93.33,93.33,93.33,93.23,5
Price_OJ20_IOB,Orange Juice,12/7/1966,93.28,93.38,93.28,93.18,22
Price_OJ20_IOB,Orange Juice,12/8/1966,92.83,92.98,92.83,92.93,28
Price_OJ20_IOB,Orange Juice,12/9/1966,92.83,93.08,92.83,93.03,27
Price_OJ20_IOB,Orange Juice,12/12/1966,92.83,92.83,92.83,92.83,1
Price_OJ20_IOB,Orange Juice,12/13/1966,92.88,92.88,92.88,92.83,12
Price_OJ20_IOB,Orange Juice,12/14/1966,92.93,93.08,92.93,93.08,4
Price_OJ20_IOB,Orange Juice,12/15/1966,92.93,93.23,92.93,93.28,16
Price_OJ20_IOB,Orange Juice,12/16/1966,92.93,93.28,92.93,93.03,22
Price_OJ20_IOB,Orange Juice,12/19/1966,92.93,92.93,92.93,92.93,2
Price_OJ20_IOB,Orange Juice,12/20/1966,92.98,92.98,92.98,92.98,14
Price_OJ20_IOB,Orange Juice,12/21/1966,92.88,93.18,92.88,92.98,17
Price_OJ20_IOB,Orange Juice,12/22/1966,93.03,93.03,93.03,93.03,2
Price_OJ20_IOB,Orange Juice,12/23/1966,93.18,93.23,93.18,93.23,17
Price_OJ20_IOB,Orange Juice,12/27/1966,92.93,93.38,92.93,92.93,8
Price_OJ20_IOB,Orange Juice,12/28/1966,93.13,93.13,93.13,93.03,4
Price_OJ20_IOB,Orange Juice,12/29/1966,92.88,92.88,92.88,92.88,21
Price_OJ20_IOB,Orange Juice,12/30/1966,92.78,92.78,92.78,92.53,9
Price_OJ20_IOB,Orange Juice,1/3/1967,92.63,92.63,91.98,91.68,48
Price_OJ20_IOB,Orange Juice,1/4/1967,91.18,91.38,91.18,91.33,37
Price_OJ20_IOB,Orange Juice,1/5/1967,91.33,91.53,91.03,91.03,44
Price_OJ20_IOB,Orange Juice,1/6/1967,90.63,90.63,90.03,90.73,39
Price_OJ20_IOB,Orange Juice,1/9/1967,90.43,90.43,90.43,90.28,5
Price_OJ20_IOB,Orange Juice,1/10/1967,90.08,90.08,89.78,89.78,30
Price_OJ20_IOB,Orange Juice,1/11/1967,90.08,90.38,90.08,90.28,37
Price_OJ20_IOB,Orange Juice,1/12/1967,90.43,90.43,90.43,90.38,0
Price_OJ20_IOB,Orange Juice,1/13/1967,90.38,91.53,90.28,91.43,28
Price_OJ20_IOB,Orange Juice,1/16/1967,91.88,92.03,91.88,91.88,47
Price_OJ20_IOB,Orange Juice,1/17/1967,92.08,92.23,92.08,91.88,31
Price_OJ20_IOB,Orange Juice,1/18/1967,92.43,92.63,92.43,92.43,51
Price_OJ20_IOB,Orange Juice,1/19/1967,92.38,92.43,91.73,91.68,79
Price_OJ20_IOB,Orange Juice,1/20/1967,91.28,91.38,91.18,91.38,31
Price_OJ20_IOB,Orange Juice,1/23/1967,91.18,91.18,91.18,91.18,1
Price_OJ20_IOB,Orange Juice,1/24/1967,90.78,90.78,90.78,90.78,1
Price_OJ20_IOB,Orange Juice,1/25/1967,90.78,90.78,90.78,90.88,15
Price_OJ20_IOB,Orange Juice,1/26/1967,90.98,91.28,90.98,91.03,4
Price_OJ20_IOB,Orange Juice,1/27/1967,91.53,92.03,91.53,91.38,7
Price_OJ20_IOB,Orange Juice,1/30/1967,91.78,91.78,91.18,91.03,7
Price_OJ20_IOB,Orange Juice,1/31/1967,90.98,90.98,90.98,91.08,6
Price_OJ20_IOB,Orange Juice,2/1/1967,91.78,91.88,91.78,91.78,14
Price_OJ20_IOB,Orange Juice,2/2/1967,91.53,91.88,91.53,91.78,16
Price_OJ20_IOB,Orange Juice,2/3/1967,91.88,91.88,91.88,91.38,11
Price_OJ20_IOB,Orange Juice,2/6/1967,91.43,91.68,91.43,91.43,10
Price_OJ20_IOB,Orange Juice,2/7/1967,91.43,91.68,91.43,91.68,8
Price_OJ20_IOB,Orange Juice,2/8/1967,91.53,91.53,91.53,91.53,15
Price_OJ20_IOB,Orange Juice,2/9/1967,91.43,91.93,91.43,91.53,12
Price_OJ20_IOB,Orange Juice,2/10/1967,91.68,91.68,91.68,91.58,17
Price_OJ20_IOB,Orange Juice,2/13/1967,91.58,91.58,91.58,91.58,3
Price_OJ20_IOB,Orange Juice,2/14/1967,91.53,91.53,91.43,91.23,13
Price_OJ20_IOB,Orange Juice,2/15/1967,90.93,91.18,90.93,90.93,11
Price_OJ20_IOB,Orange Juice,2/16/1967,90.83,90.93,90.68,90.73,20
Price_OJ20_IOB,Orange Juice,2/17/1967,90.68,90.68,90.68,90.68,17
Price_OJ20_IOB,Orange Juice,2/20/1967,90.68,90.68,90.68,90.68,16
Price_OJ20_IOB,Orange Juice,2/21/1967,90.63,90.73,90.63,90.58,13
Price_OJ20_IOB,Orange Juice,2/23/1967,90.68,90.73,90.68,90.73,29
Price_OJ20_IOB,Orange Juice,2/24/1967,90.63,90.68,90.63,90.63,10
Price_OJ20_IOB,Orange Juice,2/27/1967,92.03,92.03,92.03,91.43,81
Price_OJ20_IOB,Orange Juice,2/28/1967,91.13,91.13,90.68,90.93,36
Price_OJ20_IOB,Orange Juice,3/1/1967,90.83,90.83,90.83,90.83,2
Price_OJ20_IOB,Orange Juice,3/2/1967,90.63,90.63,90.63,90.43,16
Price_OJ20_IOB,Orange Juice,3/3/1967,90.43,90.43,90.43,90.33,13
Price_OJ20_IOB,Orange Juice,3/6/1967,90.18,90.43,90.18,90.03,25
Price_OJ20_IOB,Orange Juice,3/7/1967,89.88,89.88,89.63,89.63,25
Price_OJ20_IOB,Orange Juice,3/8/1967,89.33,89.33,88.68,89.03,63
Price_OJ20_IOB,Orange Juice,3/9/1967,89.03,89.03,88.63,88.43,75
Price_OJ20_IOB,Orange Juice,3/10/1967,89.03,89.03,89.03,89.03,52
Price_OJ20_IOB,Orange Juice,3/13/1967,88.63,88.63,88.63,88.63,11
Price_OJ20_IOB,Orange Juice,3/14/1967,89.13,89.38,89.13,88.63,28
Price_OJ20_IOB,Orange Juice,3/15/1967,88.43,88.43,88.43,88.43,38
Price_OJ20_IOB,Orange Juice,3/16/1967,88.63,88.63,88.63,88.63,13
Price_OJ20_IOB,Orange Juice,3/17/1967,88.88,88.88,88.88,88.63,19
Price_OJ20_IOB,Orange Juice,3/20/1967,88.63,88.68,88.63,88.13,58
Price_OJ20_IOB,Orange Juice,3/21/1967,88.13,88.23,87.73,87.63,47
Price_OJ20_IOB,Orange Juice,3/22/1967,87.63,87.63,87.13,86.88,49
Price_OJ20_IOB,Orange Juice,3/23/1967,86.83,86.83,86.83,86.13,40
Price_OJ20_IOB,Orange Juice,3/27/1967,85.98,85.98,85.98,85.98,9
Price_OJ20_IOB,Orange Juice,3/28/1967,86.33,86.53,86.33,86.13,12
Price_OJ20_IOB,Orange Juice,3/29/1967,87.63,87.63,87.63,86.63,20
Price_OJ20_IOB,Orange Juice,3/30/1967,87.93,87.93,87.93,87.63,19
Price_OJ20_IOB,Orange Juice,3/31/1967,86.63,87.23,86.58,86.63,11
Price_OJ20_IOB,Orange Juice,4/3/1967,87.63,88.13,87.63,87.88,29
Price_OJ20_IOB,Orange Juice,4/4/1967,87.88,87.88,87.88,87.88,47
Price_OJ20_IOB,Orange Juice,4/5/1967,88.63,88.73,88.63,88.38,36
Price_OJ20_IOB,Orange Juice,4/6/1967,88.38,88.38,88.38,88.13,7
Price_OJ20_IOB,Orange Juice,4/7/1967,87.63,87.63,87.63,87.48,6
Price_OJ20_IOB,Orange Juice,4/10/1967,87.88,87.88,87.88,87.48,6
Price_OJ20_IOB,Orange Juice,4/11/1967,87.13,87.33,87.13,86.98,53
Price_OJ20_IOB,Orange Juice,4/12/1967,87.63,88.13,87.63,87.68,25
Price_OJ20_IOB,Orange Juice,4/13/1967,87.68,88.13,87.68,87.68,23
Price_OJ20_IOB,Orange Juice,4/14/1967,88.13,88.93,88.13,88.78,58
Price_OJ20_IOB,Orange Juice,4/17/1967,89.03,89.13,88.83,89.13,22
