"Symbol","Description","Date","Open","High","Low","Close","TotalVolume"
Price_PL20_IOB,Platinum,1/14/1964,644.9,645.0,644.9,645.0,6
Price_PL20_IOB,Platinum,1/15/1964,645.5,645.9,645.5,645.9,10
Price_PL20_IOB,Platinum,1/16/1964,646.2,646.2,646.1,646.1,13
Price_PL20_IOB,Platinum,1/17/1964,646.6,647.1,646.6,647.1,50
Price_PL20_IOB,Platinum,1/20/1964,648.7,649.7,648.7,649.7,17
Price_PL20_IOB,Platinum,1/21/1964,650.0,650.5,650.0,650.5,10
Price_PL20_IOB,Platinum,1/22/1964,651.0,651.0,651.0,651.0,26
Price_PL20_IOB,Platinum,1/23/1964,651.0,651.0,650.0,650.0,42
Price_PL20_IOB,Platinum,1/24/1964,651.2,651.2,650.0,650.0,53
Price_PL20_IOB,Platinum,1/27/1964,650.1,650.1,649.5,649.7,16
Price_PL20_IOB,Platinum,1/28/1964,650.2,650.2,649.7,649.7,18
Price_PL20_IOB,Platinum,1/29/1964,649.8,649.8,649.8,649.8,14
Price_PL20_IOB,Platinum,1/30/1964,649.5,649.5,649.5,649.5,4
Price_PL20_IOB,Platinum,1/31/1964,649.5,649.5,649.5,649.5,4
Price_PL20_IOB,Platinum,2/3/1964,649.7,649.8,649.7,649.8,3
Price_PL20_IOB,Platinum,2/4/1964,649.8,649.8,649.8,649.8,12
Price_PL20_IOB,Platinum,2/5/1964,649.6,650.0,649.6,650.0,10
Price_PL20_IOB,Platinum,2/6/1964,649.7,649.7,649.7,649.7,4
Price_PL20_IOB,Platinum,2/7/1964,649.3,649.3,649.3,649.3,4
Price_PL20_IOB,Platinum,2/10/1964,649.7,649.7,649.7,649.7,12
Price_PL20_IOB,Platinum,2/11/1964,649.0,649.0,649.0,649.0,2
Price_PL20_IOB,Platinum,2/12/1964,647.2,647.2,647.2,647.2,5
Price_PL20_IOB,Platinum,2/13/1964,649.7,649.7,649.7,649.7,1
Price_PL20_IOB,Platinum,2/14/1964,647.7,647.7,647.7,647.7,3
Price_PL20_IOB,Platinum,2/17/1964,648.2,648.2,648.2,648.2,2
Price_PL20_IOB,Platinum,2/18/1964,647.2,647.2,647.2,647.2,0
Price_PL20_IOB,Platinum,2/19/1964,647.2,647.2,647.2,647.2,0
Price_PL20_IOB,Platinum,2/20/1964,649.2,649.3,649.2,649.3,16
Price_PL20_IOB,Platinum,2/24/1964,645.7,645.7,645.7,645.7,0
Price_PL20_IOB,Platinum,2/25/1964,649.2,649.2,649.2,649.2,2
Price_PL20_IOB,Platinum,2/26/1964,645.2,645.2,645.2,645.2,9
Price_PL20_IOB,Platinum,2/27/1964,645.2,645.2,645.2,645.2,2
Price_PL20_IOB,Platinum,2/28/1964,646.2,646.2,646.2,646.2,1
Price_PL20_IOB,Platinum,3/2/1964,646.0,646.0,646.0,646.0,0
Price_PL20_IOB,Platinum,3/3/1964,646.0,646.0,646.0,646.0,1
Price_PL20_IOB,Platinum,3/4/1964,647.2,647.2,647.2,647.2,2
Price_PL20_IOB,Platinum,3/5/1964,647.7,647.7,647.7,647.7,8
Price_PL20_IOB,Platinum,3/6/1964,646.2,646.2,646.2,646.2,3
Price_PL20_IOB,Platinum,3/9/1964,645.8,645.8,645.8,645.8,0
Price_PL20_IOB,Platinum,3/10/1964,646.0,646.0,646.0,646.0,3
Price_PL20_IOB,Platinum,3/11/1964,647.2,647.2,647.2,647.2,13
Price_PL20_IOB,Platinum,3/12/1964,646.7,646.7,646.7,646.7,0
Price_PL20_IOB,Platinum,3/13/1964,647.2,647.2,647.2,647.2,2
Price_PL20_IOB,Platinum,3/16/1964,646.5,646.5,646.5,646.5,1
Price_PL20_IOB,Platinum,3/17/1964,647.5,647.5,647.5,647.5,0
Price_PL20_IOB,Platinum,3/18/1964,646.2,646.2,646.2,646.2,7
Price_PL20_IOB,Platinum,3/19/1964,648.2,648.2,648.2,648.2,0
Price_PL20_IOB,Platinum,3/20/1964,649.2,649.7,649.2,649.7,11
Price_PL20_IOB,Platinum,3/23/1964,648.5,648.5,648.5,648.5,7
Price_PL20_IOB,Platinum,3/24/1964,650.0,650.5,650.0,650.5,3
Price_PL20_IOB,Platinum,3/25/1964,650.7,651.7,650.7,651.7,9
Price_PL20_IOB,Platinum,3/26/1964,652.2,656.2,652.2,656.2,32
Price_PL20_IOB,Platinum,3/30/1964,656.2,658.2,656.2,657.7,28
Price_PL20_IOB,Platinum,3/31/1964,659.2,659.7,659.2,659.2,25
Price_PL20_IOB,Platinum,4/1/1964,660.2,660.7,660.2,660.7,27
Price_PL20_IOB,Platinum,4/2/1964,664.7,665.0,661.2,661.2,38
Price_PL20_IOB,Platinum,4/3/1964,663.2,665.2,663.2,664.7,20
Price_PL20_IOB,Platinum,4/6/1964,665.7,666.2,665.7,666.0,27
Price_PL20_IOB,Platinum,4/7/1964,666.2,666.5,665.2,666.2,30
Price_PL20_IOB,Platinum,4/8/1964,665.7,665.7,664.8,664.8,30
Price_PL20_IOB,Platinum,4/9/1964,664.5,666.2,664.2,666.2,22
Price_PL20_IOB,Platinum,4/10/1964,664.2,666.7,664.2,666.5,38
Price_PL20_IOB,Platinum,4/13/1964,666.7,666.7,665.7,666.0,27
Price_PL20_IOB,Platinum,4/14/1964,666.2,666.2,666.0,666.0,16
Price_PL20_IOB,Platinum,4/15/1964,665.5,665.5,664.2,664.2,22
Price_PL20_IOB,Platinum,4/16/1964,665.2,665.2,664.6,664.6,12
Price_PL20_IOB,Platinum,4/17/1964,664.6,664.8,664.2,664.5,23
Price_PL20_IOB,Platinum,4/20/1964,665.2,667.2,665.2,667.2,18
Price_PL20_IOB,Platinum,4/21/1964,668.0,668.0,667.2,667.2,15
Price_PL20_IOB,Platinum,4/22/1964,672.2,672.2,672.2,672.2,14
Price_PL20_IOB,Platinum,4/23/1964,676.0,677.2,676.0,677.2,27
Price_PL20_IOB,Platinum,4/24/1964,681.2,681.2,681.2,681.2,19
Price_PL20_IOB,Platinum,4/27/1964,682.5,682.5,682.5,682.5,0
Price_PL20_IOB,Platinum,4/28/1964,681.5,683.0,681.5,683.0,42
Price_PL20_IOB,Platinum,4/29/1964,683.5,683.5,682.5,683.1,22
Price_PL20_IOB,Platinum,4/30/1964,679.2,683.2,679.0,683.2,25
Price_PL20_IOB,Platinum,5/1/1964,683.5,683.5,683.5,683.5,20
Price_PL20_IOB,Platinum,5/4/1964,685.5,686.5,685.5,686.0,32
Price_PL20_IOB,Platinum,5/5/1964,687.5,688.5,684.2,684.2,28
Price_PL20_IOB,Platinum,5/6/1964,681.5,682.0,681.5,681.5,35
Price_PL20_IOB,Platinum,5/7/1964,677.2,677.2,676.5,676.5,49
Price_PL20_IOB,Platinum,5/8/1964,676.5,677.5,676.0,676.0,27
Price_PL20_IOB,Platinum,5/11/1964,678.5,682.5,678.5,682.5,21
Price_PL20_IOB,Platinum,5/12/1964,685.0,685.1,682.5,682.5,17
Price_PL20_IOB,Platinum,5/13/1964,677.5,677.5,677.5,677.5,6
Price_PL20_IOB,Platinum,5/14/1964,676.0,676.0,675.5,675.5,24
