"Symbol","Description","Date","Open","High","Low","Close","TotalVolume"
Price_S2_0_IOB,Soybeans,7/7/1947,43.000000,45.000000,42.000000,45.000000,0
Price_S2_0_IOB,Soybeans,7/8/1947,45.000000,45.000000,41.000000,41.000000,0
Price_S2_0_IOB,Soybeans,7/9/1947,37.500000,37.500000,37.500000,37.500000,0
Price_S2_0_IOB,Soybeans,7/10/1947,33.000000,33.000000,30.250000,30.250000,0
Price_S2_0_IOB,Soybeans,7/11/1947,30.000000,33.000000,30.000000,33.000000,0
Price_S2_0_IOB,Soybeans,7/14/1947,34.000000,35.000000,34.000000,35.000000,0
Price_S2_0_IOB,Soybeans,7/15/1947,43.000000,43.000000,43.000000,43.000000,0
Price_S2_0_IOB,Soybeans,7/16/1947,51.000000,51.000000,51.000000,51.000000,0
Price_S2_0_IOB,Soybeans,7/17/1947,53.875000,54.000000,50.000000,51.000000,0
Price_S2_0_IOB,Soybeans,7/18/1947,46.000000,48.500000,46.000000,48.500000,0
Price_S2_0_IOB,Soybeans,7/21/1947,52.000000,52.000000,52.000000,52.000000,0
Price_S2_0_IOB,Soybeans,7/22/1947,53.000000,53.000000,53.000000,53.000000,0
Price_S2_0_IOB,Soybeans,7/23/1947,52.000000,52.000000,52.000000,52.000000,0
Price_S2_0_IOB,Soybeans,7/24/1947,50.000000,50.000000,50.000000,50.000000,0
Price_S2_0_IOB,Soybeans,7/25/1947,48.750000,48.750000,48.750000,48.750000,0
Price_S2_0_IOB,Soybeans,7/28/1947,49.000000,49.000000,45.000000,45.000000,0
Price_S2_0_IOB,Soybeans,7/29/1947,41.000000,41.000000,41.000000,41.000000,0
Price_S2_0_IOB,Soybeans,7/30/1947,40.000000,42.000000,40.000000,42.000000,0
Price_S2_0_IOB,Soybeans,7/31/1947,46.000000,46.000000,46.000000,46.000000,0
Price_S2_0_IOB,Soybeans,8/1/1947,48.000000,48.000000,48.000000,48.000000,0
Price_S2_0_IOB,Soybeans,8/4/1947,50.000000,52.000000,50.000000,52.000000,0
Price_S2_0_IOB,Soybeans,8/5/1947,53.000000,53.000000,53.000000,53.000000,0
Price_S2_0_IOB,Soybeans,8/6/1947,53.000000,53.000000,53.000000,53.000000,0
Price_S2_0_IOB,Soybeans,8/7/1947,53.500000,53.500000,53.000000,53.000000,0
Price_S2_0_IOB,Soybeans,8/8/1947,53.500000,54.000000,53.000000,53.000000,0
