"Symbol","Description","Date","Open","High","Low","Close","TotalVolume"
Price_SB20_IOB,Sugar #11 World,12/30/1965,9.04,9.11,9.04,9.09,754
Price_SB20_IOB,Sugar #11 World,1/3/1966,9.04,9.08,9.04,9.05,452
Price_SB20_IOB,Sugar #11 World,1/4/1966,9.07,9.15,9.07,9.14,655
Price_SB20_IOB,Sugar #11 World,1/5/1966,9.17,9.23,9.17,9.22,1716
Price_SB20_IOB,Sugar #11 World,1/6/1966,9.23,9.30,9.23,9.29,1829
Price_SB20_IOB,Sugar #11 World,1/7/1966,9.26,9.30,9.26,9.29,1073
Price_SB20_IOB,Sugar #11 World,1/10/1966,9.22,9.27,9.22,9.26,804
Price_SB20_IOB,Sugar #11 World,1/11/1966,9.24,9.25,9.16,9.16,1720
Price_SB20_IOB,Sugar #11 World,1/12/1966,9.20,9.23,9.20,9.21,682
Price_SB20_IOB,Sugar #11 World,1/13/1966,9.21,9.25,9.21,9.22,880
Price_SB20_IOB,Sugar #11 World,1/14/1966,9.25,9.28,9.22,9.22,1030
Price_SB20_IOB,Sugar #11 World,1/17/1966,9.23,9.33,9.23,9.31,1651
Price_SB20_IOB,Sugar #11 World,1/18/1966,9.34,9.36,9.30,9.32,1143
Price_SB20_IOB,Sugar #11 World,1/19/1966,9.31,9.31,9.26,9.27,1379
Price_SB20_IOB,Sugar #11 World,1/20/1966,9.25,9.26,9.22,9.25,972
Price_SB20_IOB,Sugar #11 World,1/21/1966,9.29,9.35,9.29,9.33,1377
Price_SB20_IOB,Sugar #11 World,1/24/1966,9.36,9.37,9.34,9.34,1089
Price_SB20_IOB,Sugar #11 World,1/25/1966,9.36,9.42,9.36,9.41,1385
Price_SB20_IOB,Sugar #11 World,1/26/1966,9.44,9.45,9.35,9.35,1674
Price_SB20_IOB,Sugar #11 World,1/27/1966,9.40,9.40,9.32,9.35,1430
Price_SB20_IOB,Sugar #11 World,1/28/1966,9.33,9.34,9.29,9.29,1119
Price_SB20_IOB,Sugar #11 World,1/31/1966,9.37,9.39,9.29,9.30,1144
Price_SB20_IOB,Sugar #11 World,2/1/1966,9.29,9.30,9.17,9.19,2445
Price_SB20_IOB,Sugar #11 World,2/2/1966,9.20,9.29,9.12,9.24,2344
Price_SB20_IOB,Sugar #11 World,2/3/1966,9.22,9.23,9.09,9.15,2877
Price_SB20_IOB,Sugar #11 World,2/4/1966,9.12,9.18,9.11,9.12,663
Price_SB20_IOB,Sugar #11 World,2/7/1966,9.09,9.10,9.06,9.06,1132
Price_SB20_IOB,Sugar #11 World,2/8/1966,9.08,9.09,8.98,9.01,2167
Price_SB20_IOB,Sugar #11 World,2/9/1966,8.98,9.01,8.96,8.96,2712
Price_SB20_IOB,Sugar #11 World,2/10/1966,8.99,9.04,8.98,9.04,1511
Price_SB20_IOB,Sugar #11 World,2/11/1966,9.09,9.11,9.07,9.07,1740
Price_SB20_IOB,Sugar #11 World,2/14/1966,9.05,9.11,9.05,9.10,1779
Price_SB20_IOB,Sugar #11 World,2/15/1966,9.11,9.11,9.00,9.00,1010
Price_SB20_IOB,Sugar #11 World,2/16/1966,9.00,9.02,8.98,9.00,682
Price_SB20_IOB,Sugar #11 World,2/17/1966,9.03,9.06,9.00,9.02,531
Price_SB20_IOB,Sugar #11 World,2/18/1966,8.99,9.05,8.99,9.01,433
Price_SB20_IOB,Sugar #11 World,2/21/1966,9.03,9.03,9.00,9.01,287
Price_SB20_IOB,Sugar #11 World,2/23/1966,9.14,9.21,9.14,9.19,989
Price_SB20_IOB,Sugar #11 World,2/24/1966,9.06,9.10,9.06,9.07,637
Price_SB20_IOB,Sugar #11 World,2/25/1966,9.09,9.13,9.09,9.10,970
Price_SB20_IOB,Sugar #11 World,2/28/1966,9.08,9.09,8.99,8.99,956
Price_SB20_IOB,Sugar #11 World,3/1/1966,9.01,9.09,9.00,9.03,747
Price_SB20_IOB,Sugar #11 World,3/2/1966,9.02,9.07,9.01,9.04,787
Price_SB20_IOB,Sugar #11 World,3/3/1966,9.04,9.07,9.01,9.02,633
Price_SB20_IOB,Sugar #11 World,3/4/1966,9.04,9.04,9.00,9.01,1057
Price_SB20_IOB,Sugar #11 World,3/7/1966,9.02,9.06,9.02,9.03,671
Price_SB20_IOB,Sugar #11 World,3/8/1966,9.00,9.01,8.92,8.92,1652
Price_SB20_IOB,Sugar #11 World,3/9/1966,8.89,8.95,8.89,8.92,1150
Price_SB20_IOB,Sugar #11 World,3/10/1966,8.91,8.92,8.84,8.84,1332
Price_SB20_IOB,Sugar #11 World,3/11/1966,8.84,8.89,8.84,8.84,843
Price_SB20_IOB,Sugar #11 World,3/14/1966,8.80,8.82,8.76,8.77,1626
Price_SB20_IOB,Sugar #11 World,3/15/1966,8.74,8.75,8.68,8.71,1546
Price_SB20_IOB,Sugar #11 World,3/16/1966,8.75,8.77,8.74,8.77,726
Price_SB20_IOB,Sugar #11 World,3/17/1966,8.75,8.76,8.72,8.72,669
Price_SB20_IOB,Sugar #11 World,3/18/1966,8.73,8.79,8.73,8.78,416
Price_SB20_IOB,Sugar #11 World,3/21/1966,8.73,8.76,8.73,8.76,436
Price_SB20_IOB,Sugar #11 World,3/22/1966,8.74,8.81,8.74,8.80,732
Price_SB20_IOB,Sugar #11 World,3/23/1966,8.80,8.84,8.80,8.82,639
Price_SB20_IOB,Sugar #11 World,3/24/1966,8.81,8.86,8.79,8.86,966
Price_SB20_IOB,Sugar #11 World,3/25/1966,8.86,8.91,8.86,8.87,970
Price_SB20_IOB,Sugar #11 World,3/28/1966,8.81,8.90,8.79,8.82,823
Price_SB20_IOB,Sugar #11 World,3/29/1966,8.77,8.79,8.74,8.78,1025
Price_SB20_IOB,Sugar #11 World,3/30/1966,8.77,8.80,8.77,8.78,387
Price_SB20_IOB,Sugar #11 World,3/31/1966,8.74,8.76,8.72,8.72,684
Price_SB20_IOB,Sugar #11 World,4/1/1966,8.71,8.75,8.68,8.74,694
Price_SB20_IOB,Sugar #11 World,4/4/1966,8.75,8.79,8.73,8.74,661
Price_SB20_IOB,Sugar #11 World,4/5/1966,8.70,8.72,8.69,8.70,808
Price_SB20_IOB,Sugar #11 World,4/6/1966,8.74,8.78,8.73,8.76,919
Price_SB20_IOB,Sugar #11 World,4/7/1966,8.77,8.78,8.74,8.75,645
Price_SB20_IOB,Sugar #11 World,4/11/1966,8.74,8.74,8.70,8.70,539
Price_SB20_IOB,Sugar #11 World,4/12/1966,8.70,8.71,8.69,8.71,1045
Price_SB20_IOB,Sugar #11 World,4/13/1966,8.69,8.73,8.69,8.73,947
Price_SB20_IOB,Sugar #11 World,4/14/1966,8.71,8.71,8.69,8.69,1467
Price_SB20_IOB,Sugar #11 World,4/15/1966,8.69,8.71,8.69,8.70,1754
Price_SB20_IOB,Sugar #11 World,4/18/1966,8.72,8.73,8.71,8.71,246
Price_SB20_IOB,Sugar #11 World,4/19/1966,8.69,8.70,8.65,8.66,683
Price_SB20_IOB,Sugar #11 World,4/20/1966,8.64,8.66,8.63,8.65,733
Price_SB20_IOB,Sugar #11 World,4/21/1966,8.62,8.64,8.62,8.62,644
Price_SB20_IOB,Sugar #11 World,4/22/1966,8.63,8.64,8.62,8.62,332
Price_SB20_IOB,Sugar #11 World,4/25/1966,8.62,8.65,8.61,8.65,428
Price_SB20_IOB,Sugar #11 World,4/26/1966,8.67,8.69,8.67,8.69,1103
Price_SB20_IOB,Sugar #11 World,4/27/1966,8.68,8.69,8.66,8.66,280
Price_SB20_IOB,Sugar #11 World,4/28/1966,8.61,8.63,8.61,8.61,489
Price_SB20_IOB,Sugar #11 World,4/29/1966,8.60,8.62,8.59,8.59,515
Price_SB20_IOB,Sugar #11 World,5/2/1966,8.60,8.61,8.58,8.59,345
Price_SB20_IOB,Sugar #11 World,5/3/1966,8.60,8.61,8.59,8.61,410
Price_SB20_IOB,Sugar #11 World,5/4/1966,8.62,8.64,8.61,8.61,537
Price_SB20_IOB,Sugar #11 World,5/5/1966,8.60,8.60,8.58,8.58,361
Price_SB20_IOB,Sugar #11 World,5/6/1966,8.57,8.57,8.55,8.55,577
Price_SB20_IOB,Sugar #11 World,5/9/1966,8.56,8.56,8.52,8.53,426
Price_SB20_IOB,Sugar #11 World,5/10/1966,8.54,8.55,8.53,8.54,310
Price_SB20_IOB,Sugar #11 World,5/11/1966,8.55,8.56,8.51,8.51,350
Price_SB20_IOB,Sugar #11 World,5/12/1966,8.50,8.52,8.49,8.52,904
Price_SB20_IOB,Sugar #11 World,5/13/1966,8.51,8.52,8.49,8.50,559
Price_SB20_IOB,Sugar #11 World,5/16/1966,8.50,8.51,8.50,8.51,245
Price_SB20_IOB,Sugar #11 World,5/17/1966,8.52,8.58,8.52,8.54,241
Price_SB20_IOB,Sugar #11 World,5/18/1966,8.58,8.59,8.54,8.54,520
Price_SB20_IOB,Sugar #11 World,5/19/1966,8.52,8.56,8.51,8.56,439
Price_SB20_IOB,Sugar #11 World,5/20/1966,8.54,8.54,8.51,8.52,470
Price_SB20_IOB,Sugar #11 World,5/23/1966,8.51,8.52,8.47,8.47,1068
Price_SB20_IOB,Sugar #11 World,5/24/1966,8.42,8.43,8.36,8.36,2149
Price_SB20_IOB,Sugar #11 World,5/25/1966,8.36,8.38,8.36,8.36,929
Price_SB20_IOB,Sugar #11 World,5/26/1966,8.37,8.40,8.37,8.38,697
Price_SB20_IOB,Sugar #11 World,5/27/1966,8.39,8.41,8.38,8.40,0
