"Symbol","Description","Date","Open","High","Low","Close","TotalVolume"
Price_SI20_IOB,Silver,6/12/1963,2314.600,2314.750,2314.600,2314.500,0
Price_SI20_IOB,Silver,6/13/1963,2314.450,2314.550,2314.400,2314.500,0
Price_SI20_IOB,Silver,6/14/1963,2314.750,2314.950,2314.750,2314.750,0
Price_SI20_IOB,Silver,6/17/1963,2314.850,2314.850,2314.700,2314.750,0
Price_SI20_IOB,Silver,6/18/1963,2314.750,2314.750,2314.750,2314.750,0
Price_SI20_IOB,Silver,6/19/1963,2314.850,2314.850,2314.600,2314.600,0
Price_SI20_IOB,Silver,6/20/1963,2314.600,2314.600,2314.600,2314.600,0
Price_SI20_IOB,Silver,6/21/1963,2314.550,2314.550,2314.400,2314.450,0
Price_SI20_IOB,Silver,6/24/1963,2314.500,2314.500,2314.300,2314.250,0
Price_SI20_IOB,Silver,6/25/1963,2314.450,2314.600,2314.450,2314.550,0
Price_SI20_IOB,Silver,6/26/1963,2314.750,2314.900,2314.700,2314.700,0
Price_SI20_IOB,Silver,6/27/1963,2314.700,2314.950,2314.650,2314.850,0
Price_SI20_IOB,Silver,6/28/1963,2315.150,2315.150,2315.150,2315.150,0
Price_SI20_IOB,Silver,7/1/1963,2315.450,2316.300,2315.450,2316.150,0
Price_SI20_IOB,Silver,7/2/1963,2316.150,2316.300,2315.950,2315.950,0
Price_SI20_IOB,Silver,7/3/1963,2316.150,2316.150,2316.000,2316.100,0
Price_SI20_IOB,Silver,7/5/1963,2316.200,2316.400,2316.200,2316.250,0
Price_SI20_IOB,Silver,7/8/1963,2316.400,2316.600,2316.400,2316.250,0
Price_SI20_IOB,Silver,7/9/1963,2316.400,2316.400,2316.250,2316.250,0
Price_SI20_IOB,Silver,7/10/1963,2316.150,2316.400,2316.150,2316.300,0
Price_SI20_IOB,Silver,7/11/1963,2316.250,2316.400,2316.250,2316.250,0
Price_SI20_IOB,Silver,7/12/1963,2316.150,2316.250,2316.150,2316.200,0
Price_SI20_IOB,Silver,7/15/1963,2316.350,2316.550,2316.350,2316.400,0
Price_SI20_IOB,Silver,7/16/1963,2316.300,2316.350,2316.300,2316.350,0
Price_SI20_IOB,Silver,7/17/1963,2316.350,2316.350,2316.350,2316.300,0
Price_SI20_IOB,Silver,7/18/1963,2316.200,2316.200,2316.200,2316.150,0
Price_SI20_IOB,Silver,7/19/1963,2316.050,2316.150,2315.850,2315.850,0
Price_SI20_IOB,Silver,7/22/1963,2315.950,2316.150,2315.950,2315.800,0
Price_SI20_IOB,Silver,7/23/1963,2315.750,2315.750,2315.750,2315.750,0
Price_SI20_IOB,Silver,7/24/1963,2315.850,2315.850,2315.850,2315.750,0
Price_SI20_IOB,Silver,7/25/1963,2315.800,2315.850,2315.750,2315.700,0
Price_SI20_IOB,Silver,7/26/1963,2315.550,2315.550,2315.450,2315.500,0
Price_SI20_IOB,Silver,7/29/1963,2315.400,2315.400,2315.400,2315.350,0
Price_SI20_IOB,Silver,7/30/1963,2315.400,2315.450,2315.400,2315.400,0
Price_SI20_IOB,Silver,7/31/1963,2315.250,2315.250,2315.250,2315.250,0
Price_SI20_IOB,Silver,8/1/1963,2315.150,2315.150,2315.100,2315.150,0
Price_SI20_IOB,Silver,8/2/1963,2315.100,2315.150,2315.100,2315.050,0
Price_SI20_IOB,Silver,8/5/1963,2315.050,2315.050,2315.050,2314.950,0
Price_SI20_IOB,Silver,8/6/1963,2314.700,2314.700,2314.700,2314.700,0
Price_SI20_IOB,Silver,8/7/1963,2314.650,2314.850,2314.650,2314.850,0
Price_SI20_IOB,Silver,8/8/1963,2314.750,2314.750,2314.750,2314.750,0
Price_SI20_IOB,Silver,8/9/1963,2314.900,2314.900,2314.900,2314.900,0
Price_SI20_IOB,Silver,8/12/1963,2314.900,2314.900,2314.900,2314.900,0
Price_SI20_IOB,Silver,8/13/1963,2314.950,2315.000,2314.950,2315.000,8
Price_SI20_IOB,Silver,8/14/1963,2315.050,2315.100,2315.050,2315.000,50
Price_SI20_IOB,Silver,8/15/1963,2315.100,2315.100,2315.100,2315.050,0
Price_SI20_IOB,Silver,8/16/1963,2315.050,2315.050,2315.050,2315.000,14
Price_SI20_IOB,Silver,8/19/1963,2314.950,2314.950,2314.950,2314.950,0
Price_SI20_IOB,Silver,8/20/1963,2314.950,2314.950,2314.950,2314.950,6
Price_SI20_IOB,Silver,8/21/1963,2314.950,2314.950,2314.950,2314.950,0
Price_SI20_IOB,Silver,8/22/1963,2315.050,2315.050,2315.050,2314.950,0
Price_SI20_IOB,Silver,8/23/1963,2315.150,2315.150,2315.150,2315.100,0
Price_SI20_IOB,Silver,8/26/1963,2315.250,2315.250,2315.250,2315.100,52
Price_SI20_IOB,Silver,8/27/1963,2315.200,2315.200,2315.200,2315.100,0
Price_SI20_IOB,Silver,8/28/1963,2315.050,2315.050,2315.050,2315.050,2
Price_SI20_IOB,Silver,8/29/1963,2315.050,2315.050,2315.050,2315.050,4
Price_SI20_IOB,Silver,8/30/1963,2315.050,2315.050,2315.050,2315.050,0
Price_SI20_IOB,Silver,9/3/1963,2315.000,2315.000,2315.000,2315.000,0
Price_SI20_IOB,Silver,9/4/1963,2315.100,2315.100,2315.100,2315.100,2
Price_SI20_IOB,Silver,9/5/1963,2315.100,2315.100,2315.100,2315.100,12
Price_SI20_IOB,Silver,9/6/1963,2315.200,2315.250,2315.200,2315.200,0
Price_SI20_IOB,Silver,9/9/1963,2315.300,2315.300,2315.300,2315.200,50
Price_SI20_IOB,Silver,9/10/1963,2315.150,2315.150,2315.150,2315.150,10
Price_SI20_IOB,Silver,9/11/1963,2315.100,2315.100,2315.100,2315.100,0
Price_SI20_IOB,Silver,9/12/1963,2315.050,2315.050,2315.000,2314.950,0
Price_SI20_IOB,Silver,9/13/1963,2314.950,2314.950,2314.850,2314.750,0
Price_SI20_IOB,Silver,9/16/1963,2314.800,2314.800,2314.800,2314.800,0
Price_SI20_IOB,Silver,9/17/1963,2314.800,2314.800,2314.800,2314.800,0
