"Symbol","Description","Date","Open","High","Low","Close","TotalVolume"
Price_SM20_IOB,Soybean Meal,8/29/1951,35.0,35.0,34.7,35.1,28
Price_SM20_IOB,Soybean Meal,8/30/1951,35.5,35.7,35.3,35.8,16
Price_SM20_IOB,Soybean Meal,8/31/1951,35.9,35.9,35.9,35.9,1
Price_SM20_IOB,Soybean Meal,9/4/1951,35.9,35.9,35.9,36.0,7
Price_SM20_IOB,Soybean Meal,9/5/1951,36.3,36.3,36.3,36.3,20
Price_SM20_IOB,Soybean Meal,9/6/1951,36.7,37.2,36.7,37.2,32
Price_SM20_IOB,Soybean Meal,9/7/1951,38.0,38.1,38.0,38.1,33
Price_SM20_IOB,Soybean Meal,9/10/1951,37.7,37.7,37.5,37.4,25
Price_SM20_IOB,Soybean Meal,9/11/1951,38.0,38.0,37.5,37.4,20
Price_SM20_IOB,Soybean Meal,9/12/1951,37.6,37.6,37.6,37.6,13
Price_SM20_IOB,Soybean Meal,9/13/1951,37.8,37.8,37.4,37.3,45
Price_SM20_IOB,Soybean Meal,9/14/1951,37.0,37.0,36.9,36.8,6
Price_SM20_IOB,Soybean Meal,9/17/1951,37.0,37.0,37.0,37.0,2
Price_SM20_IOB,Soybean Meal,9/18/1951,36.1,36.1,36.1,36.1,3
Price_SM20_IOB,Soybean Meal,9/19/1951,36.5,36.7,36.5,36.8,15
Price_SM20_IOB,Soybean Meal,9/20/1951,37.2,37.7,37.2,37.8,12
Price_SM20_IOB,Soybean Meal,9/21/1951,38.0,38.0,37.5,37.6,6
Price_SM20_IOB,Soybean Meal,9/24/1951,38.7,39.0,38.7,38.9,32
Price_SM20_IOB,Soybean Meal,9/25/1951,39.5,41.7,39.5,41.3,42
Price_SM20_IOB,Soybean Meal,9/26/1951,40.8,40.8,40.8,40.8,47
Price_SM20_IOB,Soybean Meal,9/27/1951,40.5,41.2,40.5,41.2,37
Price_SM20_IOB,Soybean Meal,9/28/1951,40.5,40.5,40.5,40.5,0
Price_SM20_IOB,Soybean Meal,10/1/1951,39.5,40.7,39.5,40.7,36
Price_SM20_IOB,Soybean Meal,10/2/1951,41.8,41.8,41.8,41.8,16
Price_SM20_IOB,Soybean Meal,10/3/1951,43.0,43.0,43.0,43.0,54
Price_SM20_IOB,Soybean Meal,10/4/1951,42.5,42.5,42.2,42.0,33
Price_SM20_IOB,Soybean Meal,10/5/1951,42.0,42.7,42.0,42.5,110
Price_SM20_IOB,Soybean Meal,10/8/1951,42.8,42.8,42.8,42.8,43
Price_SM20_IOB,Soybean Meal,10/9/1951,43.2,43.3,43.2,43.3,44
Price_SM20_IOB,Soybean Meal,10/10/1951,43.2,43.2,43.2,43.2,87
Price_SM20_IOB,Soybean Meal,10/11/1951,43.7,43.7,42.7,42.7,0
Price_SM20_IOB,Soybean Meal,10/15/1951,44.0,44.1,43.7,44.2,55
Price_SM20_IOB,Soybean Meal,10/16/1951,44.7,45.7,44.7,45.3,73
Price_SM20_IOB,Soybean Meal,10/17/1951,44.5,44.9,44.5,44.8,70
Price_SM20_IOB,Soybean Meal,10/18/1951,45.7,45.7,45.7,45.7,32
Price_SM20_IOB,Soybean Meal,10/19/1951,47.0,47.0,47.0,47.0,36
Price_SM20_IOB,Soybean Meal,10/22/1951,45.5,46.0,45.5,46.0,27
Price_SM20_IOB,Soybean Meal,10/23/1951,46.0,46.0,46.0,46.0,10
Price_SM20_IOB,Soybean Meal,10/24/1951,46.2,46.2,46.2,46.2,14
Price_SM20_IOB,Soybean Meal,10/25/1951,47.2,47.2,47.2,47.2,37
Price_SM20_IOB,Soybean Meal,10/26/1951,48.7,49.0,48.7,49.0,92
Price_SM20_IOB,Soybean Meal,10/29/1951,47.5,47.5,47.5,47.5,54
Price_SM20_IOB,Soybean Meal,10/30/1951,48.2,48.2,47.0,47.0,56
Price_SM20_IOB,Soybean Meal,10/31/1951,45.7,46.5,45.7,46.0,2
Price_SM20_IOB,Soybean Meal,11/1/1951,45.7,45.7,45.2,45.3,21
Price_SM20_IOB,Soybean Meal,11/2/1951,46.2,46.2,46.2,46.2,0
Price_SM20_IOB,Soybean Meal,11/5/1951,46.3,46.4,46.2,45.6,15
Price_SM20_IOB,Soybean Meal,11/6/1951,46.5,46.6,46.5,46.6,23
Price_SM20_IOB,Soybean Meal,11/7/1951,47.2,47.2,47.0,47.1,28
Price_SM20_IOB,Soybean Meal,11/8/1951,47.5,48.2,47.5,48.1,60
Price_SM20_IOB,Soybean Meal,11/9/1951,48.5,49.0,48.5,48.8,64
Price_SM20_IOB,Soybean Meal,11/13/1951,48.5,49.2,48.5,49.2,0
Price_SM20_IOB,Soybean Meal,11/14/1951,49.5,50.2,49.5,50.1,65
Price_SM20_IOB,Soybean Meal,11/15/1951,50.5,50.5,50.2,50.2,30
Price_SM20_IOB,Soybean Meal,11/16/1951,50.5,50.5,50.4,50.3,49
Price_SM20_IOB,Soybean Meal,11/19/1951,49.7,49.7,49.5,49.7,36
Price_SM20_IOB,Soybean Meal,11/20/1951,50.0,50.1,50.0,50.1,38
Price_SM20_IOB,Soybean Meal,11/21/1951,50.2,50.2,50.2,50.2,16
Price_SM20_IOB,Soybean Meal,11/23/1951,50.0,50.0,50.0,50.0,13
Price_SM20_IOB,Soybean Meal,11/26/1951,50.5,51.0,50.5,50.3,35
Price_SM20_IOB,Soybean Meal,11/27/1951,50.7,50.7,50.6,50.5,38
Price_SM20_IOB,Soybean Meal,11/28/1951,50.7,51.0,50.7,51.1,23
Price_SM20_IOB,Soybean Meal,11/29/1951,50.5,50.5,50.5,50.6,8
Price_SM20_IOB,Soybean Meal,11/30/1951,51.1,51.1,51.1,51.1,1
Price_SM20_IOB,Soybean Meal,12/3/1951,50.8,50.8,50.8,50.8,17
Price_SM20_IOB,Soybean Meal,12/4/1951,51.5,51.5,51.4,51.5,48
Price_SM20_IOB,Soybean Meal,12/5/1951,51.7,51.7,51.7,51.8,11
Price_SM20_IOB,Soybean Meal,12/6/1951,51.8,51.8,51.8,51.8,0
