"Symbol","Description","Date","Open","High","Low","Close","TotalVolume"
Price_SP20_IOB,S&P 500 Index,4/21/1982,472.25,473.50,471.95,473.35,7926
Price_SP20_IOB,S&P 500 Index,4/22/1982,472.90,474.30,472.90,473.80,5966
Price_SP20_IOB,S&P 500 Index,4/23/1982,474.30,475.65,474.15,475.55,6128
Price_SP20_IOB,S&P 500 Index,4/26/1982,475.20,476.50,474.55,476.45,6098
Price_SP20_IOB,S&P 500 Index,4/27/1982,476.10,476.25,474.30,474.75,7956
Price_SP20_IOB,S&P 500 Index,4/28/1982,474.48,475.20,473.60,474.05,8302
Price_SP20_IOB,S&P 500 Index,4/29/1982,473.40,474.05,473.15,473.50,7024
Price_SP20_IOB,S&P 500 Index,4/30/1982,473.45,474.30,473.30,473.40,5688
Price_SP20_IOB,S&P 500 Index,5/3/1982,473.00,473.40,472.70,473.05,5762
Price_SP20_IOB,S&P 500 Index,5/4/1982,473.15,473.95,473.15,473.70,5400
Price_SP20_IOB,S&P 500 Index,5/5/1982,473.75,474.20,472.95,473.45,5492
Price_SP20_IOB,S&P 500 Index,5/6/1982,473.95,475.10,473.95,475.00,10342
Price_SP20_IOB,S&P 500 Index,5/7/1982,475.05,476.00,474.90,475.55,8018
Price_SP20_IOB,S&P 500 Index,5/10/1982,475.10,475.30,474.35,474.40,8436
Price_SP20_IOB,S&P 500 Index,5/11/1982,474.35,475.85,474.25,475.60,9430
Price_SP20_IOB,S&P 500 Index,5/12/1982,475.75,476.25,474.95,475.45,10370
Price_SP20_IOB,S&P 500 Index,5/13/1982,475.45,475.65,474.05,474.25,10034
Price_SP20_IOB,S&P 500 Index,5/14/1982,474.45,474.65,474.00,474.20,7874
Price_SP20_IOB,S&P 500 Index,5/17/1982,474.05,474.05,472.40,472.50,8592
Price_SP20_IOB,S&P 500 Index,5/18/1982,472.50,472.60,471.65,471.90,13354
Price_SP20_IOB,S&P 500 Index,5/19/1982,471.85,472.25,470.35,470.55,14338
Price_SP20_IOB,S&P 500 Index,5/20/1982,470.75,471.10,470.05,470.85,16806
Price_SP20_IOB,S&P 500 Index,5/21/1982,471.15,471.50,470.65,470.80,10342
Price_SP20_IOB,S&P 500 Index,5/24/1982,470.70,471.05,470.05,470.90,11046
Price_SP20_IOB,S&P 500 Index,5/25/1982,471.10,471.55,469.35,469.65,28272
Price_SP20_IOB,S&P 500 Index,5/26/1982,470.00,470.00,467.85,468.40,25680
Price_SP20_IOB,S&P 500 Index,5/27/1982,468.28,468.55,467.15,467.95,21054
Price_SP20_IOB,S&P 500 Index,5/28/1982,467.95,468.60,466.75,467.20,15552
Price_SP20_IOB,S&P 500 Index,6/1/1982,466.90,467.30,465.50,466.65,18318
Price_SP20_IOB,S&P 500 Index,6/2/1982,465.75,467.40,465.45,467.25,18908
