"Symbol","Description","Date","Open","High","Low","Close","TotalVolume"
Price_TU_0_IOB,T-Note (2 Year),6/22/1990,66.318415,66.318415,66.303312,66.303312,3394
Price_TU_0_IOB,T-Note (2 Year),6/25/1990,66.318415,66.318415,66.227798,66.227798,755
Price_TU_0_IOB,T-Note (2 Year),6/26/1990,66.197592,66.363724,66.182489,66.242901,1448
Price_TU_0_IOB,T-Note (2 Year),6/27/1990,66.258004,66.318415,66.258004,66.318415,1448
Price_TU_0_IOB,T-Note (2 Year),6/28/1990,66.333518,66.439239,66.333518,66.439239,725
Price_TU_0_IOB,T-Note (2 Year),6/29/1990,66.454341,66.560062,66.393930,66.544959,148
Price_TU_0_IOB,T-Note (2 Year),7/2/1990,66.514753,66.560062,66.514753,66.529856,168
Price_TU_0_IOB,T-Note (2 Year),7/3/1990,66.529856,66.605370,66.514753,66.605370,94
Price_TU_0_IOB,T-Note (2 Year),7/5/1990,66.590268,66.620473,66.544959,66.544959,962
Price_TU_0_IOB,T-Note (2 Year),7/6/1990,66.499650,66.499650,66.318415,66.348621,204
Price_TU_0_IOB,T-Note (2 Year),7/9/1990,66.303312,66.303312,66.258004,66.273107,331
Price_TU_0_IOB,T-Note (2 Year),7/10/1990,66.303312,66.303312,66.212695,66.242901,221
Price_TU_0_IOB,T-Note (2 Year),7/11/1990,66.273107,66.333518,66.273107,66.288210,719
Price_TU_0_IOB,T-Note (2 Year),7/12/1990,66.303312,66.590268,66.167386,66.560062,735
Price_TU_0_IOB,T-Note (2 Year),7/13/1990,66.650679,66.771502,66.469444,66.665782,1396
Price_TU_0_IOB,T-Note (2 Year),7/16/1990,66.635576,66.665782,66.635576,66.665782,662
Price_TU_0_IOB,T-Note (2 Year),7/17/1990,66.635576,66.711091,66.635576,66.695988,499
Price_TU_0_IOB,T-Note (2 Year),7/18/1990,66.650679,66.741297,66.605370,66.680885,442
Price_TU_0_IOB,T-Note (2 Year),7/19/1990,66.620473,66.711091,66.620473,66.695988,652
Price_TU_0_IOB,T-Note (2 Year),7/20/1990,66.756399,66.801708,66.741297,66.786605,1272
Price_TU_0_IOB,T-Note (2 Year),7/23/1990,66.665782,67.013149,66.665782,66.831914,1302
Price_TU_0_IOB,T-Note (2 Year),7/24/1990,66.741297,66.771502,66.711091,66.711091,516
Price_TU_0_IOB,T-Note (2 Year),7/25/1990,66.726194,66.831914,66.726194,66.741297,1113
Price_TU_0_IOB,T-Note (2 Year),7/26/1990,66.741297,66.771502,66.741297,66.756399,168
Price_TU_0_IOB,T-Note (2 Year),7/27/1990,66.741297,66.937634,66.741297,66.922531,1341
Price_TU_0_IOB,T-Note (2 Year),7/30/1990,66.952737,67.103766,66.952737,67.103766,831
Price_TU_0_IOB,T-Note (2 Year),7/31/1990,67.073560,67.133972,67.043355,67.133972,292
Price_TU_0_IOB,T-Note (2 Year),8/1/1990,67.133972,67.315207,67.133972,67.285001,1094
Price_TU_0_IOB,T-Note (2 Year),8/2/1990,67.179281,67.254795,67.133972,67.133972,538
Price_TU_0_IOB,T-Note (2 Year),8/3/1990,67.103766,67.466236,67.103766,67.300104,1136
Price_TU_0_IOB,T-Note (2 Year),8/6/1990,67.285001,67.466236,67.103766,67.103766,2713
Price_TU_0_IOB,T-Note (2 Year),8/7/1990,67.194383,67.194383,66.937634,66.937634,683
Price_TU_0_IOB,T-Note (2 Year),8/8/1990,66.982943,67.013149,66.892326,66.892326,561
Price_TU_0_IOB,T-Note (2 Year),8/9/1990,66.982943,67.043355,66.907428,66.967840,1016
Price_TU_0_IOB,T-Note (2 Year),8/10/1990,67.073560,67.088663,67.013149,67.058457,155
Price_TU_0_IOB,T-Note (2 Year),8/13/1990,67.058457,67.103766,67.058457,67.088663,79
Price_TU_0_IOB,T-Note (2 Year),8/14/1990,67.073560,67.103766,67.058457,67.073560,229
Price_TU_0_IOB,T-Note (2 Year),8/15/1990,67.118869,67.179281,67.058457,67.073560,347
Price_TU_0_IOB,T-Note (2 Year),8/16/1990,67.013149,67.013149,66.816811,66.831914,539
Price_TU_0_IOB,T-Note (2 Year),8/17/1990,66.771502,66.831914,66.726194,66.786605,605
Price_TU_0_IOB,T-Note (2 Year),8/20/1990,66.786605,66.786605,66.756399,66.771502,567
Price_TU_0_IOB,T-Note (2 Year),8/21/1990,66.635576,66.695988,66.635576,66.665782,182
Price_TU_0_IOB,T-Note (2 Year),8/22/1990,66.620473,66.680885,66.560062,66.590268,505
Price_TU_0_IOB,T-Note (2 Year),8/23/1990,66.499650,66.635576,66.469444,66.560062,2412
Price_TU_0_IOB,T-Note (2 Year),8/24/1990,66.560062,66.605370,66.469444,66.499650,582
Price_TU_0_IOB,T-Note (2 Year),8/27/1990,66.650679,66.680885,66.620473,66.665782,794
Price_TU_0_IOB,T-Note (2 Year),8/28/1990,66.635576,66.635576,66.575165,66.590268,263
Price_TU_0_IOB,T-Note (2 Year),8/29/1990,66.635576,66.726194,66.620473,66.726194,3347
Price_TU_0_IOB,T-Note (2 Year),8/30/1990,66.741297,66.801708,66.695988,66.771502,3351
Price_TU_0_IOB,T-Note (2 Year),8/31/1990,66.877223,66.877223,66.831914,66.877223,888
Price_TU_0_IOB,T-Note (2 Year),9/4/1990,66.831914,66.892326,66.816811,66.847017,1536
Price_TU_0_IOB,T-Note (2 Year),9/5/1990,66.922531,66.937634,66.877223,66.937634,591
Price_TU_0_IOB,T-Note (2 Year),9/6/1990,66.937634,66.952737,66.907428,66.907428,1935
Price_TU_0_IOB,T-Note (2 Year),9/7/1990,66.922531,66.998046,66.831914,66.952737,553
Price_TU_0_IOB,T-Note (2 Year),9/10/1990,66.952737,67.028252,66.877223,66.877223,119
Price_TU_0_IOB,T-Note (2 Year),9/11/1990,66.847017,66.862120,66.786605,66.847017,540
Price_TU_0_IOB,T-Note (2 Year),9/12/1990,66.907428,66.967840,66.907428,66.952737,883
Price_TU_0_IOB,T-Note (2 Year),9/13/1990,66.952737,67.043355,66.952737,66.998046,493
Price_TU_0_IOB,T-Note (2 Year),9/14/1990,66.937634,67.058457,66.937634,66.998046,3160
Price_TU_0_IOB,T-Note (2 Year),9/17/1990,66.967840,66.998046,66.937634,66.998046,1064
Price_TU_0_IOB,T-Note (2 Year),9/18/1990,66.922531,67.013149,66.892326,66.998046,609
Price_TU_0_IOB,T-Note (2 Year),9/19/1990,67.043355,67.058457,66.877223,66.937634,1262
Price_TU_0_IOB,T-Note (2 Year),9/20/1990,66.892326,66.892326,66.847017,66.892326,533
Price_TU_0_IOB,T-Note (2 Year),9/21/1990,66.862120,66.922531,66.801708,66.847017,514
Price_TU_0_IOB,T-Note (2 Year),9/24/1990,66.756399,66.756399,66.695988,66.741297,354
Price_TU_0_IOB,T-Note (2 Year),9/25/1990,66.786605,66.801708,66.726194,66.741297,223
Price_TU_0_IOB,T-Note (2 Year),9/26/1990,66.741297,66.756399,66.711091,66.741297,282
Price_TU_0_IOB,T-Note (2 Year),9/27/1990,66.847017,66.967840,66.816811,66.952737,1030
Price_TU_0_IOB,T-Note (2 Year),9/28/1990,66.998046,67.088663,66.982943,67.073560,691
Price_TU_0_IOB,T-Note (2 Year),10/1/1990,67.164178,67.209486,67.118869,67.209486,1473
Price_TU_0_IOB,T-Note (2 Year),10/2/1990,67.224589,67.254795,67.194383,67.224589,1355
Price_TU_0_IOB,T-Note (2 Year),10/3/1990,67.179281,67.300104,67.179281,67.269898,939
Price_TU_0_IOB,T-Note (2 Year),10/4/1990,67.269898,67.330310,67.239692,67.330310,426
Price_TU_0_IOB,T-Note (2 Year),10/5/1990,67.330310,67.436030,67.330310,67.436030,543
Price_TU_0_IOB,T-Note (2 Year),10/8/1990,67.420927,67.420927,67.390721,67.420927,67
Price_TU_0_IOB,T-Note (2 Year),10/9/1990,67.300104,67.300104,67.179281,67.194383,701
Price_TU_0_IOB,T-Note (2 Year),10/10/1990,67.149075,67.164178,67.103766,67.118869,833
Price_TU_0_IOB,T-Note (2 Year),10/11/1990,67.133972,67.194383,67.118869,67.118869,1666
Price_TU_0_IOB,T-Note (2 Year),10/12/1990,67.118869,67.224589,67.118869,67.209486,521
Price_TU_0_IOB,T-Note (2 Year),10/15/1990,67.239692,67.239692,67.209486,67.239692,323
Price_TU_0_IOB,T-Note (2 Year),10/16/1990,67.224589,67.239692,67.194383,67.239692,1247
Price_TU_0_IOB,T-Note (2 Year),10/17/1990,67.254795,67.269898,67.179281,67.224589,940
Price_TU_0_IOB,T-Note (2 Year),10/18/1990,67.224589,67.285001,67.209486,67.239692,525
Price_TU_0_IOB,T-Note (2 Year),10/19/1990,67.315207,67.405824,67.315207,67.330310,669
Price_TU_0_IOB,T-Note (2 Year),10/22/1990,67.390721,67.390721,67.330310,67.360515,107
Price_TU_0_IOB,T-Note (2 Year),10/23/1990,67.300104,67.375618,67.300104,67.375618,234
Price_TU_0_IOB,T-Note (2 Year),10/24/1990,67.330310,67.405824,67.330310,67.390721,738
Price_TU_0_IOB,T-Note (2 Year),10/25/1990,67.315207,67.496441,67.315207,67.481339,608
Price_TU_0_IOB,T-Note (2 Year),10/26/1990,67.420927,67.511544,67.420927,67.496441,919
Price_TU_0_IOB,T-Note (2 Year),10/29/1990,67.496441,67.556853,67.420927,67.451133,1136
Price_TU_0_IOB,T-Note (2 Year),10/30/1990,67.451133,67.466236,67.375618,67.436030,60
Price_TU_0_IOB,T-Note (2 Year),10/31/1990,67.481339,67.541750,67.451133,67.541750,421
Price_TU_0_IOB,T-Note (2 Year),11/1/1990,67.571956,67.707882,67.571956,67.677676,524
Price_TU_0_IOB,T-Note (2 Year),11/2/1990,67.707882,67.738088,67.647470,67.677676,443
Price_TU_0_IOB,T-Note (2 Year),11/5/1990,67.677676,67.753191,67.677676,67.738088,101
Price_TU_0_IOB,T-Note (2 Year),11/6/1990,67.722985,67.753191,67.707882,67.722985,323
Price_TU_0_IOB,T-Note (2 Year),11/7/1990,67.783397,67.783397,67.647470,67.662573,934
Price_TU_0_IOB,T-Note (2 Year),11/8/1990,67.692779,67.738088,67.677676,67.677676,1672
Price_TU_0_IOB,T-Note (2 Year),11/9/1990,67.692779,67.798499,67.692779,67.798499,1289
Price_TU_0_IOB,T-Note (2 Year),11/12/1990,67.843808,67.889117,67.798499,67.889117,38
Price_TU_0_IOB,T-Note (2 Year),11/13/1990,67.889117,67.889117,67.828705,67.858911,284
Price_TU_0_IOB,T-Note (2 Year),11/14/1990,67.858911,67.858911,67.813602,67.858911,2538
Price_TU_0_IOB,T-Note (2 Year),11/15/1990,67.843808,67.874014,67.813602,67.828705,1317
Price_TU_0_IOB,T-Note (2 Year),11/16/1990,67.813602,67.889117,67.813602,67.858911,834
Price_TU_0_IOB,T-Note (2 Year),11/19/1990,67.843808,67.874014,67.798499,67.813602,660
Price_TU_0_IOB,T-Note (2 Year),11/20/1990,67.783397,67.813602,67.768294,67.783397,704
Price_TU_0_IOB,T-Note (2 Year),11/21/1990,67.798499,67.979734,67.798499,67.979734,693
Price_TU_0_IOB,T-Note (2 Year),11/23/1990,67.934426,67.949528,67.919323,67.934426,219
Price_TU_0_IOB,T-Note (2 Year),11/26/1990,67.874014,67.934426,67.858911,67.919323,2411
Price_TU_0_IOB,T-Note (2 Year),11/27/1990,67.904220,67.949528,67.889117,67.904220,779
Price_TU_0_IOB,T-Note (2 Year),11/28/1990,67.768294,67.783397,67.738088,67.783397,2710
Price_TU_0_IOB,T-Note (2 Year),11/29/1990,67.707882,67.813602,67.692779,67.738088,1435
Price_TU_0_IOB,T-Note (2 Year),11/30/1990,67.798499,67.828705,67.768294,67.813602,1629
Price_TU_0_IOB,T-Note (2 Year),12/3/1990,67.858911,67.874014,67.843808,67.843808,1021
Price_TU_0_IOB,T-Note (2 Year),12/4/1990,67.889117,67.964631,67.889117,67.919323,517
Price_TU_0_IOB,T-Note (2 Year),12/5/1990,67.889117,67.949528,67.889117,67.949528,156
Price_TU_0_IOB,T-Note (2 Year),12/6/1990,67.949528,67.949528,67.904220,67.919323,759
Price_TU_0_IOB,T-Note (2 Year),12/7/1990,67.889117,68.191175,67.889117,68.160969,1566
Price_TU_0_IOB,T-Note (2 Year),12/10/1990,68.130763,68.221381,68.130763,68.206278,579
Price_TU_0_IOB,T-Note (2 Year),12/11/1990,68.236484,68.266689,68.236484,68.251586,817
Price_TU_0_IOB,T-Note (2 Year),12/12/1990,68.281792,68.311998,68.221381,68.311998,1536
Price_TU_0_IOB,T-Note (2 Year),12/13/1990,68.311998,68.311998,68.130763,68.160969,139
Price_TU_0_IOB,T-Note (2 Year),12/14/1990,68.176072,68.176072,68.025043,68.055249,1068
Price_TU_0_IOB,T-Note (2 Year),12/17/1990,68.055249,68.145866,68.040146,68.145866,354
Price_TU_0_IOB,T-Note (2 Year),12/18/1990,68.176072,68.236484,68.176072,68.236484,431
Price_TU_0_IOB,T-Note (2 Year),12/19/1990,68.311998,68.402615,68.236484,68.266689,1886
Price_TU_0_IOB,T-Note (2 Year),12/20/1990,68.236484,68.251586,68.145866,68.160969,284
Price_TU_0_IOB,T-Note (2 Year),12/21/1990,68.191175,68.221381,68.100557,68.130763,250
Price_TU_0_IOB,T-Note (2 Year),12/24/1990,68.085455,68.100557,68.009940,68.040146,201
Price_TU_0_IOB,T-Note (2 Year),12/26/1990,68.070352,68.160969,68.070352,68.115660,550
Price_TU_0_IOB,T-Note (2 Year),12/27/1990,68.266689,68.296895,68.191175,68.191175,256
Price_TU_0_IOB,T-Note (2 Year),12/28/1990,68.221381,68.221381,68.160969,68.160969,292
Price_TU_0_IOB,T-Note (2 Year),12/31/1990,68.191175,68.296895,68.191175,68.296895,385
Price_TU_0_IOB,T-Note (2 Year),1/2/1991,68.342204,68.523439,68.327101,68.508336,2344
Price_TU_0_IOB,T-Note (2 Year),1/3/1991,68.523439,68.583850,68.508336,68.508336,1993
Price_TU_0_IOB,T-Note (2 Year),1/4/1991,68.538542,68.538542,68.296895,68.342204,578
Price_TU_0_IOB,T-Note (2 Year),1/7/1991,68.281792,68.311998,68.236484,68.266689,343
Price_TU_0_IOB,T-Note (2 Year),1/8/1991,68.251586,68.493233,68.251586,68.327101,1756
Price_TU_0_IOB,T-Note (2 Year),1/9/1991,68.463027,68.478130,68.281792,68.296895,1638
Price_TU_0_IOB,T-Note (2 Year),1/10/1991,68.342204,68.402615,68.342204,68.387513,303
Price_TU_0_IOB,T-Note (2 Year),1/11/1991,68.372410,68.402615,68.327101,68.357307,586
Price_TU_0_IOB,T-Note (2 Year),1/14/1991,68.281792,68.357307,68.266689,68.342204,634
Price_TU_0_IOB,T-Note (2 Year),1/15/1991,68.342204,68.357307,68.311998,68.327101,206
Price_TU_0_IOB,T-Note (2 Year),1/16/1991,68.191175,68.251586,68.191175,68.251586,240
Price_TU_0_IOB,T-Note (2 Year),1/17/1991,68.432821,68.432821,68.251586,68.311998,1214
Price_TU_0_IOB,T-Note (2 Year),1/18/1991,68.311998,68.402615,68.296895,68.387513,629
