"Symbol","Description","Date","Open","High","Low","Close","TotalVolume"
Price_TY_0_IOB,T-Note (10 Year),5/3/1982,7.730878,7.814535,7.452022,7.479907,33502
Price_TY_0_IOB,T-Note (10 Year),5/4/1982,7.368365,8.037620,7.284708,7.926077,17574
Price_TY_0_IOB,T-Note (10 Year),5/5/1982,8.121277,8.316476,7.898192,8.037620,21100
Price_TY_0_IOB,T-Note (10 Year),5/6/1982,8.567447,8.985731,8.483790,8.957845,13026
Price_TY_0_IOB,T-Note (10 Year),5/7/1982,9.208816,9.264587,8.846303,9.208816,8481
Price_TY_0_IOB,T-Note (10 Year),5/10/1982,9.041502,9.292473,8.957845,9.097273,4956
Price_TY_0_IOB,T-Note (10 Year),5/11/1982,8.902074,9.320358,8.846303,9.208816,5998
Price_TY_0_IOB,T-Note (10 Year),5/12/1982,9.180930,9.487672,8.678989,9.208816,7085
Price_TY_0_IOB,T-Note (10 Year),5/13/1982,8.902074,8.902074,8.595332,8.651103,4758
Price_TY_0_IOB,T-Note (10 Year),5/14/1982,8.846303,9.348244,8.762646,9.097273,5422
Price_TY_0_IOB,T-Note (10 Year),5/17/1982,9.180930,9.348244,8.623218,8.678989,6266
Price_TY_0_IOB,T-Note (10 Year),5/18/1982,8.511675,8.957845,8.372247,8.874188,6201
Price_TY_0_IOB,T-Note (10 Year),5/19/1982,8.651103,8.846303,8.511675,8.511675,5014
Price_TY_0_IOB,T-Note (10 Year),5/20/1982,8.762646,9.180930,8.762646,9.069388,6600
Price_TY_0_IOB,T-Note (10 Year),5/21/1982,9.013617,9.236702,8.957845,8.985731,3741
Price_TY_0_IOB,T-Note (10 Year),5/24/1982,8.874188,9.069388,8.790532,8.957845,2378
Price_TY_0_IOB,T-Note (10 Year),5/25/1982,8.762646,8.874188,8.595332,8.734760,3640
Price_TY_0_IOB,T-Note (10 Year),5/26/1982,8.985731,9.069388,8.428018,8.428018,4761
Price_TY_0_IOB,T-Note (10 Year),5/27/1982,8.372247,8.567447,8.316476,8.316476,6059
Price_TY_0_IOB,T-Note (10 Year),5/28/1982,8.344362,8.567447,8.260705,8.316476,6308
Price_TY_0_IOB,T-Note (10 Year),6/1/1982,8.149162,8.149162,7.507793,7.591450,8090
Price_TY_0_IOB,T-Note (10 Year),6/2/1982,7.758763,7.898192,7.563564,7.814535,6567
Price_TY_0_IOB,T-Note (10 Year),6/3/1982,7.842420,8.037620,7.563564,7.730878,4218
Price_TY_0_IOB,T-Note (10 Year),6/4/1982,7.647221,7.647221,7.340479,7.424136,3742
Price_TY_0_IOB,T-Note (10 Year),6/7/1982,7.563564,7.702992,7.256822,7.563564,3737
Price_TY_0_IOB,T-Note (10 Year),6/8/1982,7.507793,7.591450,7.396250,7.479907,4029
Price_TY_0_IOB,T-Note (10 Year),6/9/1982,7.424136,7.535678,7.228937,7.507793,3201
Price_TY_0_IOB,T-Note (10 Year),6/10/1982,7.368365,7.424136,7.173165,7.312593,4316
Price_TY_0_IOB,T-Note (10 Year),6/11/1982,7.675107,7.758763,7.591450,7.730878,2453
Price_TY_0_IOB,T-Note (10 Year),6/14/1982,7.173165,7.228937,6.671224,6.754881,5189
Price_TY_0_IOB,T-Note (10 Year),6/15/1982,6.615453,6.810652,6.587567,6.754881,3278
Price_TY_0_IOB,T-Note (10 Year),6/16/1982,6.754881,6.810652,6.503910,6.559682,3042
Price_TY_0_IOB,T-Note (10 Year),6/17/1982,6.141397,6.225054,5.778884,6.029855,5104
Price_TY_0_IOB,T-Note (10 Year),6/18/1982,5.974083,6.085626,5.360600,5.360600,8793
Price_TY_0_IOB,T-Note (10 Year),6/21/1982,5.416371,5.444257,4.998087,5.249057,7538
Price_TY_0_IOB,T-Note (10 Year),6/22/1982,5.249057,5.611570,5.165400,5.249057,5235
Price_TY_0_IOB,T-Note (10 Year),6/23/1982,4.914430,5.109629,4.663459,5.053858,5289
