"Symbol","Description","Date","Open","High","Low","Close","TotalVolume"
Price_US_0_IOB,T-Bond (Ultra),8/22/1977,40.827601,41.009201,40.801658,40.931373,872
Price_US_0_IOB,T-Bond (Ultra),8/23/1977,40.931373,41.268629,40.931373,41.268629,464
Price_US_0_IOB,T-Bond (Ultra),8/24/1977,41.268629,41.268629,41.138915,41.164858,327
Price_US_0_IOB,T-Bond (Ultra),8/25/1977,41.216743,41.605886,41.216743,41.528057,392
Price_US_0_IOB,T-Bond (Ultra),8/26/1977,41.476172,42.046913,41.424286,41.502114,402
Price_US_0_IOB,T-Bond (Ultra),8/29/1977,41.761542,41.995028,41.502114,41.579943,282
Price_US_0_IOB,T-Bond (Ultra),8/30/1977,41.424286,41.683714,41.294572,41.502114,259
Price_US_0_IOB,T-Bond (Ultra),8/31/1977,41.528057,41.579943,41.424286,41.554000,276
Price_US_0_IOB,T-Bond (Ultra),9/1/1977,41.450229,41.605886,41.372400,41.502114,249
Price_US_0_IOB,T-Bond (Ultra),9/2/1977,41.683714,41.839371,41.631828,41.839371,277
Price_US_0_IOB,T-Bond (Ultra),9/6/1977,41.891257,41.917199,41.761542,41.813428,220
Price_US_0_IOB,T-Bond (Ultra),9/7/1977,41.579943,41.683714,41.579943,41.657771,600
Price_US_0_IOB,T-Bond (Ultra),9/8/1977,41.605886,41.683714,41.528057,41.683714,173
Price_US_0_IOB,T-Bond (Ultra),9/9/1977,41.346457,41.528057,41.190801,41.190801,481
Price_US_0_IOB,T-Bond (Ultra),9/12/1977,41.112972,41.216743,41.087029,41.190801,161
Price_US_0_IOB,T-Bond (Ultra),9/13/1977,41.216743,41.424286,41.164858,41.424286,232
Price_US_0_IOB,T-Bond (Ultra),9/14/1977,41.476172,41.631828,41.450229,41.450229,765
Price_US_0_IOB,T-Bond (Ultra),9/15/1977,41.605886,41.631828,41.398343,41.528057,413
Price_US_0_IOB,T-Bond (Ultra),9/16/1977,41.683714,41.683714,41.528057,41.554000,491
Price_US_0_IOB,T-Bond (Ultra),9/19/1977,41.683714,41.683714,41.605886,41.605886,385
Price_US_0_IOB,T-Bond (Ultra),9/20/1977,41.502114,41.528057,41.476172,41.502114,350
Price_US_0_IOB,T-Bond (Ultra),9/21/1977,41.476172,41.631828,41.476172,41.631828,415
Price_US_0_IOB,T-Bond (Ultra),9/22/1977,41.476172,41.502114,41.294572,41.346457,227
Price_US_0_IOB,T-Bond (Ultra),9/23/1977,41.268629,41.450229,41.268629,41.450229,279
Price_US_0_IOB,T-Bond (Ultra),9/26/1977,41.398343,41.398343,41.268629,41.294572,206
Price_US_0_IOB,T-Bond (Ultra),9/27/1977,41.372400,41.631828,41.372400,41.579943,328
Price_US_0_IOB,T-Bond (Ultra),9/28/1977,41.657771,41.787485,41.528057,41.579943,242
Price_US_0_IOB,T-Bond (Ultra),9/29/1977,41.476172,41.631828,41.450229,41.579943,260
Price_US_0_IOB,T-Bond (Ultra),9/30/1977,41.605886,41.605886,41.502114,41.554000,268
Price_US_0_IOB,T-Bond (Ultra),10/3/1977,41.424286,41.424286,41.320515,41.346457,169
Price_US_0_IOB,T-Bond (Ultra),10/4/1977,41.450229,41.476172,41.398343,41.424286,218
Price_US_0_IOB,T-Bond (Ultra),10/5/1977,41.554000,41.631828,41.372400,41.424286,229
Price_US_0_IOB,T-Bond (Ultra),10/6/1977,41.346457,41.372400,41.294572,41.294572,257
Price_US_0_IOB,T-Bond (Ultra),10/7/1977,41.216743,41.216743,41.087029,41.087029,370
Price_US_0_IOB,T-Bond (Ultra),10/10/1977,41.009201,41.009201,41.009201,41.009201,134
Price_US_0_IOB,T-Bond (Ultra),10/11/1977,40.697887,40.697887,40.697887,40.697887,218
Price_US_0_IOB,T-Bond (Ultra),10/12/1977,40.594116,40.594116,40.438459,40.490345,170
Price_US_0_IOB,T-Bond (Ultra),10/13/1977,40.464402,40.697887,40.464402,40.542230,319
Price_US_0_IOB,T-Bond (Ultra),10/14/1977,40.723830,40.749773,40.723830,40.749773,116
Price_US_0_IOB,T-Bond (Ultra),10/17/1977,40.620059,40.620059,40.620059,40.620059,73
Price_US_0_IOB,T-Bond (Ultra),10/18/1977,40.542230,40.542230,40.542230,40.542230,556
Price_US_0_IOB,T-Bond (Ultra),10/19/1977,40.620059,40.749773,40.620059,40.749773,230
Price_US_0_IOB,T-Bond (Ultra),10/20/1977,40.749773,40.827601,40.749773,40.827601,218
Price_US_0_IOB,T-Bond (Ultra),10/21/1977,40.749773,40.775716,40.749773,40.749773,158
Price_US_0_IOB,T-Bond (Ultra),10/24/1977,40.749773,40.827601,40.749773,40.749773,213
Price_US_0_IOB,T-Bond (Ultra),10/25/1977,40.723830,40.723830,40.542230,40.568173,106
Price_US_0_IOB,T-Bond (Ultra),10/26/1977,40.568173,40.568173,40.516287,40.516287,207
Price_US_0_IOB,T-Bond (Ultra),10/27/1977,40.516287,40.542230,40.516287,40.516287,786
Price_US_0_IOB,T-Bond (Ultra),10/28/1977,40.412516,40.516287,40.412516,40.438459,480
